DateTime,AddedIPs,RemovedIPs
1548612491,1,2
1548616086,0,1
1548619697,1,1
1548623301,2,1
1548626877,1,1
1548630497,0,2
1548634148,2,2
1548637717,15,0
1548641303,3,2
1548644895,1,2
1548648505,1,16
1548652092,1,1
1548655701,1,1
1548659272,0,1
1548662908,1,0
1548666486,1,2
1548670112,1,1
1548673690,1,1
1548677296,1,1
1548680898,3,1
1548684492,1,1
1548688112,0,1
1548691689,1,1
1548695304,0,3
1548698883,1,0
1548702500,1,1
1548709710,0,1
1548716894,1,0
1548720742,33,1
1548727792,0,1
1548731300,1,14
1548756519,1,0
1548760096,0,1
1548778109,1,0
1548785293,0,1
1548788913,1,0
1548806989,19,0
1548810487,1,0
1548814109,1,0
1548817691,1,9
1548821306,1,1
1548824909,1,1
1548828863,1,2
1548832156,2,2
1548835702,2,1
1548839306,1,1
1548842904,1,1
1548846506,1,1
1548850104,2,1
1548853703,4,2
1548857306,1,1
1548860908,1,2
1548864503,2,2
1548868127,1,4
1548871707,1,1
1548875302,2,0
1548878883,1,1
1548882504,1,1
1548886110,1,1
1548889684,1,1
1548893342,1,1
1548896903,12,2
1548900497,1,1
1548904098,1,2
1548907710,1,14
1548911304,1,1
1548914909,1,1
1548918513,1,1
1548922107,1,1
1548925706,1,1
1548929287,1,1
1548932913,1,1
1548936495,1,1
1548940079,3,1
1548943702,2,1
1548947305,1,1
1548950905,1,2
1548954491,1,3
1548958103,1,1
1548961698,1,1
1548965304,1,1
1548968905,1,1
1548972517,1,1
1548976100,1,1
1548979816,21,1
1548983462,2,0
1548986915,1,1
1548990496,1,34
1548994137,1,1
1548997706,1,2
1549001306,1,1
1549004901,1,1
1549008519,1,1
1549012105,1,1
1549015705,1,1
1549019317,1,1
1549022902,1,2
1549026515,2,1
1549030109,1,1
1549033735,1,1
1549037306,2,1
1549040909,1,2
1549044503,3,1
1549048138,1,1
1549051703,1,2
1549055317,1,1
1549058910,1,2
1549062535,1,1
1549066124,1,1
1549069714,26,1
1549073321,3,1
1549076929,8,1
1549080488,5,17
1549084107,8,2
1549087714,0,9
1549091330,8,4
1549094902,11,4
1549098498,1,8
1549102158,8,8
1549105692,2,1
1549109314,3,8
1549112904,1,0
