DateTime,AddedIPs,RemovedIPs
1550800095,4244,93
1550802028,4792,80
1550803927,3898,89
1550805858,2014,89
1550807790,114,123
1550809935,111,249
1550811869,103,138
1550813816,143,101
1550815713,446,154
1550817609,152,87
1550819571,154,107
1550821475,245,169
1550823632,447,103
1550825578,541,112
1550827469,329,92
1550829396,131,107
1550831299,224,108
1550834191,423,131
1550836101,374,127
1550838025,342,110
1550839950,1035,117
1550841864,284,109
1550843768,517,122
1550845960,815,129
1550847863,394,79
1550849778,236,90
1550851755,517,99
1550853611,260,227
1550855543,204,91
1550857471,339,127
1550859414,352,156
1550861303,381,121
1550863215,340,189
1550865163,355,161
1550867070,469,195
1550868974,600,187
1550870939,376,95
1550872822,376,100
1550874734,385,512
1550876687,401,117
1550878591,249,107
1550880774,204,121
1550882682,247,106
1550884574,264,589
1550886517,375,4292
1550888435,293,4640
1550890375,256,3954
1550892284,216,1954
1550894185,223,133
1550896095,212,105
1550898032,230,103
1550899977,249,153
1550901896,270,356
1550903783,252,185
1550905727,620,159
1550907615,1275,203
1550909545,347,405
1550911475,285,449
1550913558,426,496
1550915433,266,158
1550917479,226,197
1550919371,268,268
1550921543,337,409
1550923461,295,351
1550925396,242,973
1550927290,273,321
1550929210,530,370
1550931168,361,706
1550933071,252,701
1550934969,354,281
1550936905,407,374
1550939078,279,439
1550940970,211,256
1550943257,319,278
1550945063,288,340
1550946985,432,383
1550948931,301,338
1550950817,230,304
1550952747,268,390
1550954683,348,422
1550956575,331,310
1550958504,298,207
1550960438,211,447
1550962352,242,368
1550964271,245,230
1550966176,437,150
1550968348,233,218
1550970504,282,268
1550972415,627,336
1550974343,226,336
1550976277,238,262
1550978175,212,242
1550980098,209,219
1550982056,236,191
1550983972,187,220
1550985866,198,222
1550988055,218,321
1550990210,194,318
1550992109,173,620
1550994018,147,1290
1550995954,192,359
1550997879,251,303
1550999784,252,363
1551001696,251,381
1551003617,360,236
1551005567,197,260
1551007459,4539,280
1551009374,3847,272
1551011326,2408,268
1551014210,406,489
1551016093,258,443
1551018017,568,316
1551019963,302,231
1551021855,250,321
1551023769,205,335
1551025715,228,243
1551027631,370,210
1551029546,422,274
1551031727,885,362
1551033634,3641,350
1551035784,3349,298
1551037936,3413,231
1551039856,3066,254
1551041798,3665,334
1551043692,2920,255
1551045662,3287,196
1551047571,2749,212
1551050468,4105,347
1551052360,3010,418
1551054274,3451,185
1551056190,1670,166
1551058094,1179,546
