DateTime,AddedIPs,RemovedIPs
1549712902,1,0
1549718677,0,1
1549720583,5,0
1549722772,0,1
1549724661,0,1
1549728569,1,1
1549734260,1,1
1549758027,0,1
1549765953,1,0
1549783223,0,1
1549790910,0,1
1549795689,0,1
1549797619,1,1
1549799777,1,1
1549807459,0,5
1549811312,1,0
1549815143,2,1
1549819002,0,1
1549820891,1,0
1549822810,1,0
1549828568,1,0
1549830515,0,1
1549832432,1,0
1549836272,1,0
1549840363,2,0
1549844431,1,0
1549852369,0,1
1549861957,1,0
1549869629,3,0
1549871577,1,0
1549877319,1,0
1549884984,0,2
1549892654,2,0
1549894622,1,0
1549896610,0,1
1549898433,1,0
1549900362,0,1
1549902271,0,1
1549906095,0,1
1549908018,1,0
1549909935,0,1
1549915728,1,1
1549917625,1,0
1549919557,0,1
1549921461,0,1
1549925318,0,2
1549929142,0,1
1549931060,2,0
1549934895,1,0
1549942826,1,0
1549946666,1,0
1549948581,0,1
1549954710,0,1
1549956748,0,3
1549964471,0,1
1549972123,1,0
1549974046,1,0
1549979809,0,2
1549981718,0,1
1549983757,1,0
1549986801,0,1
1549992748,0,1
1550000413,6,0
1550002344,1,1
1550004276,1,1
1550006187,1,0
1550008091,1,0
1550015796,1,1
1550017694,0,1
1550021550,0,1
1550023481,2,0
1550029214,2,1
1550033054,0,1
1550042670,1,0
1550046515,1,0
1550051428,1,0
1550058971,0,1
1550060928,1,1
1550062865,1,0
1550070513,0,1
1550072414,1,0
1550080350,2,0
1550084171,1,0
1550086103,0,3
1550088097,0,4
1550089960,0,1
1550091897,2,1
1550095721,1,1
1550102176,0,1
1550106066,1,0
1550109871,0,2
1550113730,1,0
1550115616,0,2
1550121373,1,0
1550127148,1,0
1550129081,1,1
1550130985,1,0
1550132890,0,1
1550134878,1,0
1550138689,1,1
1550142511,1,0
1550148257,1,1
1550150442,0,1
1550154261,1,0
1550156192,1,0
1550160092,1,1
1550161957,1,0
1550165782,1,2
1550169613,1,0
1550173476,1,0
1550177290,0,2
1550183050,0,1
1550188866,3,0
1550192914,0,1
1550194850,1,0
1550200604,1,1
1550202497,1,0
1550206377,1,0
1550208254,2,1
1550210167,1,0
1550214089,0,2
1550217898,1,2
1550223644,0,1
1550225548,1,0
1550229403,0,1
1550231558,1,0
1550233459,0,1
1550235381,0,1
1550239265,0,1
1550243087,1,1
1550244997,0,1
1550248815,0,1
1550252688,0,1
1550254854,0,1
1550260579,0,1
1550272364,1,0
1550276190,5,3
1550278102,2,0
1550281957,0,1
1550285773,0,1
1550287942,0,1
1550291802,0,1
1550293716,0,1
1550295641,1,2
1550297546,2,0
1550303300,0,1
1550305117,1,0
1550312892,0,1
1550314874,1,0
1550316756,0,1
1550320571,1,0
1550328496,0,1
1550336182,1,0
1550344576,1,0
1550346495,1,0
1550350372,1,0
1550352261,1,0
1550354171,1,0
1550356104,1,0
1550360442,0,1
1550362366,0,5
1550364284,0,2
1550366196,3,0
1550368092,2,0
1550381565,1,1
1550383468,0,2
1550385402,1,0
1550389223,1,0
1550391155,0,1
1550393057,2,0
1550400736,0,1
1550406515,0,1
1550410366,1,0
1550412281,2,0
1550414185,2,0
1550416116,1,0
1550421854,1,1
1550427640,1,0
1550431456,1,1
1550433399,0,1
1550437271,1,1
1550439141,1,1
1550441095,0,1
1550445146,0,1
1550451151,1,0
1550453052,1,3
1550455003,0,2
1550456889,1,0
1550458873,2,0
1550462669,3,0
1550468412,0,1
1550472276,0,1
1550476100,1,1
1550478035,1,0
1550479947,0,2
1550483793,1,0
1550491526,1,0
1550495298,1,0
1550499146,0,2
1550501080,0,4
1550504905,2,0
1550506712,0,1
1550514253,1,1
1550516467,2,0
1550518364,0,1
1550524332,0,1
1550526271,1,1
1550528182,1,0
1550532021,1,0
1550535851,2,0
1550537791,1,1
1550539701,0,1
1550543535,1,1
1550545500,0,2
1550549543,0,3
1550551454,1,0
1550553383,2,0
1550564896,0,2
1550568497,1,0
1550570451,0,1
1550572337,1,0
1550578361,0,1
1550580263,1,0
1550582204,0,1
1550587972,1,0
1550589866,3,0
1550591778,1,1
1550593694,2,1
1550599475,1,0
1550601625,0,1
1550603561,0,2
1550609535,1,0
1550611454,0,1
1550613403,1,1
1550619399,0,1
1550623209,0,3
1550630908,1,1
1550634747,1,0
1550638596,0,2
1550640520,1,1
1550642433,1,0
1550652504,3,0
1550658257,1,1
1550662093,0,1
1550667888,1,1
1550669802,1,0
1550673880,0,1
1550675787,0,3
1550677713,0,1
1550680128,1,2
1550682178,2,0
1550686093,0,1
1550691853,1,0
1550695694,0,1
1550697614,1,0
1550699548,2,0
1550701474,0,1
1550705328,1,0
1550713001,1,0
1550716813,0,1
1550718772,1,0
1550720654,1,1
1550726418,0,1
1550728330,0,1
1550734363,1,0
1550738181,0,2
1550740096,1,1
1550743945,1,1
1550747798,1,0
1550753566,0,1
1550757656,1,1
1550763371,1,0
1550765371,0,1
1550769135,0,2
1550771070,1,0
1550772993,1,0
1550775160,1,0
1550777059,0,1
1550780888,1,0
1550782856,1,1
1550786688,0,2
1550788591,1,0
1550792478,0,1
1550800097,1,1
1550803929,0,1
1550805862,1,1
1550809938,1,0
1550811885,1,0
1550815715,1,0
1550819573,0,1
1550823634,2,0
1550825580,0,1
1550827471,1,0
1550829398,0,1
1550833284,0,1
1550835164,1,0
1550844989,0,1
1550846894,1,0
1550848829,0,1
1550859416,1,1
1550861305,0,1
1550863221,0,1
1550868976,2,2
1550872835,1,0
1550874736,2,0
1550876696,0,1
1550878593,1,0
1550884576,1,0
1550886519,0,1
1550888437,1,0
1550892286,1,1
1550894188,1,0
1550896097,0,1
1550898082,0,1
1550901906,0,1
1550909548,0,2
1550913561,1,1
1550915436,1,0
1550921545,2,1
1550925398,1,0
1550933073,0,1
1550934980,1,0
1550940972,3,0
1550945081,0,1
1550946987,2,0
1550954685,1,1
1550956577,0,1
1550958507,0,1
1550960440,1,1
1550962354,0,1
1550964273,1,1
1550966178,2,0
1550968350,1,0
1550972417,0,1
1550974346,0,1
1550976279,1,0
1550978177,1,0
1550980100,0,2
1550988103,1,0
1550990247,1,0
1550999799,0,1
1551001712,1,1
1551007461,1,2
1551011328,2,1
1551021857,0,1
1551025717,0,2
1551028595,1,1
1551034350,1,1
1551036260,1,0
1551042045,0,1
1551045911,0,1
1551050471,0,2
1551052363,1,2
1551054277,0,1
1551060100,1,0
1551061936,0,1
1551063946,0,1
