DateTime,AddedIPs,RemovedIPs
1533121344,0,2
1533126279,1,1
1533128172,0,1
1533130109,0,1
1533132025,0,3
1533133967,0,3
1533139988,0,1
1533141863,0,2
1533143778,0,1
1533145705,0,3
1533147637,0,2
1533149563,0,1
1533155293,0,2
1533157294,0,1
1533166481,0,2
1533168291,0,1
1533172133,0,1
1533174014,0,1
1533175959,0,2
1533177858,0,2
1533185554,0,2
1533210768,0,1
1534078089,1,0
1534088195,1,0
1534150584,0,0
1534166337,0,1
1534172417,0,1
1534346855,1,0
1534452008,0,1
1534531259,1,0
1534617629,0,1
1536262343,1,0
1536348266,0,1
1536934844,1,0
1537020742,0,1
1537833167,1,0
1537918364,0,1
1538387803,2,0
1538473219,0,2
1538576181,1,0
1538587694,1,0
1538663291,0,1
1538670997,0,1
1538737451,1,0
1538739619,3,0
1538741564,5,0
1538743480,4,0
1538745407,2,0
1538747298,6,0
1538749463,1,0
1538753300,2,0
1538761216,2,0
1538768912,1,0
1538789118,1,0
1538824106,0,2
1538826021,0,2
1538827957,0,5
1538829877,0,4
1538831784,0,2
1538833960,0,6
1538835873,0,1
1538839696,0,2
1538847376,0,2
1538856995,0,1
1538874726,0,1
1538951322,1,0
1538961393,1,0
1539003650,1,0
1539007457,1,0
1539015388,1,0
1539017292,1,0
1539024977,1,0
1539029096,1,0
1539038676,0,1
1539048303,0,1
1539089544,0,1
1539093696,1,0
1539095550,0,1
1539101549,0,1
1539103485,0,1
1539111145,0,1
1539114997,0,1
1539118886,1,0
1539157238,1,0
1539178369,0,1
1539205963,0,1
1539242676,0,1
1539357395,1,0
1539423372,1,0
1539429145,1,0
1539431079,1,0
1539444763,0,1
1539458203,1,0
1539511300,0,1
1539516977,0,1
1539518925,0,1
1539543881,0,1
1539718818,1,0
1539804517,0,1
1539959562,1,0
1540044999,0,1
1540229316,1,0
1540314525,0,1
1540724671,1,0
1540809394,0,1
1541090185,1,0
1541174979,0,1
1541299218,1,0
1541385151,0,1
1543329403,1,0
1543415086,0,1
1543554525,1,0
1543798577,0,1
