DateTime,Entries,UniqueIPs
1550803933,3674,3674
1550805894,3679,3679
1550807796,3679,3679
1550809942,3675,3675
1550811890,3684,3684
1550813822,3685,3685
1550815719,4083,4083
1550817616,4115,4115
1550819577,4116,4116
1550821487,4172,4172
1550823639,4197,4197
1550825592,4303,4303
1550827475,4463,4463
1550829402,4448,4448
1550831306,4447,4447
1550833336,4441,4441
1550835168,4446,4446
1550837136,4437,4437
1550838996,4436,4436
1550841156,4424,4424
1550843052,4463,4463
1550844994,4723,4723
1550846898,4962,4962
1550848833,5012,5012
1550850731,4999,4999
1550852664,4989,4989
1550854592,4778,4778
1550856494,4784,4784
1550858479,4779,4779
1550860340,4772,4772
1550862295,4767,4767
1550864173,4750,4750
1550866098,4738,4738
1550868041,4745,4745
1550869956,4745,4745
1550871854,4746,4746
1550873814,4471,4471
1550875688,4301,4301
1550877622,4303,4303
1550879539,4306,4306
1550881462,4305,4305
1550883398,4305,4305
1550885307,4303,4303
1550887281,3341,3341
1550889172,3169,3169
1550891327,3170,3170
1550893212,3171,3171
1550895156,3173,3173
1550897067,3174,3174
1550899003,3172,3172
1550900904,3095,3095
1550902817,2823,2823
1550904756,2815,2815
1550906671,4778,4778
1550908597,5008,5008
1550910505,4993,4993
1550912498,4786,4786
1550914343,5046,5046
1550916303,5044,5044
1550918201,5027,5027
1550920373,5015,5015
1550922253,5011,5011
1550924176,5007,5007
1550926122,5003,5003
1550928014,5000,5000
1550929930,4886,4886
1550931864,4543,4543
1550933806,4282,4282
1550935696,4283,4283
1550937672,4284,4284
1550939537,4282,4282
1550941701,4284,4284
1550943649,4286,4286
1550945546,4280,4280
1550947473,4402,4402
1550949373,4406,4406
1550951302,4414,4414
1550953259,4411,4411
1550955141,4402,4402
1550957072,4401,4401
1550958991,4321,4321
1550961142,4317,4317
1550963059,4314,4314
1550964991,4314,4314
1550966891,4312,4312
1550968815,4310,4310
1550970768,4870,4870
1550972651,5159,5159
1550974575,5159,5159
1550976504,5153,5153
1550978437,5146,5146
1550980356,5151,5151
1550982265,5153,5153
1550984488,5143,5143
1550986341,5146,5146
1550988310,5147,5147
1550990250,5147,5147
1550992116,4394,4394
1550994034,2941,2941
1550995959,2971,2971
1550997887,2972,2972
1550999802,2819,2819
1551001715,2626,2626
1551003622,2836,2836
1551005571,2842,2842
1551007465,3170,3170
1551009379,3169,3169
1551011331,3167,3167
1551013247,3327,3327
1551015138,3333,3333
1551017094,3681,3681
1551018976,3684,3684
1551021147,3674,3674
1551023058,3686,3686
1551025255,3729,3729
1551027176,3723,3723
1551029059,3721,3721
1551030984,3720,3720
1551032915,3607,3607
1551035789,3606,3606
1551037941,3604,3604
1551039861,3613,3613
1551041803,3608,3608
1551043711,3615,3615
1551045741,3673,3673
1551047575,3675,3675
1551050475,3672,3672
1551052367,3688,3688
1551054281,3694,3694
1551056197,3692,3692
1551058100,2905,2905
1551060170,2908,2908
1551062186,2912,2912
1551064358,2909,2909
1551066298,2904,2904
1551068192,2898,2898
1551070105,2902,2902
1551072027,2900,2900
1551073956,2908,2908
1551075869,2915,2915
1551077801,2993,2993
1551079703,2995,2995
1551081679,2991,2991
1551083577,2958,2958
1551085477,2978,2978
1551087621,2983,2983
1551089541,2735,2735
1551091485,2759,2759
1551093378,2445,2445
1551095327,2476,2476
1551097227,2481,2481
1551099149,2457,2457
1551101094,2318,2318
1551102978,2318,2318
1551105150,1991,1991
1551107112,1994,1994
1551108978,1995,1995
1551110997,1962,1962
1551112823,1952,1952
1551115383,1958,1958
1551117401,1962,1962
1551119294,1972,1972
1551121142,1980,1980
1551123139,1981,1981
1551125071,1980,1980
1551126977,1979,1979
1551129185,1984,1984
1551131065,1778,1778
1551133005,1790,1790
1551134899,1794,1794
1551136831,1794,1794
1551138745,1785,1785
1551140669,1789,1789
1551142576,1736,1736
1551144524,1744,1744
1551146563,1741,1741
1551148370,1738,1738
1551150335,1739,1739
1551152183,1738,1738
1551154353,1745,1745
1551156258,1747,1747
1551158208,1753,1753
1551160108,1741,1741
1551162017,1734,1734
1551163948,1644,1644
1551165897,1664,1664
1551167777,1678,1678
1551169702,1706,1706
1551171740,1709,1709
1551173566,1731,1731
1551175503,1746,1746
1551177512,1769,1769
1551179533,1784,1784
1551181463,1743,1743
1551183395,1767,1767
1551185303,1793,1793
1551187258,1816,1816
1551189134,1840,1840
1551191091,1788,1788
1551193304,1817,1817
1551195151,1843,1843
1551197096,1869,1869
1551198992,1878,1878
1551201154,1902,1902
1551203072,1922,1922
1551204970,1933,1933
1551206903,1987,1987
1551208833,1993,1993
1551211505,2023,2023
1551213374,2052,2052
1551215302,2082,2082
1551217230,2108,2108
1551219159,2310,2310
1551223005,2358,2358
1551225320,2360,2360
1551227574,2361,2361
1551229461,2361,2361
1551231380,2354,2354
1551233316,2366,2366
1551235221,2362,2362
1551237143,2367,2367
1551239079,2380,2380
1551240977,2381,2381
1551242905,2374,2374
1551244860,2371,2371
1551246736,2366,2366
1551248690,2366,2366
1551250575,2376,2376
1551252523,2352,2352
1551254500,2339,2339
1551256343,2312,2312
1551258273,2294,2294
1551260195,2278,2278
1551262101,2257,2257
1551264032,2238,2238
1551265964,2264,2264
1551267854,2240,2240
1551270032,2220,2220
1551271937,2199,2199
1551273889,2169,2169
1551275792,2144,2144
1551277694,2115,2115
1551279682,2087,2087
1551282387,2048,2048
1551284438,2022,2022
1551286345,2005,2005
1551288283,1984,1984
1551290195,1961,1961
1551292120,1910,1910
1551294114,1889,1889
1551295942,1879,1879
1551297916,1859,1859
1551299829,1830,1830
1551301707,1805,1805
1551303664,1767,1767
1551305568,1557,1557
1551307525,1532,1532
1551309407,1504,1504
1551311328,1516,1516
1551313252,1582,1582
1551315147,1579,1579
1551317073,1581,1581
1551319004,1583,1583
1551320896,1588,1588
1551322998,1590,1590
1551325000,1592,1592
1551326905,1593,1593
1551328814,1597,1597
1551330740,1600,1600
1551332676,1508,1508
1551334583,1515,1515
1551336489,1510,1510
1551338440,1507,1507
1551340371,1519,1519
1551342288,1514,1514
1551344207,1517,1517
1551346099,1516,1516
1551348111,2542,2542
1551349967,5324,5324
1551352006,5279,5279
1551354046,5276,5276
1551355950,5267,5267
1551357857,5253,5253
1551359814,5254,5254
1551361731,5259,5259
1551363644,5257,5257
1551365543,5254,5254
1551367460,5246,5246
1551369431,5255,5255
1551371294,5336,5336
1551373285,5336,5336
1551375149,5327,5327
1551377076,5330,5330
1551378982,5328,5328
1551380931,5332,5332
1551382849,5351,5351
1551384748,5351,5351
1551386658,5357,5357
1551388581,5357,5357
1551390506,5355,5355
1551393490,5356,5356
1551395301,5368,5368
1551397231,6128,6128
1551399158,6056,6056
1551401099,6208,6208
1551402980,6508,6508
1551405164,6501,6501
1551407025,6495,6495
1551408972,6491,6491
1551410843,6485,6485
1551412953,6476,6476
1551414771,6491,6491
1551416720,6492,6492
1551418586,6631,6631
1551420499,6731,6731
1551422449,9297,9297
1551424353,10943,10943
1551426259,11014,11014
1551428446,11107,11107
1551430335,11190,11190
1551432265,11234,11234
1551434177,10938,10938
1551436118,7550,7550
1551438118,7587,7587
1551439975,7615,7615
1551441917,7651,7651
1551443808,7654,7654
1551445697,7661,7661
1551447617,7670,7670
1551449565,7680,7680
1551451451,7839,7839
1551453644,7897,7897
1551455533,7927,7927
1551457465,7859,7859
1551459430,7886,7886
1551461304,7913,7913
1551463281,7964,7964
1551465293,8000,8000
1551467389,8016,8016
1551469235,8005,8005
1551471386,8015,8015
1551473540,8019,8019
1551475455,8010,8010
1551477395,8014,8014
1551479296,8030,8030
1551481239,8029,8029
1551483150,7704,7704
1551485088,7699,7699
1551486984,7700,7700
1551488915,7598,7598
1551490825,7601,7601
1551492753,7606,7606
1551494657,7607,7607
1551496593,7613,7613
1551498737,7622,7622
1551500662,7624,7624
1551502578,7599,7599
1551504488,7544,7544
1551507380,7495,7495
1551509548,5492,5492
1551511463,5521,5521
1551513385,5956,5956
1551515544,5946,5946
1551517463,5928,5928
1551519380,5882,5882
1551521568,5842,5842
1551523480,5813,5813
1551525400,5781,5781
1551527305,5715,5715
1551529249,5690,5690
1551531136,5657,5657
1551533071,5623,5623
1551534997,5601,5601
1551537171,5549,5549
1551539115,4934,4934
1551541005,4903,4903
1551542954,4879,4879
1551544854,4842,4842
1551546761,4926,4926
1551548683,4899,4899
1551551106,4818,4818
1551552978,4774,4774
1551555295,4729,4729
1551557320,4681,4681
1551559218,4642,4642
1551561147,4600,4600
1551563080,4786,4786
1551564983,4756,4756
1551566924,4738,4738
1551568829,4726,4726
1551570739,4709,4709
1551572671,4699,4699
1551574581,4686,4686
1551576524,4672,4672
1551578585,4647,4647
1551580820,4625,4625
1551582749,4617,4617
1551584675,4602,4602
1551586575,4593,4593
1551588768,4578,4578
1551590678,4571,4571
1551592580,4691,4691
1551594514,4783,4783
1551596487,4762,4762
1551598345,4450,4450
1551600288,4120,4120
1551602210,4283,4283
1551604122,4296,4296
1551606010,4298,4298
1551607930,4517,4517
1551609859,4524,4524
1551611791,4863,4863
1551614064,4863,4863
1551616118,4872,4872
1551618067,4875,4875
1551619971,5450,5450
1551621882,6307,6307
1551623782,7209,7209
1551625726,7954,7954
1551627623,8815,8815
1551629802,9700,9700
1551631711,10495,10495
1551633635,11328,11328
1551635532,12288,12288
1551637466,13153,13153
1551639369,13169,13169
1551641300,13064,13064
1551643268,13075,13075
1551645199,13077,13077
1551647060,13077,13077
1551648983,12955,12955
1551651160,12967,12967
1551653061,12963,12963
1551655244,12960,12960
1551657129,12962,12962
1551659063,12957,12957
1551660991,12954,12954
1551662893,12963,12963
1551664839,12969,12969
1551666773,12970,12970
1551668724,12971,12971
1551670584,12973,12973
1551672496,12968,12968
1551674437,12964,12964
1551676355,12962,12962
1551678274,12969,12969
1551680171,12968,12968
1551682417,12920,12920
1551684255,12915,12915
1551686174,12875,12875
1551688117,12715,12715
1551690986,12542,12542
1551693140,12538,12538
1551695085,12387,12387
1551696980,12381,12381
1551698920,12064,12064
1551700906,12338,12338
1551702738,12332,12332
1551704720,12333,12333
1551707008,11451,11451
1551709509,10344,10344
1551711387,9521,9521
1551713298,8732,8732
1551715360,7843,7843
1551717369,6972,6972
1551719299,6130,6130
1551721248,5123,5123
1551723143,4216,4216
1551725071,3900,3900
1551727002,3900,3900
1551728903,3892,3892
1551730838,3892,3892
1551732748,3895,3895
1551734670,3863,3863
1551736592,3870,3870
1551738512,3862,3862
1551740474,3876,3876
1551742343,3880,3880
1551744286,3899,3899
1551746198,3903,3903
1551748101,3908,3908
1551750009,3903,3903
1551751939,3908,3908
1551753868,3909,3909
1551755775,3914,3914
1551757697,3920,3920
1551759631,3934,3934
1551761542,3934,3934
1551763464,3944,3944
1551765407,3957,3957
1551767289,3969,3969
1551769294,3841,3841
1551771137,3872,3872
1551773080,3858,3858
1551774983,3868,3868
1551776925,3998,3998
1551778814,4037,4037
1551780744,4124,4124
1551782675,4136,4136
1551784576,4169,4169
