DateTime,AddedIPs,RemovedIPs
1550779957,5,3
1550781869,4,2
1550783806,5,4
1550785717,1,6
1550787646,3,1
1550789537,4,4
1550792491,2,8
1550794371,3,1
1550796198,2,1
1550798187,1,0
1550800109,1,0
1550802042,1,0
1550803948,21,2
1550805920,1,2
1550807805,2,2
1550809952,1,3
1550811904,0,1
1550813832,5,0
1550815729,2,3
1550817626,1,2
1550819587,4,8
1550823648,0,3
1550825620,1,5
1550827485,1,2
1550829411,2,2
1550831317,0,1
1550833356,1,0
1550835178,1,0
1550837153,3,4
1550839007,1,2
1550841171,5,4
1550843071,2,0
1550845003,4,3
1550846907,1,3
1550848842,5,1
1550850745,7,2
1550852674,0,1
1550854602,0,4
1550856506,2,5
1550858547,2,0
1550860388,1,2
1550862339,2,2
1550864191,1,5
1550866124,1,4
1550868051,0,6
1550869970,0,2
1550871871,1,3
1550873826,2,3
1550875711,2,1
1550877648,3,2
1550879549,0,7
1550881485,5,2
1550883420,0,3
1550885356,0,1
1550887352,3,3
1550889183,7,2
1550891337,0,27
1550893228,3,2
1550895164,2,1
1550897077,0,1
1550899012,1,3
1550900922,1,5
1550902827,3,3
1550904766,4,0
1550906680,1,2
1550908621,1,0
1550910514,2,1
1550912521,3,1
1550914355,0,1
1550916314,1,1
1550918209,3,1
1550920394,0,1
1550922263,1,1
1550924186,0,1
1550926175,1,4
1550928038,0,2
1550929940,3,2
1550931873,2,2
1550933823,2,1
1550935705,1,5
1550937748,1,4
1550939801,4,3
1550941715,0,1
1550943666,1,0
1550945554,0,2
1550947483,3,2
1550949383,0,1
1550951325,3,3
1550953269,3,0
1550955201,4,2
1550957080,2,2
1550959003,5,1
1550961150,0,4
1550963069,2,2
1550965005,1,2
1550966899,1,3
1550968825,2,1
1550970777,2,1
1550972660,3,2
1550974585,5,4
1550976512,4,1
1550978447,1,3
1550980366,3,1
1550982277,1,3
1550984552,2,1
1550986576,1,2
1550988766,1,1
1550990675,1,3
1550992629,1,3
1550994507,2,3
1550996446,1,2
1550998366,1,2
1551000260,2,3
1551002208,3,2
1551004104,2,2
1551006132,147,1
1551007969,3321,0
1551009893,2558,0
1551011803,1870,0
1551015861,0,1
1551017802,3,2
1551019701,1,0
1551025467,3,1
1551029312,2,1
1551031381,2,1
1551033374,1,1
1551035339,2,1
1551037225,1,0
1551039148,1,1
1551041085,4,1
1551042987,1,1
1551045139,2,1
1551047070,3,0
1551049007,3,3
1551051184,1,2
1551053101,0,4
1551054991,2,1
1551056916,1,1
1551058820,2,3
1551060750,1,6
1551062661,3,3
1551064853,2,0
1551066761,3,1
1551068685,2,1
1551070580,1,3
1551072507,2,1
1551074557,1,1
1551076370,1,2
1551080442,0,2
1551082337,1,0
1551084292,2,0
1551086191,2,1
1551088350,2,1
1551090153,1,0
1551092207,1,62
1551094358,2,3041
1551096314,2,2700
1551098204,2,2120
1551100096,4,1
1551102022,1,0
1551103996,1,2
1551105875,1,2
1551109695,2,0
1551111649,2,1
1551113580,2,0
1551115396,6,3
1551117455,0,3
1551119305,1,0
1551121152,2,3
1551123162,4,2
1551125085,2,2
1551126987,1,1
1551129198,10,2
1551131076,18,3
1551133014,17,9
1551134923,8,3
1551136847,17,2
1551138759,10,0
1551140678,0,3
1551144532,2,3
1551146615,2,3
1551148586,6,3
1551150794,0,2
1551152685,2,4
1551154590,1,3
1551156507,1,1
1551158455,1,3
1551160353,6,3
1551162283,1,1
1551164201,2,3
1551166109,1,1
1551168135,1,1
1551169959,5,2
1551171774,1,3
1551173576,7,2
1551175529,0,1
1551177542,2,2
1551179582,6,1
1551181473,1,3
1551183412,2,3
1551185315,2,0
1551187266,2,6
1551189143,3,1
1551191098,3,1
1551193381,5,1
1551195394,0,2
1551197350,4,0
1551199237,1,2
1551201173,5,4
1551203089,2,1
1551205000,4,1
1551206911,2,4
1551208862,0,1
1551211514,2,3
1551213382,1,0
1551215310,4,5
1551217252,1,2
1551219209,2,14
1551222122,6,12
1551225890,3,2
1551227799,0,2
1551229731,3,0
1551231620,1,2
1551233547,7,2
1551235491,3,1
1551237380,3,1
1551239312,1,4
1551241242,6,1
1551243140,0,1
1551245072,0,1
1551246976,0,5
1551249150,3,3
1551251099,0,1
1551252985,3,0
1551254935,3,1
1551256826,2,2
1551258777,3,6
1551260660,2,3
1551262595,1,2
1551264852,2,3
1551266692,3,5
1551268580,0,1
1551270748,1,2
1551272696,4,0
1551274584,0,1
1551276529,3,3
1551278421,0,2
1551280242,4,1
1551282395,1,1
1551284446,3,2
1551286356,2,1
1551288291,0,2
1551290205,1,5
1551292129,2,4
1551294174,1,2
1551296210,10,3
1551298371,6,0
1551300275,6,3
1551302205,3,2
1551304123,5,1
1551306044,3,6
1551307997,5,2
1551309905,2,1
1551311802,1,2
1551313707,0,1
1551315756,5,2
1551317578,4,2
1551319495,0,7
1551321414,3,4
1551323319,5,2
1551325225,1,4
1551327197,2,5
1551329064,3,1
1551331029,5,0
1551332901,4,1
1551334845,0,1
1551336772,1,2
1551338667,5,4
1551340607,3,1
1551342763,4,2
1551344694,5,2
1551346623,3,3
1551348546,3,1
1551350455,3,2
1551352362,4,2
1551354276,2,0
1551356220,7,0
1551358129,3,2
1551360036,2,4
1551361959,4,2
1551363879,4,2
1551365814,3,0
1551367711,3,5
1551369766,3,1
1551371589,10,4
1551373525,3,1
1551375411,3,0
1551377327,2,1
1551379226,2,1
1551381405,1,3
1551383311,5,6
1551385233,1,1
1551387178,3,5
1551389098,2,3
1551391008,3,4
1551393500,4,4
1551395338,2,3
1551397255,0,1
1551399165,3,3
1551401107,3,2
1551402989,2,2
1551405172,5,1
1551407036,2,4
1551408979,4,3
1551410851,1,3
1551412969,1,2
1551414780,6,2
1551416745,2,5
1551418594,3,2
1551420507,3,0
1551422467,3,1
1551424361,3,1
1551426267,2,4
1551428454,4,4
1551430343,0,5
1551432273,3,6
1551434185,1,3
1551436126,0,2
1551438202,5,3
1551440432,14,5
1551442380,6,7
1551444261,1,7
1551446181,2,3
1551448130,0,5
1551450017,2,2
1551451946,2,3
1551453885,1,2
1551455803,1,2
1551457968,4,14
1551459891,0,6
1551461802,5,3
1551464591,4,3
1551466431,3,5
1551468531,4,3
1551470584,2,3
1551472570,1,3
1551474527,0,4
1551476430,2,2
1551478332,4,5
1551480287,4,1
1551482195,1,1
1551484119,1,0
1551486048,1,3
1551487945,1,3
1551489883,1,2
1551491814,1,2
1551493737,3,2
1551495805,4,6
1551498033,1,0
1551499942,1,6
1551501890,1,3
1551503787,2,0
1551505735,1,3
1551507660,2,3
1551509557,2,3
1551511472,0,4
1551513393,2,1
1551515552,3,7
1551517472,6,3
1551519397,0,1
1551521577,21,1
1551523489,4,5
1551525435,1,16
1551527321,2,2
1551529258,3,3
1551531144,3,1
1551533079,4,3
1551535005,2,0
1551537178,2,1
1551539125,1,2
1551541027,1,2
1551542961,0,4
1551544862,4,3
1551546770,0,5
1551548690,0,4
1551551114,1,3
1551552986,1,9
1551555303,1,6
1551557334,6,1
1551559226,2,2
1551561155,2,0
1551563090,5,1
1551564992,4,6
1551566932,4,5
1551568845,1,0
1551570748,8,0
1551572682,1,2
1551574596,3,1
1551576532,1,1
1551578597,2,1
1551580830,1,2
1551582756,4,3
1551584683,1,1
1551586584,0,1
1551588777,3,2
1551590685,6,1
1551594522,2,2
1551596571,2,0
1551598593,3,0
1551600509,1,3
1551602415,1,5
1551606294,0,3
1551608213,0,7
1551610102,0,4
1551612028,1253,2
1551614072,3766,1
1551616127,2929,3
1551618159,99,6
1551619984,1,3
1551621895,1,0
1551623796,1,0
1551625738,2,1
1551627631,2,1
1551629835,1,0
1551631724,3,0
1551635541,3,0
1551637480,0,2
1551639379,3,0
1551641312,3,1
1551643357,1,1
1551645208,2,2
1551647146,0,1
1551648991,1,2
1551651169,1,0
1551653096,3,2
1551655261,2,17
1551657138,0,3
1551660999,0,1
1551662902,2,1
1551664938,1,1
1551666779,3,0
1551668777,5,4
1551670590,0,1
1551672513,2,0
1551674454,0,2
1551676361,0,1
1551678280,1,0
1551680177,1,1
1551682452,2,1
1551684262,1,2
1551686181,3,1
1551688138,2,2
1551690125,0,3
1551691974,1,1
1551693959,1,0
1551695804,2,0
1551697719,3,111
1551699654,3,3403
1551701553,1,2341
1551703516,2,2214
1551705497,1,2
1551709519,3,2
1551713308,2,2
1551715392,6,3
1551717378,4,3
1551719307,4,2
1551721327,3,1
1551723149,1,2
1551725078,7,2
1551727016,0,4
1551728917,2,1
1551730848,2,1
1551732770,2,0
1551734685,2,0
1551736598,1,1
1551738526,1,1
1551740645,4,4
1551742581,4,1
1551744502,5,1
1551746424,3,0
1551748364,2,2
1551750276,1,2
1551752177,2,3
1551754112,3,5
1551756047,2,5
1551757949,4,3
1551759867,1,2
1551761816,3,1
1551763696,4,0
1551765774,1,0
1551767783,1,4
1551769734,1,1
1551771650,1,1
1551773549,0,5
1551775465,3,3
1551777387,0,2
1551779306,2,0
1551781235,1,2
1551783135,0,4
1551785092,0,4
