DateTime,Entries,UniqueIPs
1550807805,1380,1380
1550809951,1382,1382
1550811904,1376,1376
1550813831,1382,1382
1550815728,1332,1332
1550817625,1343,1343
1550819587,1355,1355
1550821501,1443,1443
1550823648,1718,1718
1550825608,2067,2067
1550827485,2124,2124
1550829411,2132,2132
1550831317,2254,2254
1550833355,2423,2423
1550835177,2661,2661
1550837152,2881,2881
1550839006,3075,3075
1550841170,3277,3277
1550843066,3522,3522
1550845002,3820,3820
1550846907,4119,4119
1550848842,4167,4167
1550850744,4493,4493
1550852673,4817,4817
1550854601,4932,4932
1550856506,5053,5053
1550858546,5322,5322
1550860387,5585,5585
1550862337,5835,5835
1550864190,6036,6036
1550866123,6333,6333
1550868051,6566,6566
1550869969,6788,6788
1550871870,6868,6868
1550873825,7073,7073
1550875706,7313,7313
1550877647,7445,7445
1550879549,7471,7471
1550881485,7544,7544
1550883419,7674,7674
1550885355,7818,7818
1550887351,7984,7984
1550889182,8124,8124
1550891336,8267,8267
1550893227,8390,8390
1550895164,8494,8494
1550897076,8600,8600
1550899011,8743,8743
1550900912,8879,8879
1550902826,9025,9025
1550904766,9136,9136
1550906680,9195,9195
1550908620,9161,9161
1550910514,9145,9145
1550912520,8921,8921
1550914354,8936,8936
1550916313,9030,9030
1550918209,8975,8975
1550920393,9000,9000
1550922262,8912,8912
1550924186,8864,8864
1550926161,8752,8752
1550928038,8793,8793
1550929939,8708,8708
1550931873,8611,8611
1550933822,8489,8489
1550935704,8662,8662
1550937747,8446,8446
1550939801,8331,8331
1550941714,8353,8353
1550943666,8302,8302
1550945554,8258,8258
1550947483,8176,8176
1550949382,8100,8100
1550951324,7986,7986
1550953268,7850,7850
1550955200,7798,7798
1550957080,7830,7830
1550959003,7825,7825
1550961149,7711,7711
1550963068,7643,7643
1550965000,7693,7693
1550966899,7789,7789
1550968824,7769,7769
1550970776,7685,7685
1550972660,7585,7585
1550974585,7485,7485
1550976512,7428,7428
1550978446,7402,7402
1550980366,7389,7389
1550982277,7390,7390
1550984552,7345,7345
1550986575,7299,7299
1550988766,7206,7206
1550990674,7136,7136
1550992615,7138,7138
1550994506,7075,7075
1550996445,6957,6957
1550998366,6968,6968
1551000260,7072,7072
1551002207,7118,7118
1551004104,7085,7085
1551006127,7001,7001
1551007968,6975,6975
1551009892,6901,6901
1551011802,6828,6828
1551013950,6737,6737
1551015860,6658,6658
1551017802,6561,6561
1551019700,6616,6616
1551021616,6589,6589
1551023565,6468,6468
1551025466,6513,6513
1551027383,6645,6645
1551029311,6724,6724
1551031380,6758,6758
1551033373,6663,6663
1551035338,6655,6655
1551037224,6725,6725
1551039147,6684,6684
1551041083,6569,6569
1551042986,6469,6469
1551045138,6440,6440
1551047069,6480,6480
1551049006,6489,6489
1551051184,6476,6476
1551053098,6506,6506
1551054990,6509,6509
1551056915,6610,6610
1551058819,6656,6656
1551060749,6701,6701
1551062660,6881,6881
1551064852,7190,7190
1551066760,7340,7340
1551068684,7461,7461
1551070579,7518,7518
1551072507,7579,7579
1551074546,7571,7571
1551076369,7582,7582
1551078302,7668,7668
1551080441,7731,7731
1551082337,7705,7705
1551084292,7636,7636
1551086190,7593,7593
1551088349,7578,7578
1551090152,7682,7682
1551092206,7785,7785
1551094357,7783,7783
1551096313,7851,7851
1551098203,7974,7974
1551100095,8162,8162
1551102021,8324,8324
1551103986,8438,8438
1551105867,8434,8434
1551107808,8402,8402
1551109694,8527,8527
1551111649,8560,8560
1551113576,8463,8463
1551115395,8377,8377
1551117454,8327,8327
1551119304,8423,8423
1551121152,8389,8389
1551123161,8226,8226
1551125084,8109,8109
1551126987,8040,8040
1551129195,7948,7948
1551131076,7840,7840
1551133014,7716,7716
1551134922,7570,7570
1551136847,7451,7451
1551138758,7295,7295
1551140677,7191,7191
1551142585,7078,7078
1551144532,6989,6989
1551146600,6876,6876
1551148585,6680,6680
1551150793,6304,6304
1551152684,6007,6007
1551154590,5824,5824
1551156506,5623,5623
1551158455,5447,5447
1551160352,5400,5400
1551162282,5306,5306
1551164201,5164,5164
1551166109,5036,5036
1551168134,4975,4975
1551169959,4919,4919
1551171774,4867,4867
1551173576,4747,4747
1551175529,4618,4618
1551177529,4442,4442
1551179582,4257,4257
1551181472,4104,4104
1551183411,3978,3978
1551185314,3754,3754
1551187266,3494,3494
1551189142,3235,3235
1551191098,2968,2968
1551193381,2831,2831
1551195393,2647,2647
1551197349,2451,2451
1551199237,2344,2344
1551201173,2223,2223
1551203089,2086,2086
1551204999,1890,1890
1551206910,1728,1728
1551208862,1732,1732
1551211514,1721,1721
1551213381,1713,1713
1551215310,1714,1714
1551217252,1717,1717
1551219204,1719,1719
1551222113,1748,1748
1551223964,1759,1759
1551225889,1766,1766
1551227799,1763,1763
1551229730,1777,1777
1551231619,1770,1770
1551233546,1793,1793
1551235491,1789,1789
1551237379,1785,1785
1551239311,1781,1781
1551241242,1771,1771
1551243140,1765,1765
1551245071,1742,1742
1551246975,1738,1738
1551249149,1744,1744
1551251099,1733,1733
1551252985,1771,1771
1551254935,1772,1772
1551256825,1784,1784
1551258776,1775,1775
1551260660,1752,1752
1551262595,1736,1736
1551264852,1724,1724
1551266692,1718,1718
1551268579,1729,1729
1551270747,1732,1732
1551272694,1726,1726
1551274583,1738,1738
1551276529,1739,1739
1551278420,1752,1752
1551280241,1749,1749
1551282395,1752,1752
