DateTime,AddedIPs,RemovedIPs
1548174265,0,2
1548183898,1,0
1548187959,1,0
1548189868,1,0
1548191790,3,0
1548193706,2,0
1548195626,2,0
1548197612,1,0
1548209811,0,1
1548235497,0,1
1548241507,0,1
1548247478,2,0
1548253548,1,1
1548271476,1,0
1548277528,1,0
1548279654,0,1
1548281559,0,1
1548283480,0,3
1548287587,0,1
1548291397,0,1
1548297421,0,1
1548305344,1,0
1548332925,1,1
1548334936,1,0
1548337000,4,1
1548339164,3,0
1548345181,1,0
1548351419,1,0
1548360994,1,0
1548368668,1,0
1548374573,1,0
1548384756,1,0
1548390794,0,1
1548398467,1,0
1548402269,1,0
1548404220,1,0
1548420044,0,1
1548421969,0,1
1548423875,0,4
1548425799,0,2
1548431818,0,1
1548437789,1,1
1548439986,1,0
1548441867,1,0
1548447881,0,1
1548451954,1,0
1548455824,0,1
1548459628,0,2
1548461567,0,1
1548484869,0,1
1548488681,1,1
1548510043,0,1
1548514143,1,0
1548523704,0,1
1548533823,1,0
1548539587,0,1
1548559035,1,0
1548560951,1,0
1548564768,5,0
1548570559,1,0
1548576310,0,1
1548599828,0,1
1548603634,1,0
1548615201,0,1
1548620921,0,1
1548628606,1,0
1548633805,1,0
1548639898,1,0
1548643947,0,1
1548647792,0,1
1548651816,1,5
1548657436,0,1
1548691114,0,1
1548698705,2,0
1548710202,1,0
1548714073,0,1
1548720310,0,1
1548726268,0,1
1548737800,0,1
1548757250,1,0
1548780776,2,0
1548784627,0,2
1548788693,0,2
1548797090,0,1
1548800911,1,0
1548802965,1,0
1548807529,1,0
1548827067,3,0
1548829242,1,0
1548837185,1,0
1548843165,2,1
1548849166,2,1
1548851127,0,1
1548865277,0,2
1548867170,1,0
1548872904,1,0
1548886842,0,1
1548890928,1,0
1548906979,0,1
1548909166,0,2
1548919279,2,1
1548923065,0,1
1548940361,1,0
1548954139,0,1
1548958162,0,1
1548960058,1,0
1548975680,1,0
1548977572,0,1
1548993406,1,0
1549005191,0,2
1549020784,1,0
1549026520,0,1
1549047730,0,1
1549049590,2,0
1549053662,1,0
1549059401,1,0
1549061579,1,0
1549067556,1,0
1549079600,0,1
1549085588,1,0
1549089427,0,1
1549091339,0,1
1549095187,1,0
1549099243,1,0
1549103099,0,1
1549107151,1,1
1549138824,0,1
1549144908,0,1
1549146772,1,1
1549152761,0,1
1549154677,1,0
1549164318,1,0
1549171964,1,1
1549193577,0,1
1549201274,0,1
1549203436,1,0
1549234363,0,1
1549236280,1,0
1549238197,1,0
1549240142,0,1
1549245906,1,1
1549249735,1,0
1549251636,0,1
1549259341,0,1
1549290763,0,1
1549312374,1,0
1549314545,2,0
1549316424,1,0
1549318385,0,1
1549322468,1,1
1549324352,2,0
1549326279,0,1
1549330131,2,0
1549333981,0,1
1549336054,0,1
1549341863,1,0
1549345722,1,0
1549361114,1,0
1549364903,1,0
1549377686,1,0
1549385318,0,2
1549387490,1,6
1549409078,0,1
1549411000,0,2
1549414920,1,0
1549416784,1,1
1549428289,0,1
1549432161,0,1
1549435946,2,0
1549439808,1,0
1549447956,0,1
1549449874,0,1
1549469544,1,0
1549471722,1,0
1549473681,0,1
1549495707,1,0
1549501726,0,2
1549521185,1,0
1549523102,2,2
1549524990,1,1
1549555967,0,1
1549557897,0,1
1549565808,1,0
1549569719,1,0
1549571576,1,0
1549579257,1,0
1549581191,0,1
1549591329,1,0
1549595149,1,0
1549608776,0,3
1549610940,0,1
1549626267,2,0
1549630368,1,0
1549639988,1,0
1549643792,1,0
1549651488,0,1
1549655316,0,1
1549657257,0,1
1549664915,0,1
1549666953,2,0
1549670702,1,0
1549676432,0,1
1549680269,0,1
1549693732,0,1
1549695757,1,0
1549707170,1,0
1549712917,0,1
1549716766,0,2
1549728583,1,0
1549747707,1,0
1549752313,0,2
1549754237,1,0
1549756120,0,1
1549781315,0,1
1549790929,1,0
1549792916,0,1
1549808455,1,0
1549814207,0,1
1549823788,1,0
1549833425,2,1
1549841097,0,1
1549842993,1,0
1549844919,2,0
1549868693,2,0
1549878271,0,1
1549882112,1,0
1549886545,0,1
1549899908,1,0
1549909513,0,1
1549915745,0,1
1549919572,0,1
1549921477,0,2
1549923411,1,0
1549929157,0,1
1549931076,0,2
1549946695,1,0
1549952685,1,0
1549954737,0,2
1549966383,1,0
1549968276,1,1
1549981732,1,0
1549990925,1,0
1550002357,1,1
1550004289,1,0
1550006200,2,0
1550008129,1,1
1550010026,2,1
1550013877,1,0
1550015810,1,0
1550033067,0,1
1550038828,1,0
1550042683,0,2
1550046529,0,2
1550054190,0,1
1550075566,1,0
1550079403,0,1
1550083231,1,0
1550087084,1,1
1550090904,0,1
1550092821,1,0
1550094756,0,1
1550098623,1,0
1550102471,0,1
1550110132,1,0
1550121878,1,1
1550127736,4,0
1550129670,2,0
1550144922,1,0
1550148766,1,0
1550158491,1,0
1550162423,0,1
1550170106,0,2
1550172052,1,0
1550179709,0,1
1550184097,0,1
1550187871,1,0
1550197491,0,1
1550199378,1,0
1550208980,0,1
1550210907,1,0
1550214758,0,6
1550220527,4,0
1550230148,0,1
1550235911,0,1
1550243579,0,1
1550245468,1,0
1550255320,1,1
1550259194,0,1
1550270664,0,1
1550274754,1,1
1550284361,0,1
1550286345,1,0
1550301641,0,1
1550303580,1,0
1550305479,0,4
1550311293,1,0
1550323250,1,0
1550332922,0,1
1550336686,1,0
1550346521,1,0
1550348430,1,0
1550362381,0,1
1550371958,1,0
1550373870,0,1
1550385418,1,0
1550391170,0,1
1550396912,0,1
1550398854,1,0
1550408511,0,1
1550419961,1,0
1550421869,0,1
1550425891,1,0
1550431472,1,0
1550433419,0,1
1550449271,2,0
1550451173,1,0
1550453088,1,0
1550456909,0,1
1550466514,1,0
1550476117,1,0
1550497259,0,1
1550506731,0,1
1550508533,1,1
1550510452,1,0
1550518380,1,2
1550526286,3,0
1550528202,1,0
1550535868,0,3
1550537806,0,2
1550539717,1,0
1550541729,1,0
1550553402,1,1
1550557250,1,0
1550562979,0,1
1550564909,1,0
1550572603,0,1
1550578376,0,2
1550580288,1,1
1550599601,1,1
1550601639,1,0
1550605473,0,1
1550619413,0,1
1550627065,1,2
1550629008,0,1
1550630925,1,0
1550644384,1,0
1550652524,0,1
1550654477,1,0
1550665974,0,1
1550677737,2,0
1550686109,0,1
1550701490,1,0
1550713459,0,1
1550717331,0,1
1550727151,1,0
1550731027,0,1
1550740850,0,1
1550742762,0,1
1550750704,1,0
1550756662,1,0
1550764608,1,2
1550772290,1,0
1550781872,1,0
1550787648,1,1
1550807814,1,0
1550817628,1,0
1550819590,1,0
1550837156,0,1
1550843075,1,1
1550850752,0,1
1550858553,0,1
1550868059,0,1
1550873829,0,1
1550875714,1,0
1550877651,1,0
1550881488,1,0
1550883423,1,0
1550885359,1,0
1550887355,1,0
1550893231,1,0
1550895166,0,1
1550899029,1,0
1550904769,1,2
1550929943,0,1
1550941718,1,0
1550945557,1,1
1550949386,1,0
1550953272,1,0
1550961152,0,1
1550965008,0,1
1550970780,1,0
1550972663,0,1
1550974588,1,0
1550980369,0,1
1550986578,0,1
1550988769,1,0
1550990680,0,1
1551006139,1,0
1551029315,0,1
1551035345,0,2
1551037229,1,0
1551039151,0,1
1551045142,1,0
1551056922,0,1
1551060753,1,1
1551074588,0,1
1551084736,1,0
1551092514,0,1
1551104012,1,0
1551123167,0,1
1551142588,0,2
1551146675,2,1
1551152687,1,0
1551156510,1,0
1551160355,2,0
1551173579,0,1
1551179585,1,0
1551185320,0,1
1551191102,0,1
1551193388,0,1
1551195397,0,4
1551203092,0,1
1551211519,0,1
1551215313,1,0
1551217255,2,0
1551219219,1,0
1551223218,3,0
1551233322,0,2
1551239085,0,1
1551242910,0,1
1551246740,1,1
1551265969,0,1
1551279712,1,0
1551294177,1,0
1551300279,1,0
1551302208,1,1
1551315781,1,0
1551319498,1,1
1551329067,0,1
1551332904,0,1
1551365817,0,1
1551375414,1,0
1551379229,0,1
1551385236,0,1
1551387181,2,0
1551389101,2,0
1551391011,1,0
1551393504,1,0
1551401110,0,1
1551405174,0,1
1551418597,1,0
1551440436,2,0
1551448133,1,0
1551455806,1,1
1551457971,0,3
1551461805,0,1
1551470588,1,0
1551478335,0,1
1551486051,0,1
1551505738,0,1
1551521581,1,0
1551525437,0,1
1551542964,0,1
1551555306,0,1
1551566934,0,1
1551572687,0,1
1551584686,1,0
1551586587,1,0
1551590688,1,0
1551602418,1,0
1551606296,2,0
1551608216,1,0
1551621897,1,0
1551623801,1,0
1551639384,1,0
1551647154,1,0
1551651172,1,1
1551668783,1,0
1551672515,0,1
1551676363,0,1
1551678283,1,0
1551688141,0,1
1551691977,0,2
1551693964,0,1
1551701555,1,0
1551709529,0,1
1551713310,1,0
1551715395,1,1
1551717380,1,1
1551723151,1,0
1551725080,0,1
1551730850,1,0
1551732772,3,0
1551734695,2,0
1551738529,0,1
1551740712,3,0
1551742583,2,0
1551754115,0,1
1551761819,0,1
1551785096,1,0
