DateTime,Entries,UniqueIPs
1550805928,6326,6326
1550807818,6325,6325
1550809959,6320,6320
1550811915,6318,6318
1550813845,6309,6309
1550815736,6296,6296
1550817646,6279,6279
1550819594,6277,6277
1550821510,6253,6253
1550823656,6233,6233
1550825627,6210,6210
1550827492,6186,6186
1550829418,6154,6154
1550831324,6120,6120
1550833364,6078,6078
1550835185,6058,6058
1550837164,6027,6027
1550839016,6001,6001
1550841181,5986,5986
1550843080,5957,5957
1550845010,5929,5929
1550846915,5908,5908
1550848850,5893,5893
1550850767,5865,5865
1550852681,5830,5830
1550854610,5775,5775
1550856514,5746,5746
1550858596,5709,5709
1550860405,5668,5668
1550862350,5593,5593
1550864198,5547,5547
1550866153,5447,5447
1550868063,5475,5475
1550869977,5499,5499
1550871887,5583,5583
1550873833,5653,5653
1550875718,5694,5694
1550877657,5751,5751
1550879557,5794,5794
1550881492,5868,5868
1550883428,5896,5896
1550885363,5939,5939
1550887360,5973,5973
1550889190,5998,5998
1550891351,6018,6018
1550893235,6019,6019
1550895171,6048,6048
1550897084,6060,6060
1550899033,6062,6062
1550900929,6077,6077
1550902836,6074,6074
1550904773,6070,6070
1550906687,6076,6076
1550908639,6084,6084
1550910522,6089,6089
1550912534,6085,6085
1550914362,6055,6055
1550916322,6036,6036
1550918217,5995,5995
1550920402,5946,5946
1550922270,5942,5942
1550924222,5933,5933
1550926182,5932,5932
1550928045,5923,5923
1550929949,5935,5935
1550931880,5936,5936
1550933830,5939,5939
1550935712,5974,5974
1550937756,6014,6014
1550939808,6036,6036
1550941722,6034,6034
1550943674,6053,6053
1550945561,6055,6055
1550947534,6092,6092
1550949390,6150,6150
1550951338,6225,6225
1550953276,6258,6258
1550955208,6286,6286
1550957090,6322,6322
1550959013,6335,6335
1550961157,6334,6334
1550963093,6337,6337
1550965012,6357,6357
1550966906,6381,6381
1550968831,6369,6369
1550970784,6380,6380
1550972667,6378,6378
1550974592,6385,6385
1550976551,6376,6376
1550978454,6384,6384
1550980374,6382,6382
1550982284,6367,6367
1550984560,6340,6340
1550986587,6313,6313
1550988774,6319,6319
1550990684,6317,6317
1550992638,6310,6310
1550994515,6294,6294
1550996453,6277,6277
1550998373,6268,6268
1551000268,6292,6292
1551002216,6314,6314
1551004112,6344,6344
1551006153,6528,6528
1551007977,8031,8031
1551009909,8099,8099
1551011814,8096,8096
1551013960,8105,8105
1551015868,8110,8110
1551017828,8109,8109
1551019712,8110,8110
1551021624,8112,8112
1551023587,8096,8096
1551025475,8092,8092
1551027392,8078,8078
1551029338,8070,8070
1551031391,8078,8078
1551033382,8082,8082
1551035350,8092,8092
1551037249,8098,8098
1551039156,8105,8105
1551041103,8106,8106
1551043017,8107,8107
1551045147,8120,8120
1551047086,8143,8143
1551049020,8149,8149
1551051201,8151,8151
1551053167,8172,8172
1551055008,8174,8174
1551056926,8178,8178
1551058851,8191,8191
1551060759,8198,8198
1551062671,8197,8197
