DateTime,AddedIPs,RemovedIPs
1550789545,3,1
1550792500,5,1
1550794381,4,1
1550796208,1,4
1550798197,3,2
1550800120,3,1
1550802052,3,0
1550803973,6,5
1550805931,2,0
1550807822,3,4
1550809962,2,3
1550811919,6,4
1550813849,5,4
1550815740,3,6
1550817650,9,0
1550819597,7,5
1550821513,5,0
1550823665,1,1
1550825630,1,2
1550827496,4,3
1550829421,2,1
1550831327,3,3
1550833367,3,0
1550837168,3,2
1550839021,0,10
1550841204,3,5
1550843083,7,1
1550845050,2,3
1550846919,4,1
1550848853,0,1
1550850782,2,1
1550852685,0,4
1550854614,1,4
1550856517,1,2
1550858637,2,1
1550860586,2,4
1550862757,4,5
1550864665,5,1
1550866607,2,2
1550868494,4,4
1550870416,1,0
1550872376,7,4
1550874265,0,6
1550876525,5,4
1550878350,0,3
1550880286,5,2
1550882180,3,2
1550884126,2,3
1550886260,5,4
1550888197,3,0
1550890107,4,6
1550892318,2,4
1550894195,2,3
1550896104,2,2
1550898179,7,5
1550900021,2,7
1550901923,7,3
1550903789,5,11
1550905733,2,7
1550907622,2,6
1550909552,2,1
1550911482,2,1
1550913566,2,6
1550915442,0,3
1550917486,2,2
1550919382,6,4
1550921550,1,1
1550923520,0,4
1550925404,1,1
1550927302,1,4
1550929218,2,6
1550931177,0,1
1550933083,3,5
1550934986,2,1
1550936925,5,2
1550939101,2,0
1550940977,2,2
1550943266,4,1
1550945087,3,2
1550946992,4,1
1550948939,0,2
1550950824,4,4
1550952764,1,3
1550954690,2,3
1550956582,4,1
1550958511,4,8
1550960445,4,0
1550962359,3,3
1550964287,3,1
1550966183,3,1
1550968356,2,7
1550970513,1,4
1550972423,0,5
1550974351,2,1
1550976288,1,4
1550978182,4,2
1550980106,0,2
1550982077,2,1
1550983993,4,3
1550985874,3,4
1550988147,2,12
1550990259,1,6
1550992125,3,4
1550994041,4,4
1550995969,2,2
1550997903,4,0
1550999810,0,3
1551003629,3,1
1551005578,2,7
1551007473,0,2
1551009386,2,0
1551011339,1,1
1551013323,3,3
1551015150,2,0
1551017103,2,3
1551018984,1,3
1551021167,1,3
1551023066,2,2
1551025263,3,2
1551027184,2,3
1551029089,45,3
1551030991,41,3
1551032923,44,2
1551034969,33,2
1551036778,19,3
1551038700,10,5
1551040825,23,1
1551042740,16,2
1551044702,18,1
1551046584,16,2
1551048499,15,5
1551050485,11,5
1551052415,10,4
1551054290,10,0
1551056207,12,1
1551058110,2,1
1551060183,3,0
1551062195,1,2
1551064380,1,5
1551066330,1,0
1551068204,1,3
1551070115,4,2
1551072036,1,4
1551073979,2,1
1551075880,4,1
1551077810,0,1
1551079713,1,2
1551081774,4,1
1551083586,0,4
1551085488,4,1
1551087631,12,0
1551089551,20,1
1551091494,14,2
1551093388,22,1
1551095337,23,2
1551097238,23,1
1551099159,19,2
1551101108,6,4
1551103005,1,2
1551105178,2,1
1551107126,4,0
1551109000,0,2
1551111018,2,2
1551112856,1,1
1551115420,3,42
1551117479,2,42
1551119331,2,43
1551121165,2,31
1551123185,0,20
1551125122,1,10
1551127000,1,13
1551129210,1,10
1551131088,0,12
1551133026,4,7
1551134933,5,6
1551136867,2,4
1551138775,6,13
1551140701,3,13
1551142596,1,18
1551144543,1,3
1551146697,1,5
1551148597,5,3
1551150804,4,2
1551152711,4,1
1551154601,0,1
1551156517,0,1
1551160363,2,3
1551162294,0,5
1551164211,2,4
1551166119,0,1
1551168148,2,4
1551169970,2,3
1551171800,2,5
1551174059,3,9
1551175966,2,17
1551177880,0,21
1551179809,2,25
1551181977,1,31
1551183875,8,26
1551185805,2,29
1551187725,2,9
1551189765,3,0
1551191575,0,1
1551193396,1,2
