DateTime,AddedIPs,RemovedIPs
1551411869,12,9
1551412593,13,9
1551413310,9,8
1551414035,12,6
1551414752,5,2
1551415476,4,6
1551416168,4,6
1551417148,10,18
1551417852,5,0
1551418572,4,6
1551419290,6,9
1551420026,6,1
1551420735,3,2
1551421462,6,9
1551422168,5,8
1551422896,5,5
1551423614,9,4
1551424333,5,5
1551425051,4,2
1551425771,3,4
1551426487,4,5
1551427219,5,7
1551427953,3,0
1551428666,8,4
1551429369,2,6
1551430098,8,9
1551430809,9,4
1551431533,2,2
1551432252,6,16
1551432970,7,0
1551433690,7,11
1551434420,9,0
1551435133,2,5
1551435851,11,2
1551436578,3,6
1551437287,4,4
1551438020,5,6
1551438999,15,4
1551439963,5,5
1551440672,6,2
1551441386,2,2
1551442365,9,2
1551443071,3,12
1551443795,3,3
1551444512,5,4
1551445231,4,4
1551445955,6,6
1551446672,6,7
1551447393,6,2
1551448118,3,3
1551448839,2,9
1551449553,6,4
1551450278,8,0
1551450987,7,7
1551451712,7,3
1551452431,8,2
1551453135,3,4
1551453873,6,3
1551454570,5,6
1551455296,3,5
1551456013,4,5
1551456732,2,5
1551457454,6,4
1551458418,2,3
1551459128,7,4
1551459868,6,3
1551460574,6,2
1551461292,2,9
1551462010,9,12
1551462732,2,7
1551463460,5,4
1551464572,12,3
1551465285,5,8
1551465920,5,5
1551466893,5,3
1551467996,3,8
1551468731,3,5
1551469462,2,11
1551470168,4,0
1551470922,3,5
1551471632,3,9
1551472361,6,8
1551473070,1,5
1551473789,8,1
1551474514,8,13
1551475233,7,3
1551475958,6,5
1551476675,6,9
1551477386,6,2
1551478117,9,10
1551478828,3,9
1551479562,4,0
1551480272,5,5
1551480986,6,3
1551481724,8,7
1551482439,7,11
1551483140,13,5
1551483854,8,6
1551484572,11,4
1551485563,5,15
1551486251,8,5
1551486975,6,6
1551487687,6,5
1551488424,4,12
1551489131,8,7
1551489857,4,10
1551490571,10,5
1551491302,7,4
1551492010,7,7
1551492743,4,14
1551493718,16,0
1551494431,8,17
1551495154,10,8
1551496122,16,14
1551496829,5,0
1551497559,9,6
1551498277,8,18
1551498988,9,0
1551499714,3,13
1551500431,6,0
1551501159,7,8
1551501877,2,7
1551502568,2,15
1551503294,7,0
1551504011,6,6
1551504740,1,1
1551505452,3,6
1551506173,4,2
1551506912,2,4
1551507631,5,3
1551508355,2,5
1551509072,3,4
1551509791,6,6
1551510518,3,4
1551511229,5,4
1551511960,7,1
1551512650,7,4
1551513371,4,1
1551514124,5,4
1551515096,6,10
1551515788,7,2
1551516525,5,7
1551517246,6,4
1551518089,3,8
1551518888,8,6
1551519609,3,5
1551520333,6,5
1551521060,5,5
1551522020,11,8
1551522730,6,4
1551523465,3,8
1551524170,8,6
1551524895,6,13
1551525609,3,4
1551526664,12,3
1551527291,5,7
1551528017,9,4
1551528729,6,0
1551529468,8,3
1551530173,3,4
1551530894,5,4
1551531611,2,3
1551532334,5,5
1551533057,7,8
1551533782,4,2
1551534491,3,1
1551535217,5,3
1551535934,6,9
1551536656,2,3
1551537368,7,2
1551538092,6,4
1551538814,5,7
1551539562,6,7
1551540271,6,0
1551540992,5,16
1551541713,3,9
1551542436,11,0
1551543399,7,5
1551544107,5,4
1551544841,1,10
1551545535,1,4
1551546257,8,0
1551548377,13,18
1551550387,14,20
1551551089,5,6
1551551768,10,4
1551552492,3,7
1551553210,7,0
1551553937,2,9
1551554675,7,6
1551555279,1,6
1551556090,9,3
1551556818,3,5
1551557534,7,8
1551558269,3,4
1551558973,6,5
1551559693,3,2
1551560423,7,4
1551561134,4,3
1551561851,9,3
1551562571,6,10
1551563291,4,6
1551564019,4,6
1551564737,5,5
1551565454,9,8
1551566911,8,15
1551567638,7,5
1551568360,6,9
1551569072,6,8
1551569793,4,6
1551570517,8,4
1551571243,4,6
1551571938,1,0
1551572655,10,13
1551573640,7,6
1551574327,5,2
1551575080,6,6
1551575777,5,3
1551576495,3,7
1551577208,8,14
1551577937,8,9
1551578925,9,4
1551579634,7,19
1551580364,6,13
1551581070,7,16
1551581795,2,9
1551582741,14,12
1551583459,11,7
1551584173,4,6
1551584887,7,6
1551585613,7,5
1551586331,2,5
1551587055,8,3
1551587772,2,5
1551588758,3,4
1551589726,3,14
1551590409,4,0
1551591143,5,4
1551591853,5,5
1551592571,3,0
1551593312,1,7
1551594043,5,7
1551594990,7,4
1551595686,7,3
1551596440,1,7
1551597401,3,3
1551598335,7,3
1551599050,7,7
1551599771,6,3
1551600496,5,7
1551601212,6,8
1551601938,5,5
1551602650,7,10
1551603372,8,3
1551604113,4,4
1551604834,10,5
1551605557,6,1
1551606275,6,9
1551606996,7,5
1551607694,3,9
1551608412,6,0
1551609136,5,10
1551609850,2,0
1551610570,11,9
1551611290,3,0
1551612014,5,6
1551612736,6,0
1551613458,6,3
1551614182,4,4
1551614894,8,3
1551615620,6,4
1551616337,9,5
1551617052,6,3
1551617770,5,5
1551618521,5,12
1551619233,3,6
1551619962,3,3
1551620670,5,3
1551621388,3,4
1551622115,5,6
1551622831,4,4
1551623561,2,4
1551624272,3,3
1551624989,5,3
1551625715,1,12
1551626428,11,4
1551627162,4,5
1551627871,7,3
1551628588,10,1
1551629367,0,8
1551630260,7,8
1551630973,4,8
1551631697,3,2
1551632408,4,4
1551633135,2,13
1551633852,6,0
1551634576,3,0
1551635290,6,15
1551636018,2,0
1551636730,6,0
1551637454,11,1
1551638175,4,8
1551638893,3,4
1551639610,8,0
1551640503,8,13
1551641291,1,6
1551642010,8,4
1551642631,4,5
1551643237,6,3
1551643931,4,0
1551644677,11,11
1551645368,9,0
1551646091,6,3
1551646822,5,5
1551647562,6,11
1551648252,4,6
1551648974,7,1
1551649941,12,6
1551650661,7,6
1551651618,6,6
1551652331,8,8
1551653772,11,6
1551654744,6,4
1551655458,4,6
1551656168,8,5
1551656896,1,5
1551657623,4,10
1551658336,3,1
1551659051,11,6
1551659771,1,9
1551660498,7,6
1551661209,5,6
1551661935,3,5
1551662656,8,1
1551663375,7,10
1551664090,9,5
1551664816,9,5
1551665536,5,9
1551666258,11,19
1551666967,6,7
1551667689,5,5
1551668412,5,15
1551669145,8,6
1551669851,10,0
1551670575,4,15
1551671290,9,10
1551672014,15,7
1551672733,7,7
1551673455,5,0
1551674168,4,6
1551674892,2,2
1551675616,11,9
1551676334,3,6
1551677053,1,2
1551677768,7,4
1551678492,4,1
1551679209,4,4
1551679935,6,4
1551680652,3,6
1551681374,3,0
1551682409,6,1
1551683055,4,5
1551683773,8,0
1551684492,3,6
1551685234,5,6
1551685948,5,4
1551686683,1,2
1551687392,4,2
1551688109,4,5
1551688829,6,5
1551689551,4,4
1551690528,4,9
1551691228,3,0
1551691960,6,11
1551692670,11,0
1551693389,1,1
1551694362,2,8
1551695072,7,1
1551695790,5,4
1551696511,7,8
1551697234,7,3
1551698204,7,5
1551698907,9,3
1551699637,4,1
1551700348,5,10
1551701079,10,3
1551701789,5,3
1551702518,6,3
1551703229,5,2
1551703955,5,4
1551704674,2,4
1551705478,4,9
1551706341,5,4
1551706994,7,6
1551708103,10,11
1551709997,10,15
1551710652,3,0
1551711374,6,4
1551712088,2,3
1551712809,5,3
1551713538,5,3
1551714252,4,4
1551714967,7,3
1551715751,4,7
1551716410,3,7
1551717134,4,2
1551717849,4,6
1551718570,6,9
1551719290,7,2
1551720039,4,7
1551720735,10,9
1551721784,9,9
1551722421,2,7
1551723136,8,5
1551723852,3,0
1551724570,6,4
1551725289,10,5
1551726017,3,12
1551726732,14,0
1551727459,10,3
1551728169,7,5
1551728896,7,6
1551729612,5,9
1551730335,8,12
1551731053,8,0
1551731771,14,8
1551732499,12,6
1551733225,7,2
1551733930,8,0
1551734656,10,9
1551735369,5,0
1551736088,7,3
1551736837,6,8
1551737531,6,11
1551738258,4,6
1551738969,5,8
1551739697,10,7
1551740416,8,7
1551741141,5,0
1551741852,9,5
1551742569,8,5
1551743293,8,1
1551744023,5,4
1551744758,7,11
1551745475,3,8
1551746188,6,5
1551746916,3,5
1551747630,4,6
1551748353,4,6
1551749069,5,12
1551749790,8,10
1551750509,5,6
1551751238,8,3
1551751931,6,0
1551752661,11,24
1551753368,14,13
1551754093,15,9
1551754810,6,0
1551755535,7,6
1551756252,9,13
1551756971,6,0
1551757686,8,11
1551758426,5,21
1551759132,13,0
1551759855,6,15
1551760569,4,1
1551761293,8,6
1551762020,8,8
1551762730,8,0
1551763454,6,10
1551764171,1,3
1551764892,3,0
1551765618,5,4
1551766337,5,3
1551767059,5,4
1551767769,3,0
1551768495,6,7
1551769212,4,1
1551769929,2,5
1551770657,2,4
1551771368,5,7
1551772097,5,7
1551772815,4,4
1551773537,7,2
1551774252,4,7
1551774972,3,2
1551775697,8,3
1551776447,7,9
1551777132,5,4
1551777860,7,3
1551778568,3,9
1551779295,2,7
1551780019,9,5
1551780734,2,0
1551781453,8,9
1551782170,5,6
1551782889,8,5
1551783626,3,2
1551784332,1,4
1551785080,6,3
