DateTime,AddedIPs,RemovedIPs
1551412593,30,30
1551413310,31,23
1551414035,31,36
1551414752,33,34
1551415476,44,46
1551416168,40,24
1551417148,34,50
1551417852,22,27
1551418572,29,28
1551419290,36,30
1551420026,26,19
1551420735,25,32
1551421462,31,29
1551422168,34,36
1551422896,28,27
1551423614,33,39
1551424333,32,35
1551425051,37,19
1551425771,31,22
1551426487,28,36
1551427219,27,34
1551427953,41,451
1551428666,478,39
1551429369,22,28
1551430098,30,42
1551430809,43,75
1551431533,61,34
1551432252,44,34
1551432970,43,42
1551433690,43,35
1551434420,38,45
1551435133,32,31
1551435851,48,42
1551436578,33,31
1551437287,36,37
1551438020,46,23
1551438999,47,65
1551439963,45,29
1551440672,30,33
1551441386,30,42
1551442365,41,37
1551443071,50,492
1551443795,499,42
1551444512,43,28
1551445231,32,29
1551445955,34,496
1551446672,497,37
1551447393,33,496
1551448118,488,42
1551448839,53,33
1551449553,37,56
1551450278,53,29
1551450987,32,60
1551451712,64,34
1551452431,53,25
1551453135,28,38
1551453873,26,489
1551454570,487,33
1551455296,26,502
1551456013,499,26
1551456732,13,21
1551457454,40,24
1551458418,31,39
1551459128,42,39
1551459868,38,35
1551460574,39,50
1551461292,41,40
1551462010,44,496
1551462732,484,29
1551463460,32,54
1551464572,63,44
1551465285,27,504
1551465920,502,25
1551466893,31,36
1551467996,31,66
1551468731,48,25
1551469462,31,39
1551470168,35,29
1551470922,30,41
1551471632,34,27
1551472361,29,30
1551473070,29,40
1551473789,41,16
1551474514,27,31
1551475233,32,30
1551475958,27,29
1551476675,34,37
1551477386,37,30
1551478117,33,31
1551478828,28,29
1551479562,28,44
1551480272,33,37
1551480986,36,26
1551481724,18,183
1551482439,166,40
1551483140,50,26
1551483854,35,41
1551484572,39,24
1551485563,32,39
1551486251,42,44
1551486975,35,519
1551487687,508,29
1551488424,32,508
1551489131,519,31
1551489857,36,30
1551490571,34,37
1551491302,32,36
1551492010,30,34
1551492743,26,33
1551493718,59,459
1551494431,439,49
1551495154,46,29
1551496122,40,31
1551496829,20,32
1551497559,36,62
1551498277,66,32
1551498988,42,26
1551499714,13,37
1551500431,38,28
1551501159,35,30
1551501877,27,44
1551502568,41,29
1551503294,42,44
1551504011,35,38
1551504740,27,20
1551505452,28,24
1551506173,23,29
1551506912,25,449
1551507631,434,24
1551508355,31,31
1551509072,19,22
1551509791,27,34
1551510518,32,21
1551511229,30,19
1551511960,31,21
1551512650,28,33
1551513371,23,25
1551514124,31,22
1551515096,34,32
1551515788,33,36
1551516525,32,32
1551517246,34,34
1551518089,30,37
1551518888,45,24
1551519609,19,21
1551520333,42,38
1551521060,31,30
1551522020,39,31
1551522730,26,28
1551523465,33,32
1551524170,30,25
1551524895,26,38
1551525609,23,21
1551526664,44,33
1551527291,38,32
1551528017,42,31
1551528729,29,29
1551529468,43,28
1551530173,35,34
1551530894,31,32
1551531611,32,36
1551532334,39,41
1551533057,32,45
1551533782,47,91
1551534491,89,20
1551535217,32,39
1551535934,31,39
1551536656,26,35
1551537368,42,26
1551538092,22,22
1551538814,28,31
1551539562,36,113
1551540271,102,26
1551540992,34,30
1551541713,20,32
1551542436,42,14
1551543399,32,37
1551544107,31,31
1551544841,20,24
1551545535,30,37
1551546257,45,41
1551548377,53,43
1551550387,54,51
1551551089,25,28
1551551768,38,20
1551552492,19,21
1551553210,40,35
1551553937,34,41
1551554675,37,27
1551555279,25,18
1551556090,34,37
1551556818,31,25
1551557534,29,32
1551558269,20,27
1551558973,22,24
1551559693,20,25
1551560423,24,28
1551561134,27,25
1551561851,26,40
1551562571,32,25
1551563291,25,30
1551564019,25,34
1551564737,29,25
1551565454,30,44
1551566911,53,40
1551567638,27,27
1551568360,31,27
1551569072,28,27
1551569793,27,28
1551570517,19,77
1551571243,78,31
1551571938,17,23
1551572655,41,27
1551573640,18,36
1551574327,26,25
1551575080,23,29
1551575777,33,28
1551576495,21,20
1551577208,34,46
1551577937,26,25
1551578925,26,30
1551579634,35,36
1551580364,52,41
1551581070,25,27
1551581795,15,35
1551582741,48,481
1551583459,484,26
1551584173,19,22
1551584887,15,29
1551585613,32,25
1551586331,25,45
1551587055,45,35
1551587772,18,27
1551588758,36,18
1551589726,12,38
1551590409,28,26
1551591143,26,33
1551591853,26,36
1551592571,24,18
1551593312,20,27
1551594043,35,30
1551594990,34,30
1551595686,35,17
1551596440,21,28
1551597401,44,31
1551598335,32,34
1551599050,29,29
1551599771,35,44
1551600496,50,33
1551601212,26,20
1551601938,26,18
1551602650,35,37
1551603372,45,33
1551604113,18,29
