DateTime,AddedIPs,RemovedIPs
1551104096,40,16
1551104918,27,4
1551106805,19,55
1551107920,28,9
1551109373,21,27
1551111296,16,42
1551112968,40,36
1551114655,35,25
1551115894,10,56
1551117414,41,1
1551118497,45,17
1551119323,38,3
1551120637,27,33
1551121820,23,22
1551123382,31,18
1551125677,63,20
1551127366,34,63
1551129050,62,38
1551130806,45,27
1551132346,25,76
1551133922,26,12
1551134574,2,4
1551135396,9,3
1551136570,22,10
1551137321,17,2
1551139023,15,9
1551140165,106,4
1551141757,42,43
1551143455,49,38
1551144693,41,21
1551146199,28,12
1551147299,46,8
1551148964,39,49
1551149801,9,4
1551150880,35,14
1551151727,16,8
1551152950,18,34
1551154257,14,10
1551154505,1,1
1551156120,36,41
1551158101,77,28
1551159757,28,31
1551161678,28,35
1551163271,15,32
1551164219,4,5
1551165279,16,38
1551166900,27,25
1551168898,30,14
1551170587,50,29
1551171401,17,5
1551172524,0,3313
1551172540,3320,0
1551175400,99,75
1551176923,44,6
1551177755,17,25
1551179454,38,27
1551180983,22,104
1551182773,19,40
1551183951,12,5
1551185151,14,36
1551186879,26,58
1551188512,21,78
1551190253,26,17
1551191703,17,76
1551192993,31,16
1551194090,65,42
1551194918,36,5
1551196239,29,79
1551197458,26,12
1551198622,51,16
1551199839,30,19
1551201048,49,11
1551202960,63,25
1551203797,18,6
1551204965,30,73
1551206567,46,100
1551208497,47,34
1551211577,66,66
1551212077,15,1
1551213775,26,56
1551214602,15,1
1551215680,45,20
1551216960,17,20
1551219366,44,32
1551220888,19,20
1551222661,23,17
1551224572,21,80
1551225961,47,25
1551227317,70,4
1551228156,19,21
1551229859,17,59
1551231056,63,37
1551232238,51,3
1551233453,34,50
1551235358,26,83
1551237065,34,18
1551238305,26,37
1551240376,68,29
1551241717,25,6
1551243410,31,30
1551244568,27,28
1551245320,20,1
1551246655,45,45
1551248091,44,16
1551248925,28,3
1551250212,22,22
1551251682,27,13
1551253550,38,17
1551254197,15,0
1551255296,23,52
1551256917,49,49
1551257801,25,1
1551258969,32,29
1551261960,96,61
1551263317,46,4
1551264164,17,83
1551264998,10,4
1551266106,25,25
1551266928,22,6
1551268555,28,46
1551270523,36,37
1551271837,21,85
1551273308,11,28
1551274972,24,56
1551276366,28,10
1551277873,54,52
1551279039,22,13
1551280270,11,15
1551282646,53,23
1551284098,59,49
1551285773,57,29
1551286604,13,3
1551288062,37,26
1551289298,35,64
1551291277,66,47
1551292974,46,25
1551294664,51,45
1551295904,52,62
1551297968,84,43
1551299315,39,7
1551300167,16,33
1551301845,43,26
1551302915,25,5
1551304613,20,25
1551307378,68,49
1551308214,9,1
1551309294,9,14
1551310561,5,93
1551311739,8,12
1551312904,51,21
1551314508,51,53
1551316480,30,34
1551317765,18,56
1551319549,39,26
1551320925,54,12
1551322598,55,56
1551324529,33,17
1551326225,63,31
1551327363,41,20
1551328909,28,91
1551330893,77,16
1551331727,13,1
1551332566,14,19
1551333832,16,6
1551336066,65,26
1551337193,13,25
1551338937,26,7
1551340221,44,44
1551341455,41,11
1551342529,34,2
1551344142,41,26
1551345371,25,93
1551346917,36,103
1551347809,7,5
1551349717,36,18
1551351340,55,37
1551352566,25,11
1551353324,15,2
1551354456,13,16
1551356089,25,18
1551357703,33,27
1551359679,48,17
1551360536,16,3
1551362213,12,21
1551363292,13,29
1551364126,19,3
1551365812,34,52
1551366902,58,33
1551367736,17,5
1551368570,12,75
1551370476,17,26
1551372173,37,72
1551373009,20,7
1551374152,14,26
1551375755,25,60
1551377694,34,39
1551379375,37,30
1551381062,55,24
1551382969,24,25
1551384358,28,16
1551385537,11,5
1551386750,22,54
1551388155,34,21
1551389316,18,5
1551391009,16,33
1551393340,90,34
1551394615,16,5
1551395708,16,26
1551396962,7,67
1551398214,22,6
1551399287,11,14
1551400118,17,1
1551401854,39,73
1551403267,28,64
1551404574,41,37
1551406482,28,40
1551407325,8,2
1551408644,45,43
1551409855,43,59
1551410079,5,1
1551411789,24,48
1551413466,9,21
1551415366,47,37
1551417280,22,57
1551418719,40,45
1551420662,28,36
1551421718,6,1
1551422580,6,34
1551423410,7,1
1551424562,24,36
1551425324,5,1
1551427019,27,59
1551428162,10,30
1551429346,12,36
1551430610,13,3
1551432528,19,53
1551433367,7,82
1551434212,9,0
1551435360,13,12
1551436118,51,4
1551437437,11,65
1551438896,16,24
1551440572,16,32
1551441406,18,0
1551442486,14,24
1551444107,64,37
1551446092,35,20
1551447629,27,55
1551449753,42,31
1551451314,28,19
1551453279,62,58
1551454970,35,71
1551456366,33,33
1551457540,30,4
1551458563,28,47
1551460255,16,31
1551462170,36,65
1551464737,97,35
1551466365,33,55
1551467686,23,81
1551468946,46,48
1551471276,41,35
1551472975,40,47
1551473812,17,0
1551473990,2,9
1551475721,38,6
1551476571,16,47
1551477397,15,5
1551478473,22,31
1551479336,29,0
1551480160,22,10
1551482418,62,7
1551484145,28,93
1551485405,34,19
1551489072,49,51
1551490539,39,60
1551491738,32,25
1551492969,49,42
1551493726,13,7
1551494566,55,47
1551495414,15,3
1551496250,22,52
1551498114,72,90
1551499002,56,3
1551500157,29,55
1551501769,45,49
1551502605,12,2
1551503696,26,20
1551505311,39,70
1551506217,29,4
1551507305,24,14
1551508571,18,26
1551509753,49,11
1551510889,32,37
1551512496,25,93
1551514480,27,31
1551515738,15,39
1551517665,81,44
1551518085,7,3
1551519763,26,64
1551520595,42,20
1551521728,31,27
1551523301,33,49
1551524213,25,1
1551525293,26,17
1551526122,12,3
1551528217,18,95
1551529734,14,6
1551531398,42,39
1551533329,65,17
1551534171,20,28
1551535019,20,9
1551536156,10,37
1551536928,26,4
1551538239,49,83
1551539465,31,13
1551541356,39,20
1551542202,13,1
1551543351,46,50
1551544541,18,21
1551545700,23,7
1551548556,92,60
1551549978,38,62
1551551736,30,25
1551552163,15,1
1551553002,41,2
1551554914,64,31
1551556622,27,28
1551557760,13,31
1551559362,24,40
1551560216,39,2
1551561354,18,14
1551562135,15,7
1551562963,16,86
1551563795,28,4
1551564959,24,21
1551565716,20,5
1551566554,12,24
1551568490,52,21
1551570108,15,39
1551571004,8,3
1551572927,62,39
1551574539,35,39
1551575682,6,43
1551577365,24,21
1551578215,10,6
1551579279,14,29
1551580126,4,3
1551582544,53,79
1551584459,30,22
1551585752,16,42
1551587508,44,74
1551588181,23,2
1551589857,25,42
1551591794,32,17
1551592597,84,5
1551593690,15,14
1551595392,20,44
1551596195,13,1
1551597287,30,23
1551598970,46,23
