DateTime,AddedIPs,RemovedIPs
1551104070,41,233
1551104902,44,42
1551106766,89,108
1551107884,50,6
1551109352,61,51
1551111271,58,52
1551112952,57,59
1551114631,54,41
1551115853,42,55
1551117394,38,2
1551118466,56,51
1551119304,44,2
1551120622,45,71
1551121789,26,29
1551123355,28,50
1551125662,44,62
1551127345,26,70
1551129029,45,50
1551130791,62,44
1551132325,40,44
1551133901,41,38
1551134540,18,15
1551135381,28,6
1551136539,25,36
1551137304,21,5
1551139001,40,66
1551140132,22,46
1551141741,33,60
1551143435,46,30
1551144676,25,47
1551146182,27,22
1551147272,22,32
1551148943,33,60
1551149782,14,2
1551150862,19,40
1551151705,23,6
1551152932,25,62
1551154487,27,47
1551156039,34,46
1551158079,40,54
1551159741,42,63
1551161662,36,32
1551163243,28,62
1551164196,32,1
1551165262,20,59
1551166832,45,64
1551168866,31,55
1551170571,29,70
1551171385,16,2
1551172499,17,47
1551175377,52,102
1551176903,33,11
1551177740,23,57
1551179432,46,52
1551180958,25,48
1551182737,48,65
1551183928,35,1
1551185127,18,46
1551186863,37,51
1551188433,40,43
1551190236,55,56
1551191681,32,52
1551192961,25,23
1551194067,28,54
1551194903,17,4
1551196224,31,60
1551197431,46,39
1551198544,34,10
1551199822,35,79
1551201033,23,38
1551202943,49,77
1551203781,19,6
1551204927,29,34
1551206552,39,32
1551208471,34,46
1551211538,83,124
1551212061,10,0
1551213762,88,64
1551214584,41,2
1551215663,52,48
1551216922,136,62
1551219350,158,57
1551220826,86,59
1551222638,77,56
1551224551,71,89
1551225933,49,56
1551227301,71,5
1551228141,42,53
1551229821,72,74
1551231037,36,56
1551232222,32,25
1551233433,44,46
1551234667,34,54
1551235343,33,14
1551237043,62,31
1551238282,32,40
1551240344,43,47
1551241703,42,5
1551243385,33,76
1551244538,30,29
1551245303,31,4
1551246613,41,62
1551248068,43,33
1551248904,28,3
1551250194,32,43
1551251663,34,44
1551253529,50,50
1551254182,14,9
1551255274,30,51
1551256840,30,57
1551257785,21,14
1551258936,33,20
1551261929,95,81
1551263301,55,3
1551264142,27,52
1551264982,28,4
1551266073,39,32
1551266904,40,7
1551268531,67,56
1551270504,73,27
1551271821,37,41
1551273273,40,47
1551274943,37,69
1551276343,37,45
1551277842,52,64
1551279023,48,20
1551280243,51,35
1551282625,46,39
1551284062,33,62
1551285753,25,70
1551286584,24,9
1551288033,45,46
1551289223,33,54
1551291262,58,46
1551292946,31,44
1551294626,54,30
1551295865,37,39
1551297935,56,55
1551299300,54,7
1551300153,51,43
1551301825,64,31
1551302901,34,9
1551304593,53,57
1551307360,80,73
1551308184,18,4
1551309268,26,44
1551310543,35,63
1551311722,29,17
1551312882,24,44
1551314444,42,30
1551316463,29,44
1551317734,28,33
1551319517,47,41
1551320901,26,3
1551322582,41,50
1551324508,35,26
1551326201,45,46
1551327334,25,36
1551328843,28,43
1551330865,42,33
1551331706,21,5
1551332546,21,53
1551333785,31,40
1551336033,35,48
1551337164,25,34
1551338904,43,3
1551340192,22,57
1551341435,23,26
1551342510,26,6
1551344126,38,49
1551345347,28,25
1551346842,22,44
1551347794,28,15
1551348927,25,34
1551349702,17,2
1551351323,34,74
1551352534,39,35
1551353304,18,9
1551354428,28,57
1551356067,39,44
1551357621,35,52
1551359424,35,63
1551359662,8,2
1551360510,20,1
1551362192,35,78
1551363276,25,40
1551364102,18,3
1551365797,43,68
1551366875,26,75
1551367709,14,2
1551368550,20,117
1551370460,38,74
1551372147,56,156
1551372984,47,4
1551374127,54,39
1551375740,60,59
1551377670,60,28
1551379349,52,43
1551381043,35,40
1551382954,52,55
1551384338,47,45
1551385521,27,5
1551386726,31,66
1551388129,41,49
1551389301,30,5
1551390990,43,68
1551393321,54,61
1551394601,34,3
1551395671,20,55
1551396932,33,57
1551398189,32,29
1551399265,18,33
1551400102,16,7
1551401839,39,64
1551403236,32,47
1551404555,23,45
1551406464,41,59
1551407304,22,8
1551408627,27,64
1551409827,18,27
1551410063,8,0
1551411764,20,60
1551413437,54,31
1551415345,38,57
1551417263,38,68
1551418688,29,59
1551420631,34,47
1551421703,22,2
1551422546,18,50
1551423390,18,9
1551424530,26,58
1551425304,24,0
1551427003,35,62
1551428132,28,31
1551429329,27,57
1551430591,26,5
1551432508,38,55
1551433350,22,87
