DateTime,AddedIPs,RemovedIPs
1548993374,2,0
1548996046,0,1
1548999771,0,2
1549006963,0,2
1549014184,2,0
1549037681,1,1
1549043444,1,0
1549044660,0,1
1549061441,1,1
1549064130,1,0
1549084512,0,1
1549101398,1,0
1549104029,1,0
1549108112,0,1
1549111857,2,1
1549115750,0,1
1549123452,1,0
1549127452,0,1
1549132121,1,0
1549145757,0,1
1549156563,1,0
1549157748,3,1
1549163464,0,2
1549165384,0,1
1549170893,0,1
1549183745,0,1
1549190560,0,1
1549193318,1,0
1549203297,1,0
1549206886,0,1
1549211759,0,2
1549217682,1,0
1549223815,1,0
1549230113,0,1
1549232090,1,0
1549234542,1,0
1549235765,1,0
1549253742,1,0
1549255580,2,0
1549266184,0,1
1549273216,0,1
1549278896,1,1
1549295803,1,0
1549302162,0,1
1549308961,0,1
1549311283,0,1
1549312923,1,0
1549318565,1,0
1549325694,0,1
1549326520,1,0
1549327900,0,1
1549329280,1,0
1549338169,1,0
1549345743,0,1
1549368359,1,0
1549369855,1,0
1549371369,1,0
1549379456,0,1
1549382225,1,0
1549385825,1,0
1549390484,0,1
1549394099,2,1
1549406561,0,1
1549414759,1,0
1549422900,1,1
1549428166,1,0
1549433209,0,1
1549437297,1,0
1549443403,1,0
1549448107,1,0
1549449787,1,1
1549451790,0,1
1549458523,6,0
1549460588,1,0
1549462488,1,0
1549466103,0,2
1549484085,0,1
1549489364,1,1
1549494896,1,0
1549499706,0,1
1549511828,1,0
1549520923,1,0
1549527294,1,0
1549529360,0,1
1549532566,0,1
1549534004,0,2
1549537021,0,1
1549538132,0,1
1549539703,0,1
1549556935,0,1
1549564912,0,2
1549570493,1,0
1549575765,1,0
1549577693,1,0
1549581308,1,0
1549584978,0,1
1549589679,1,0
1549595492,0,1
1549596538,1,0
1549597851,0,1
1549599078,1,0
1549608601,1,0
1549614523,1,0
1549622191,0,1
1549627743,0,4
1549629736,0,1
1549633127,0,4
1549637814,1,0
1549642566,1,0
1549652650,1,0
1549653948,2,0
1549665715,0,1
1549706151,0,1
1549707358,1,0
1549713960,1,0
1549720608,1,0
1549723364,0,1
1549728440,0,1
1549731007,1,0
1549738618,0,1
1549741266,0,1
1549745811,1,0
1549750487,1,0
1549759858,1,0
1549766185,0,1
1549783736,1,0
1549788142,1,0
1549791358,0,1
1549804484,0,1
1549809781,1,0
1549824173,0,1
1549833310,1,0
1549840567,0,1
1549842364,0,1
1549847697,1,1
1549855905,0,1
1549862162,2,0
1549865780,1,0
1549867379,1,1
1549877305,1,0
1549879029,0,3
1549881003,0,1
1549886219,3,0
1549897477,0,1
1549899085,1,0
1549919342,1,0
1549927728,1,0
1549930003,1,0
1549946780,1,0
1549948596,0,1
1549952943,1,0
1549955699,1,0
1549966488,1,1
1549987019,1,0
1549991732,1,1
1549992924,1,0
1550004179,0,2
1550014992,0,1
1550024924,2,0
1550027690,1,4
1550032638,0,1
1550037353,1,0
1550038515,0,1
1550040115,2,0
1550050128,1,0
1550051750,1,0
1550058179,1,0
1550067462,0,2
1550088969,0,1
1550096093,1,0
1550096942,2,0
1550098085,4,0
1550099712,0,2
1550101388,1,0
1550112114,1,0
1550115787,0,1
1550123172,3,0
1550132927,1,0
1550144878,4,0
1550147275,3,0
1550148171,1,0
1550151795,2,0
1550153756,3,0
1550154923,1,0
1550156120,0,1
1550157314,3,0
1550159008,2,0
1550159807,2,0
1550162577,2,0
1550165337,1,0
1550167032,3,0
1550171689,1,0
1550182258,1,0
1550194996,0,2
1550196912,0,1
1550201346,1,0
1550203011,1,0
1550205768,0,1
1550207772,0,2
1550214971,0,1
1550220113,0,1
1550222090,2,1
1550224107,0,4
1550225338,0,2
1550229313,0,1
1550232901,1,0
1550234170,1,0
1550238060,0,1
1550242618,0,1
1550244990,1,0
1550250900,1,0
1550252107,1,0
1550260605,2,0
1550262055,0,1
1550263570,0,2
1550266980,0,3
1550268904,0,4
1550270183,0,1
1550272501,1,0
1550287735,1,0
1550292163,0,1
1550295780,1,0
1550305726,1,0
1550306564,0,1
1550310163,1,0
1550314249,0,1
1550315456,0,4
1550317375,0,5
1550320143,2,0
1550321390,0,4
1550322659,1,2
1550325807,0,6
1550328363,0,3
1550329746,0,2
1550330936,1,0
1550332627,1,2
1550335155,1,0
1550337367,0,2
1550341550,1,0
1550348102,1,0
1550362523,1,0
1550371404,0,1
1550380485,1,1
1550384930,2,0
1550389386,1,0
1550392126,1,0
1550396583,0,1
1550402095,1,0
1550403713,1,0
1550421692,1,1
1550427304,1,0
1550428142,2,0
1550430887,1,2
1550436362,1,1
1550438102,1,0
1550445359,1,0
1550457040,0,1
1550464931,0,3
1550480212,1,0
1550490683,6,0
1550491864,2,1
1550500956,0,1
1550506497,1,0
1550508191,1,1
1550509861,2,0
1550520910,0,1
1550524500,1,0
1550532987,0,1
1550546933,2,0
1550567702,0,1
1550568645,0,1
1550573475,0,1
1550576566,0,1
1550585737,1,0
1550590355,2,0
1550598176,0,1
1550599583,0,1
1550603773,1,0
1550621719,1,0
1550623389,1,0
1550627817,1,0
1550633343,1,0
1550634178,0,1
1550637721,1,0
1550651759,1,0
1550659384,0,1
1550661320,0,1
1550662916,0,1
1550675484,0,1
1550677109,0,1
1550679664,1,0
1550704515,1,0
1550708164,0,1
1550716982,1,0
1550719730,0,1
1550721440,1,0
1550730987,1,0
1550732813,1,1
1550733297,1,0
1550734145,1,0
1550742167,0,1
1550750785,0,2
1550753822,0,1
1550758582,0,1
1550759404,0,3
1550763777,4,0
1550778175,0,1
1550780104,0,1
1550781770,1,0
1550788125,2,0
1550795769,2,0
1550797006,1,0
1550798107,2,0
1550798947,1,0
1550802711,2,1
1550803401,1,0
1550804232,2,0
1550805313,1,0
1550807177,3,0
1550808892,4,0
1550810537,3,1
1550812348,3,0
1550813328,3,0
1550814188,1,0
1550817721,1,1
1550820895,0,1
1550822091,0,1
1550837695,1,0
1550839153,0,1
1550840957,0,1
1550852087,1,0
1550867341,1,0
1550881733,1,0
1550887577,1,0
1550889353,1,0
1550892526,2,0
1550900470,1,0
1550904640,2,2
1550909200,1,0
1550910655,0,2
1550912147,0,1
1550927684,1,0
1550929367,0,1
1550931303,2,0
1550932560,0,3
1550933805,0,1
1550934968,1,0
1550944612,2,0
1550945704,3,0
1550946529,2,0
1550966147,0,3
1550968850,0,3
1550972527,0,2
1550974501,1,2
1550976116,0,2
1550978179,0,3
1550980656,0,3
1550982066,0,3
1550983332,0,6
1550985320,1,0
1550986868,1,1
1550993325,1,0
1551004579,1,0
1551006909,1,1
1551009413,0,1
1551034058,1,0
1551038201,0,1
1551045360,1,0
1551051767,0,1
1551054348,2,0
1551066115,1,0
1551068112,1,0
1551073367,0,2
1551097728,0,1
1551099056,0,1
1551104107,0,1
1551114823,0,1
1551130816,4,0
1551139032,1,0
1551156129,0,2
1551159765,3,0
1551163281,0,2
1551165288,1,0
1551168914,1,0
1551175417,0,1
1551193021,0,1
1551194100,0,1
1551198649,1,1
1551204994,0,2
1551206576,0,5
1551211607,1,0
1551212093,1,0
1551216970,0,1
1551219378,4,0
1551231078,0,1
1551235367,0,1
1551243419,1,0
1551253561,3,0
1551261974,0,1
1551264173,0,1
1551266153,2,0
1551268567,0,2
1551270533,0,2
1551280290,1,0
1551295917,0,1
1551299323,0,1
1551302924,1,0
1551307387,1,0
1551309304,0,1
1551316495,1,0
1551322607,0,1
1551328919,1,0
1551332575,1,0
1551336084,0,1
1551337207,1,0
1551340244,0,1
1551344152,1,0
1551351349,0,1
1551352577,2,0
1551356099,1,0
1551357717,0,3
1551366912,0,2
1551368579,0,5
1551372181,0,3
