DateTime,Entries,UniqueIPs
1549077363,6417,6417
1549084563,6374,6374
1549088883,6369,6369
1549093682,6403,6403
1549103524,6430,6430
1549109523,6450,6450
1549115522,6513,6513
1549121283,6504,6504
1549124163,6513,6513
1549128242,6526,6526
1549132324,6538,6538
1549136163,6553,6553
1549140003,6553,6553
1549143843,6529,6529
1549152243,6428,6428
1549159923,6429,6429
1549163763,6402,6402
1549169522,6374,6374
1549171443,6318,6318
1549177444,6356,6356
1549185362,6372,6372
1549191122,6439,6439
1549199762,6490,6490
1549206963,6524,6524
1549210803,6536,6536
1549218482,6540,6540
1549221363,6568,6568
1549227123,6574,6574
1549229042,6575,6575
1549235044,6496,6496
1549241522,6442,6442
1549247283,6438,6438
1549252082,6429,6429
1549254004,6400,6400
1549257843,6365,6365
1549261682,6346,6346
1549264563,6399,6399
1549271763,6412,6412
1549275603,6444,6444
1549279443,6449,6449
1549283763,6466,6466
1549289762,6478,6478
1549295523,6483,6483
1549301523,6484,6484
1549307282,6522,6522
1549311604,6540,6540
1549317363,6548,6548
1549323603,6494,6494
1549325524,6468,6468
1549329362,6443,6443
1549333203,6458,6458
1549340162,6394,6394
1549344004,6368,6368
1549347843,6370,6370
1549355523,6405,6405
1549359603,6413,6413
1549363443,6459,6459
1549367283,6463,6463
1549374962,6498,6498
1549381924,6483,6483
1549389843,6504,6504
1549397525,6529,6529
1549405442,6525,6525
1549409283,6474,6474
1549412404,6423,6423
1549416243,6440,6440
1549420083,6427,6427
1549423923,6404,6404
1549425843,6389,6389
1549433522,6358,6358
1549441443,6383,6383
1549448162,6391,6391
1549452003,6410,6410
1549458964,6432,6432
1549464723,6431,6431
1549466644,6453,6453
1549473362,6465,6465
1549478405,6464,6464
1549482485,6510,6510
1549488242,6510,6510
1549494962,6479,6479
1549496883,6435,6435
1549504563,6444,6444
1549511522,6373,6373
1549517283,6358,6358
1549522083,6372,6372
1549531683,6402,6402
1549536725,6381,6381
1549542482,6449,6449
1549549204,6453,6453
1549554963,6484,6484
1549559283,6481,6481
1549566963,6507,6507
1549574643,6497,6497
1549580643,6446,6446
1549584483,6408,6408
1549590243,6416,6416
1549597923,6394,6394
1549601762,6354,6354
1549608483,6335,6335
1549610403,6352,6352
1549616163,6384,6384
1549624803,6412,6412
1549628643,6422,6422
1549636322,6470,6470
1549640404,6454,6454
1549648082,6450,6450
1549653843,6475,6475
1549657682,6495,6495
1549663443,6477,6477
1549669442,6424,6424
1549671604,6380,6380
1549677363,6401,6401
1549686003,6318,6318
1549691763,6285,6285
1549701363,6306,6306
1549705204,6330,6330
1549710962,6398,6398
1549714814,6431,6431
1549722723,6450,6450
1549730405,6458,6458
1549736162,6448,6448
1549743842,6447,6447
1549747683,6451,6451
1549752725,6430,6430
1549758483,6381,6381
1549763283,6409,6409
1549769043,6372,6372
1549774808,6313,6313
1549780563,6305,6305
1549786322,6325,6325
1549788247,6341,6341
1549792082,6400,6400
1549797843,6427,6427
1549804803,6452,6452
1549808643,6471,6471
1549814409,6455,6455
1549820163,6477,6477
1549824243,6500,6500
1549830002,6513,6513
1549835763,6497,6497
1549840563,6459,6459
1549846562,6410,6410
1549853283,6354,6354
1549860962,6271,6271
1549865043,6272,6272
1549870804,6287,6287
1549874642,6326,6326
1549880404,6334,6334
1549887363,6360,6360
1549893123,6417,6417
1549898883,6402,6402
1549903682,6433,6433
1549913524,6446,6446
1549917603,6452,6452
1549923362,6455,6455
1549929123,6357,6357
1549934883,6346,6346
1549939923,6335,6335
1549945684,6314,6314
1549949523,6293,6293
1549953362,6298,6298
1549959363,6326,6326
1549963202,6332,6332
1549967042,6361,6361
1549974013,6386,6386
1549979763,6415,6415
1549984562,6398,6398
1549991283,6386,6386
1549997043,6434,6434
1550002803,6437,6437
1550010483,6438,6438
1550013362,6401,6401
1550021043,6329,6329
1550027763,6284,6284
1550033523,6270,6270
1550037362,6239,6239
1550046002,6270,6270
1550049843,6269,6269
1550052963,6310,6310
1550056804,6320,6320
1550062563,6353,6353
1550068323,6361,6361
1550074084,6365,6365
1550079842,6365,6365
1550085605,6394,6394
1550089443,6384,6384
1550093285,6380,6380
1550098563,6335,6335
1550105522,6286,6286
1550114162,6279,6279
1550116082,6228,6228
1550123762,6210,6210
1550130483,6266,6266
1550138164,6296,6296
1550142243,6320,6320
1550149922,6344,6344
1550157603,6325,6325
1550161443,6324,6324
1550168163,6345,6345
1550173922,6377,6377
1550179682,6373,6373
1550184484,6356,6356
1550188323,6327,6327
1550192422,6276,6276
1550196243,6268,6268
1550202242,6236,6236
1550204164,6218,6218
1550211843,6210,6210
1550214963,6238,6238
1550222643,6263,6263
1550229363,6305,6305
1550233443,6327,6327
1550240162,6341,6341
1550245923,6330,6330
1550247842,6349,6349
1550251682,6367,6367
1550254805,6378,6378
1550258644,6400,6400
1550262483,6388,6388
1550268243,6371,6371
1550274004,6343,6343
1550279763,6293,6293
1550285522,6253,6253
1550291523,6216,6216
1550299443,6224,6224
1550303282,6233,6233
1550305444,6193,6193
1550309283,6205,6205
1550314083,6263,6263
1550319842,6278,6278
1550323682,6298,6298
1550328483,6279,6279
1550339284,6321,6321
1550343122,6323,6323
1550348882,6329,6329
1550354643,6307,6307
1550360642,6247,6247
1550368563,6244,6244
1550370482,6239,6239
1550375283,6167,6167
1550382962,6133,6133
1550387762,6154,6154
1550393522,6173,6173
1550395443,6216,6216
1550402162,6267,6267
1550406011,6296,6296
1550409843,6285,6285
1550416563,6293,6293
1550420404,6279,6279
1550424242,6326,6326
1550428083,6345,6345
1550434805,6390,6390
1550441763,6371,6371
1550447523,6267,6267
1550453284,6243,6243
1550458323,6216,6216
1550466242,6175,6175
1550472005,6163,6163
1550475843,6187,6187
1550479922,6234,6234
1550485683,6254,6254
1550490483,6277,6277
1550492412,6293,6293
1550498163,6290,6290
1550504883,6292,6292
1550508963,6301,6301
1550515684,6336,6336
1550517603,6371,6371
1550523363,6375,6375
1550528163,6329,6329
1550532005,6309,6309
1550537763,6239,6239
1550542563,6235,6235
1550548322,6180,6180
1550554085,6157,6157
1550558883,6145,6145
1550564646,6200,6200
1550571363,6242,6242
1550575442,6265,6265
1550581210,6272,6272
1550588882,6284,6284
1550594883,6323,6323
1550602563,6343,6343
1550609524,6348,6348
1550617443,6273,6273
1550621282,6238,6238
1550628963,6209,6209
1550634723,6184,6184
1550642882,6161,6161
1550646723,6171,6171
1550654642,6204,6204
1550659683,6240,6240
1550669523,6294,6294
1550675523,6290,6290
1550682483,6310,6310
1550690162,6351,6351
1550694002,6360,6360
1550699762,6335,6335
1550706005,6259,6259
1550713922,6242,6242
1550719924,6236,6236
1550723763,6198,6198
1550729522,6179,6179
1550735282,6203,6203
1550742963,6232,6232
1550747043,6270,6270
1550753042,6266,6266
1550756882,6301,6301
1550765763,6318,6318
1550771763,6332,6332
1550776562,6342,6342
1550780644,6356,6356
1550787363,6346,6346
1550794803,6282,6282
1550798883,6278,6278
1550801762,6277,6277
1550809442,6236,6236
1550813523,6199,6199
1550821445,6193,6193
1550823605,6214,6214
1550827446,6225,6225
1550830563,6233,6233
1550836323,6240,6240
1550840162,6306,6306
1550846162,6314,6314
1550851923,6304,6304
1550859843,6323,6323
1550863683,6327,6327
1550869443,6312,6312
1550875442,6306,6306
1550879282,6235,6235
1550888162,6240,6240
1550894163,6212,6212
1550900883,6192,6192
1550908563,6246,6246
1550917203,6269,6269
1550921043,6276,6276
1550927043,6336,6336
1550932803,6355,6355
1550934723,6347,6347
1550940483,6353,6353
1550949362,6374,6374
1550951283,6383,6383
1550957043,6359,6359
1550963043,6317,6317
1550968803,6266,6266
1550974563,6273,6273
1550980323,6217,6217
1550985363,6191,6191
1550989204,6198,6198
1550993043,6208,6208
1550996883,6215,6215
1551003603,6258,6258
1551009362,6296,6296
1551015123,6308,6308
1551018963,6326,6326
1551023043,6330,6330
1551029043,6372,6372
1551035763,6387,6387
1551039843,6390,6390
1551043685,6410,6410
1551050643,6352,6352
1551055923,6283,6283
1551057844,6289,6289
1551061682,6282,6282
1551066722,6261,6261
1551075364,6212,6212
1551079442,6228,6228
1551086162,6252,6252
1551093363,6238,6238
1551101043,6267,6267
1551105123,6264,6264
1551107043,6262,6262
1551112804,6273,6273
1551118563,6305,6305
1551124323,6330,6330
1551128162,6347,6347
1551136802,6286,6286
1551142563,6223,6223
1551149523,6219,6219
1551151442,6191,6191
1551155282,6170,6170
1551160084,6164,6164
1551163924,6175,6175
1551171641,6199,6199
1551175443,6218,6218
1551183124,6236,6236
1551188884,6238,6238
1551198003,6247,6247
1551201842,6262,6262
1551208563,6306,6306
1551211684,6323,6323
1551219845,6336,6336
1551226322,6263,6263
1551232322,6235,6235
1551238083,6208,6208
1551244803,6194,6194
1551250564,6202,6202
1551259203,6234,6234
1551266165,6231,6231
1551271922,6260,6260
1551273843,6278,6278
1551277684,6293,6293
1551280563,6300,6300
1551284643,6305,6305
1551290643,6329,6329
1551294484,6334,6334
1551298325,6345,6345
1551306005,6342,6342
1551313684,6254,6254
1551318482,6252,6252
1551320405,6247,6247
1551324243,6205,6205
1551328323,6201,6201
1551334322,6193,6193
1551342242,6212,6212
1551346083,6234,6234
1551350883,6253,6253
1551356646,6248,6248
1551363363,6287,6287
1551367443,6295,6295
1551374163,6299,6299
1551381842,6338,6338
1551385682,6356,6356
1551388563,6356,6356
1551393604,6326,6326
1551397443,6247,6247
1551403443,6279,6279
1551410403,6308,6308
1551416162,6301,6301
1551420963,6290,6290
1551428643,6322,6322
1551432724,6359,6359
1551436562,6371,6371
1551440403,6375,6375
1551446163,6417,6417
1551451922,6408,6408
1551457924,6437,6437
1551463924,6466,6466
1551471842,6456,6456
1551475683,6440,6440
1551480723,6435,6435
1551482642,6407,6407
1551489363,6363,6363
1551495123,6361,6361
1551497042,6342,6342
1551500883,6320,6320
1551506643,6311,6311
1551514564,6351,6351
1551520323,6362,6362
1551524163,6366,6366
1551528243,6415,6415
1551534003,6464,6464
1551539763,6440,6440
1551543602,6491,6491
1551551524,6495,6495
1551557523,6482,6482
1551563283,6453,6453
1551573125,6380,6380
1551576962,6368,6368
1551580805,6371,6371
1551582723,6354,6354
1551588723,6279,6279
1551597363,6301,6301
1551605282,6320,6320
1551608163,6352,6352
1551615842,6411,6411
1551619685,6409,6409
1551626644,6433,6433
1551632643,6440,6440
1551634564,6451,6451
1551638404,6451,6451
1551642243,6491,6491
1551648003,6487,6487
1551651842,6482,6482
1551659763,6382,6382
1551663604,6364,6364
1551669362,6363,6363
1551675123,6326,6326
1551680883,6330,6330
1551683763,6338,6338
1551689523,6336,6336
1551693362,6375,6375
1551699603,6398,6398
1551705368,6403,6403
1551709924,6406,6406
1551713763,6404,6404
1551717605,6439,6439
1551723363,6458,6458
1551729124,6508,6508
1551734883,6448,6448
1551745443,6434,6434
1551749283,6354,6354
1551756003,6346,6346
1551761762,6319,6319
1551766562,6296,6296
1551770402,6312,6312
1551774243,6318,6318
