DateTime,AddedIPs,RemovedIPs
1550610981,16,26
1550612888,43,7
1550614814,13,11
1550618670,44,32
1550620567,11,0
1550622491,24,10
1550624441,11,22
1550628258,11,16
1550636181,28,39
1550638088,15,12
1550640022,12,11
1550641937,14,32
1550643896,36,17
1550645791,12,0
1550648886,35,0
1550650842,11,51
1550652753,21,0
1550654953,21,34
1550656838,26,18
1550658755,9,0
1550660654,15,0
1550662591,10,6
1550664493,8,7
1550666412,17,5
1550668357,32,13
1550670249,35,26
1550672436,19,14
1550674326,13,0
1550676270,40,16
1550678166,7,26
1550682522,9,35
1550684413,17,19
1550686358,8,0
1550688258,20,18
1550692092,24,10
1550694017,17,14
1550695955,16,17
1550697855,28,20
1550701944,13,54
1550703875,18,0
1550706041,13,38
1550708204,15,8
1550710119,31,26
1550712016,6,16
1550713943,9,0
1550717778,12,9
1550719940,8,0
1550721864,13,0
1550723792,10,29
1550725692,11,15
1550729558,26,26
1550731456,23,33
1550733374,23,13
1550735291,19,35
1550737250,34,9
1550739155,21,20
1550742971,21,19
1550745162,9,37
1550747082,7,10
1550749240,9,8
1550753055,12,25
1550756893,15,64
1550758833,18,0
1550760998,14,31
1550762895,33,44
1550764825,22,7
1550766765,13,0
1550768674,11,0
1550770838,17,28
1550772738,20,0
1550774655,32,9
1550776597,13,18
1550778754,8,21
1550780678,19,14
1550784509,26,42
1550786443,14,0
1550790253,16,13
1550794826,25,45
1550796996,12,32
1550798892,31,9
1550800837,10,9
1550802757,24,0
1550806569,14,16
1550810652,29,23
1550812819,16,11
1550814729,6,0
1550816652,23,25
1550818589,13,24
1550820491,23,21
1550822441,26,24
1550824345,13,37
1550826273,10,18
1550828169,14,0
1550830095,20,20
1550833934,4,19
1550835852,7,11
1550839693,11,11
1550841638,19,0
1550843549,9,17
1550845456,34,17
1550847388,7,0
1550849291,22,16
1550851213,26,34
1550853159,10,24
1550855058,20,12
1550856878,12,11
1550858923,15,20
1550860831,15,18
1550862738,31,35
1550864650,22,14
1550868486,30,27
1550872359,16,26
1550874249,25,15
1550878342,17,15
1550880267,13,0
1550884111,14,33
1550886251,33,32
1550888174,14,9
1550892280,17,17
1550894172,18,10
1550896092,21,0
1550898023,8,25
1550899974,10,17
1550901877,8,8
1550903771,15,25
1550907612,15,44
1550909534,29,25
1550911472,20,16
1550913555,13,12
1550917944,11,24
1550919859,11,0
1550921789,11,6
1550925851,8,8
1550927776,8,10
1550929710,14,18
1550931621,7,10
1550933548,12,38
1550935454,31,8
1550937388,17,24
1550939296,27,26
1550943143,16,36
1550945060,14,11
1550946974,11,16
1550948928,18,16
1550950814,20,34
1550952735,21,23
1550954680,43,0
1550956572,27,35
1550958493,31,0
1550960435,16,13
1550962349,10,25
1550964251,36,0
1550966172,17,17
1550968341,16,12
1550970501,22,0
1550972412,17,12
1550974332,22,27
1550976273,25,14
1550978172,8,0
1550980087,29,10
1550982039,6,17
1550983961,12,23
1550985863,25,11
1550988040,26,12
1550990205,18,29
1550992098,7,0
1550994015,16,14
1550995935,17,26
1550997876,32,21
1550999772,11,0
1551001693,25,18
1551003614,6,0
1551007456,8,19
1551011314,7,8
1551013229,10,7
1551015135,18,7
1551017081,13,10
1551021144,23,13
1551023055,33,31
1551027173,13,41
1551030973,11,13
1551032907,24,15
1551034833,18,11
1551036759,10,19
1551040814,16,39
1551044671,53,61
1551048488,43,47
1551050696,28,49
1551052847,6,17
1551056672,5,17
1551058573,6,21
1551060522,20,16
1551062430,10,25
1551064345,10,28
1551068179,31,41
1551070098,17,11
1551072022,11,13
1551075859,31,53
1551077788,16,24
1551079689,33,10
1551083563,17,35
1551085455,15,37
1551089537,16,49
1551091471,12,6
1551093372,7,0
1551095312,6,8
1551097220,11,0
1551099131,14,6
1551102973,31,31
1551107082,10,14
1551108973,13,22
1551110968,21,30
1551112816,9,0
1551115346,35,11
1551117392,15,12
1551121469,11,50
1551123392,9,8
1551125562,19,0
1551135388,12,113
1551137292,37,26
1551141138,23,6
1551143078,25,3
1551144975,10,7
1551146960,16,19
1551148812,5,0
1551150762,19,24
1551152674,33,0
1551154570,9,0
1551156494,21,34
1551158434,16,45
1551160334,34,0
1551162271,23,32
1551168038,30,51
1551169935,26,0
1551174034,16,42
1551177859,16,16
