DateTime,AddedIPs,RemovedIPs
1550610981,31,25
1550612888,57,29
1550614814,19,57
1550618670,65,20
1550620567,19,64
1550622491,42,20
1550624441,21,42
1550628258,23,24
1550636181,41,21
1550638088,32,39
1550640022,22,34
1550641937,24,18
1550643896,59,23
1550645791,21,60
1550648886,53,20
1550650842,19,54
1550652753,32,20
1550654953,38,36
1550656838,49,34
1550658755,13,53
1550660654,25,14
1550662591,15,23
1550664493,19,15
1550666412,27,18
1550668357,55,24
1550670249,63,57
1550672436,29,66
1550674326,24,26
1550676270,57,22
1550678166,12,61
1550682522,23,13
1550684413,24,22
1550686358,19,22
1550688258,41,17
1550692092,40,44
1550694017,28,39
1550695955,22,28
1550697855,54,23
1550701944,25,55
1550703875,35,24
1550706041,23,35
1550708204,28,21
1550710119,52,29
1550712016,17,53
1550713943,22,18
1550717778,20,21
1550719940,20,20
1550721864,26,18
1550723792,20,24
1550725692,29,21
1550729558,54,27
1550731456,33,53
1550733374,46,35
1550735291,47,38
1550737250,54,52
1550739155,33,58
1550742971,33,34
1550745162,16,36
1550747082,15,17
1550749240,21,14
1550753055,18,21
1550756893,24,19
1550758833,31,25
1550760998,19,28
1550762895,68,21
1550764825,39,69
1550766765,22,35
1550768674,18,23
1550770838,23,16
1550772738,34,24
1550774655,42,32
1550776597,17,45
1550778754,15,18
1550780678,36,12
1550784509,43,38
1550786443,29,45
1550790253,27,26
1550794826,30,28
1550796996,22,27
1550798892,54,25
1550800837,20,50
1550802757,32,21
1550806569,29,33
1550810652,42,27
1550812819,31,46
1550814729,20,29
1550816652,52,21
1550818589,32,45
1550820491,40,30
1550822441,35,44
1550824345,27,35
1550826273,19,30
1550828169,23,21
1550830095,32,21
1550833934,16,38
1550835852,14,15
1550839693,13,13
1550841638,29,15
1550843549,14,28
1550845456,60,12
1550847388,18,58
1550849291,41,19
1550851213,37,40
1550853159,18,35
1550855058,34,19
1550856878,18,37
1550858923,23,19
1550860831,31,22
1550862738,46,31
1550864650,28,44
1550868486,60,32
1550872359,28,58
1550874249,42,27
1550878342,40,40
1550880267,25,39
1550884111,19,30
1550886251,53,14
1550888174,32,56
1550892280,34,33
1550894172,29,34
1550896092,44,28
1550898023,21,41
1550899974,28,22
1550901877,18,25
1550903771,42,20
1550907612,21,40
1550909534,40,22
1550911472,36,37
1550913555,23,40
1550917944,16,28
1550919859,18,18
1550921789,15,17
1550925851,10,16
1550927776,22,10
1550929710,25,19
1550931621,12,26
1550933548,24,11
1550935454,50,22
1550937388,31,50
1550939296,44,31
1550943143,31,46
1550945060,22,26
1550946974,20,25
1550948928,30,21
