DateTime,Entries,UniqueIPs
1543565044,50,50
1543579439,51,51
1543583059,52,52
1543611827,53,53
1543619054,54,54
1543626192,53,53
1543629816,52,52
1543651459,51,51
1543669445,52,52
1543680229,53,53
1543683840,54,54
1543701851,53,53
1543716242,54,54
1543734232,55,55
1543748634,54,54
1543755834,55,55
1543763028,54,54
1543770263,56,56
1543781062,57,57
1543784634,58,58
1543795436,59,59
1543806246,61,61
1543813404,62,62
1543842246,61,61
1543856625,60,60
1543871043,59,59
1543874653,57,57
1543878198,56,56
1543885420,55,55
1543892622,54,54
1543899812,55,55
1543907044,54,54
1543910630,53,53
1543939462,52,52
1543943046,53,53
1543953829,52,52
1543964664,53,53
1544025796,54,54
1544058236,52,52
1544076215,53,53
1544079824,52,52
1544115786,51,51
1544126637,52,52
1544133799,53,53
1544137402,52,52
1544148190,51,51
1544158997,53,53
1544176986,52,52
1544191396,50,50
1544198590,49,49
1544202207,48,48
1544216589,47,47
1544220185,48,48
1544292196,49,49
1544317424,50,50
1544349835,49,49
1544378616,47,47
1544396641,46,46
1544418240,45,45
1544429026,47,47
1544436226,46,46
1544443415,47,47
1544447040,48,48
1544450615,49,49
1544461404,49,49
1544465017,48,48
1544468632,47,47
1544475834,48,48
1544533415,47,47
1544547814,45,45
1544551419,43,43
1544554998,42,42
1544565826,43,43
1544573000,42,42
1544576635,44,44
1544583840,43,43
1544591001,42,42
1544598243,43,43
1544609007,42,42
1544616213,43,43
1544630604,40,40
1544634224,39,39
1544645024,38,38
1544673802,39,39
1544680998,40,40
1544717062,42,42
1544731433,42,42
1544738575,41,41
1544752973,42,42
1544763789,44,44
1544785411,43,43
1544814213,44,44
1544817831,45,45
1544825051,44,44
1544893387,45,45
1544900665,46,46
1544918639,45,45
1544933010,44,44
1544976223,45,45
1544990614,46,46
1545001386,45,45
1545030211,44,44
1545051827,43,43
1545062576,42,42
1545066221,41,41
1545069835,42,42
1545102211,41,41
1545127400,40,40
1545134621,39,39
1545188626,40,40
1545192195,39,39
1545224630,38,38
1545239059,37,37
1545264232,37,37
1545267809,36,36
1545278617,34,34
1545282179,33,33
1545328982,32,32
1545350625,31,31
1545357820,32,32
1545372248,30,30
1545393850,31,31
1545397447,32,32
1545404610,32,32
1545419013,33,33
1545422632,32,32
1545429822,32,32
1545433430,31,31
1545480228,31,31
1545508993,29,29
1545527039,30,30
1545584596,31,31
1545613421,32,32
1545699838,33,33
1545710604,34,34
1545732215,35,35
1545746635,36,36
1545753816,37,37
1545789816,36,36
1545811410,35,35
1545869025,35,35
1545876221,36,36
1545879841,34,34
1545887015,35,35
1545962623,34,34
1546005827,33,33
1546009444,32,32
1546059776,33,33
1546063411,34,34
1546085008,35,35
1546106614,37,37
1546121018,38,38
1546153421,39,39
1546175051,40,40
1546221839,39,39
1546283015,40,40
1546301035,39,39
1546308217,38,38
1546315421,40,40
1546326189,42,42
1546351419,41,41
1546358630,40,40
1546394587,41,41
1546401823,40,40
1546434211,39,39
1546481014,40,40
1546491833,38,38
1546499034,39,39
1546502641,38,38
1546520606,37,37
1546527866,36,36
1546560252,35,35
1546578253,34,34
1546614255,35,35
1546639428,36,36
1546643004,38,38
1546646620,39,39
1546682596,38,38
1546697031,39,39
1546722236,40,40
1546725822,39,39
1546736647,40,40
1546747396,41,41
1546765401,40,40
1546779826,39,39
1546801377,40,40
1546815817,41,41
1546819397,42,42
1546887859,41,41
1546891453,42,42
1546895056,42,42
1546905784,44,44
1546941799,44,44
1546945446,41,41
1546963423,42,42
1546981453,41,41
1546985022,40,40
1546988650,38,38
1546995794,39,39
1547082260,38,38
1547197468,37,37
1547204672,36,36
1547222627,37,37
1547240613,36,36
1547244221,35,35
1547247790,35,35
1547255035,34,34
1547265801,33,33
1547276650,32,32
1547323379,33,33
1547327034,32,32
1547330597,33,33
1547352230,32,32
1547406201,32,32
1547427764,30,30
1547489008,31,31
1547499830,32,32
1547503432,33,33
1547546624,32,32
1547550229,31,31
1547557437,30,30
1547582645,29,29
