DateTime,AddedIPs,RemovedIPs
1549981023,40,34
1549984612,55,45
1549988213,86,32
1549991814,86,37
1549995415,68,50
1549999028,58,42
1550002623,52,49
1550006230,123,26
1550009822,87,48
1550013429,59,30
1550017032,49,50
1550020630,45,51
1550024233,45,44
1550027815,43,42
1550031418,47,36
1550035007,66,38
1550038663,74,39
1550042263,59,50
1550045864,39,38
1550049512,39,55
1550053098,54,40
1550056693,59,54
1550060252,59,41
1550063843,48,59
1550067445,43,67
1550071055,52,50
1550074646,40,41
1550078252,77,36
1550081849,75,45
1550085463,61,46
1550089064,56,46
1550092699,77,45
1550096328,48,41
1550099899,38,33
1550103528,43,44
1550107133,49,36
1550110696,53,35
1550114279,52,42
1550117867,36,43
1550125083,75,79
1550128695,42,50
1550132291,42,41
1550135902,42,55
1550139484,54,61
1550143104,49,55
1550146657,53,74
1550150293,57,73
1550153878,42,62
1550157443,28,80
1550161017,63,68
1550164638,61,49
1550168228,51,26
1550171845,66,38
1550175425,102,42
1550179060,162,44
1550182668,125,36
1550186274,102,35
1550189876,79,33
1550193469,69,44
1550197071,70,41
1550200662,45,33
1550204255,46,43
1550207863,56,48
1550211458,47,37
1550215054,57,45
1550218658,62,34
1550222262,43,39
1550225863,54,44
1550229467,54,57
1550233069,51,45
1550236660,46,64
1550240262,52,36
1550243865,51,40
1550247456,40,36
1550251064,52,41
1550254668,44,45
1550258267,41,41
1550261854,38,37
1550265464,61,22
1550269081,46,36
1550272672,27,31
1550276276,40,30
1550279871,40,35
1550283477,51,31
1550287074,38,39
1550290659,40,34
1550294288,43,29
1550297869,44,37
1550301469,41,34
1550305079,36,40
1550308682,40,33
1550312286,35,23
1550315895,39,30
1550319486,43,42
1550323097,47,40
1550326681,54,32
1550330293,35,41
1550333890,39,42
1550337494,46,43
1550341099,41,33
1550344680,39,29
1550348288,42,38
1550351909,43,50
1550355507,95,55
1550359111,58,30
1550362703,48,46
1550366304,48,34
1550369893,50,41
1550373495,45,35
1550377093,52,43
1550380712,40,42
1550384286,44,41
1550387870,31,45
1550391483,53,46
1550395069,48,43
1550398674,53,43
1550402264,43,52
1550405871,50,73
1550409476,36,60
1550413052,49,40
1550416679,144,62
1550420265,72,55
1550423879,61,44
1550427473,63,53
1550431073,72,43
1550434681,120,55
1550438281,103,76
1550441887,88,46
1550445478,64,50
1550449084,56,44
1550452679,59,60
1550456281,43,64
1550459883,59,56
1550463480,33,48
1550467078,52,55
1550470683,41,63
1550474289,53,63
1550477886,52,71
1550481475,61,71
1550485086,50,59
1550488683,54,53
1550492278,54,54
1550495890,47,53
1550499484,54,69
1550503096,57,65
1550506691,39,55
1550510298,52,68
1550513900,42,56
1550517543,45,58
1550521192,64,148
1550524735,68,51
1550528344,54,54
1550531925,53,75
1550535508,48,69
1550539134,35,65
1550542680,52,44
1550546274,36,63
1550549937,41,41
1550553495,44,54
1550557099,42,67
1550560662,50,59
1550564280,47,64
1550567900,24,57
1550571514,35,66
1550575134,54,63
1550578645,42,64
1550582255,162,58
1550585873,185,51
1550589465,111,74
1550593080,69,56
1550596677,90,69
1550600282,86,56
1550603886,89,50
1550607479,96,70
1550611080,76,77
1550614716,55,54
1550618309,34,46
1550621912,48,57
1550625501,52,66
1550629075,41,60
1550632676,37,43
1550636287,48,52
1550639882,34,69
1550643477,59,79
1550647089,48,65
1550650677,37,51
1550654290,46,55
1550657889,35,74
1550661490,54,63
1550665075,28,71
1550668705,44,51
1550672282,43,52
1550675887,52,63
1550679486,57,54
1550683091,92,49
1550686704,73,60
1550690302,64,44
1550693913,67,47
1550697502,79,55
1550701095,47,49
1550704690,53,34
1550708306,44,47
1550711885,35,60
1550715489,31,54
1550719081,31,55
1550722668,48,42
1550726277,42,48
1550729863,39,47
1550733469,43,59
1550737073,39,56
1550740679,45,85
1550744272,40,84
1550747876,64,64
1550751475,48,57
1550755078,47,62
1550758684,61,44
1550762273,56,40
1550765884,50,68
1550769478,35,60
1550773089,32,57
1550776693,46,54
1550780292,52,46
1550783877,60,50
1550787495,61,42
1550791093,242,58
1550794705,175,64
1550798306,154,57
1550801901,99,54
1550805505,102,52
1550809102,78,50
1550812706,78,57
1550816296,65,63
1550819893,64,69
1550823490,49,79
1550827097,54,52
1550830683,52,56
1550834302,57,46
1550837892,57,65
1550841487,79,58
1550845083,72,56
1550848689,62,55
1550852289,57,55
1550855895,46,50
1550859492,36,56
1550863074,46,46
1550866683,48,47
1550870303,115,70
1550873888,101,57
1550877511,80,36
1550881119,95,51
1550884722,86,46
1550888314,54,47
1550891915,50,42
1550895514,38,42
1550899120,45,49
1550902733,56,52
1550906319,41,38
1550909915,42,43
1550917091,87,94
1550920701,38,43
1550924303,56,62
1550927908,58,67
1550931496,53,51
1550935112,104,40
1550938718,125,36
1550942333,56,44
1550945926,62,44
1550949536,80,38
1550953127,65,50
1550956741,132,39
1550960349,130,50
1550963948,51,42
1550967558,58,39
1550971147,37,53
1550974819,38,39
1550978340,44,54
1550981947,37,50
1550985543,52,54
1550989138,48,46
1550992756,48,36
1550996373,49,46
1550999939,50,42
1551003536,27,47
1551007131,51,49
1551010752,50,47
1551014320,52,50
1551017929,63,39
1551021574,61,51
1551025158,49,43
1551028760,39,46
1551032382,95,66
1551035976,69,56
1551039570,69,43
1551043166,70,44
1551046775,111,52
1551050384,99,38
1551053981,69,41
1551057577,59,47
1551061166,63,55
1551064781,47,62
1551068378,53,36
1551071982,58,49
1551075588,45,44
1551079185,43,64
1551082768,43,68
1551086367,53,67
1551089969,75,58
1551093566,67,63
1551097149,66,82
1551100764,41,67
1551104365,46,82
1551107953,64,64
1551111556,44,51
1551115157,44,64
1551118752,28,46
1551122351,46,46
1551125947,39,48
1551129550,44,53
1551133153,70,52
1551136752,42,49
1551140348,43,61
1551143972,39,45
1551147545,47,52
1551151135,39,44
1551154748,32,52
1551158325,39,51
1551161925,47,45
1551165545,43,70
1551169158,39,52
1551172755,53,41
1551176356,61,61
1551179956,45,67
1551183534,38,52
1551187146,47,61
1551190769,60,60
1551194358,57,59
1551197947,50,53
1551201544,48,61
1551205144,56,50
1551208755,42,53
1551212336,51,67
1551215949,61,65
1551219557,144,47
1551223142,93,42
1551226752,91,49
1551230337,94,60
1551233942,60,60
1551237545,65,51
1551241144,58,51
1551244741,64,51
1551248337,57,57
1551251930,48,63
1551255531,45,64
1551259123,47,56
1551262729,60,54
1551266338,71,64
1551269919,55,37
1551273527,72,46
1551277131,59,54
1551280726,49,59
1551284326,60,67
1551287926,45,63
1551291539,45,52
1551295135,39,53
1551298735,47,57
1551302336,84,44
1551305936,66,41
1551309529,50,58
1551313132,43,45
1551316731,45,35
1551320332,45,41
1551323936,44,36
1551327538,38,44
1551331126,44,50
1551334734,56,57
1551338333,45,50
1551341938,44,43
1551345525,41,45
1551349140,41,43
1551352733,39,47
1551356322,38,46
1551359928,33,55
1551363524,40,73
1551367120,49,51
1551370747,55,76
1551374315,64,42
1551377916,85,55
1551381521,71,46
1551385130,51,75
1551388721,63,72
1551392308,45,43
1551395909,43,55
1551399521,42,62
1551403128,42,59
1551406704,48,58
1551410309,46,69
1551413925,44,66
1551417535,47,56
1551421118,54,74
1551424700,34,89
1551428295,31,93
1551431901,44,126
1551435498,50,96
1551439081,50,96
1551442735,86,100
1551446327,45,110
1551449934,41,124
1551453523,47,104
1551457117,41,50
1551460712,55,56
1551464316,51,46
1551467915,49,50
1551471508,47,51
1551475107,45,57
1551478728,47,52
1551482336,124,45
1551485915,44,54
1551489505,45,53
1551493139,52,47
1551496751,42,56
1551500331,32,38
1551503913,36,44
1551507528,50,54
1551511125,36,53
1551514725,48,63
1551518316,47,54
1551521922,40,55
1551525520,42,43
1551529121,48,52
1551532716,45,57
1551536315,45,44
1551539921,54,71
1551543514,43,55
1551547121,45,60
1551550705,40,52
1551554340,54,57
1551557945,39,46
1551561532,43,53
1551565106,37,76
1551568711,33,33
1551572316,43,35
1551575925,49,34
1551579520,34,32
1551583113,36,45
1551586718,39,33
1551590322,32,55
1551593917,36,49
1551597505,42,55
1551601102,39,47
1551604724,42,56
1551608316,30,40
1551611919,37,49
1551615514,56,45
1551619110,43,57
1551622720,49,59
1551626303,41,65
1551629906,51,54
1551633519,39,44
1551637115,65,57
1551640716,159,47
1551644336,154,45
1551647940,236,55
1551651546,125,55
1551655137,80,53
1551658737,37,53
1551662331,39,59
1551665938,33,51
1551669526,43,50
1551673143,48,59
1551676754,43,75
1551680324,41,46
1551683942,48,73
1551687550,33,68
1551691136,40,64
1551694728,45,58
1551698328,52,72
1551701945,44,63
1551705563,517,55
1551709160,215,62
1551712759,71,69
1551716351,49,55
1551719987,61,54
1551723560,89,50
1551727152,69,51
1551730752,126,53
1551734362,76,56
1551737950,37,55
1551741553,38,40
1551745149,37,49
1551748740,37,58
1551752344,55,56
1551755947,47,43
1551759535,40,43
1551763125,50,50
1551766728,47,60
1551770325,47,60
1551773934,39,50
1551777538,47,71
1551781127,64,70
1551784725,56,58
