DateTime,AddedIPs,RemovedIPs
1549977532,35,25
1549981137,31,25
1549984722,51,33
1549988335,75,22
1549991940,70,22
1549995533,53,34
1549999155,42,29
1550002738,38,39
1550006359,108,20
1550009946,78,38
1550013548,55,26
1550017138,30,38
1550020755,37,38
1550024337,31,38
1550027917,40,35
1550031530,34,24
1550035134,60,34
1550042388,114,71
1550046045,29,28
1550049810,32,43
1550053420,34,34
1550056965,50,44
1550060399,46,29
1550064010,32,45
1550067616,32,55
1550071210,35,34
1550074803,26,30
1550078414,57,30
1550082028,68,28
1550085684,49,36
1550089339,47,27
1550093042,66,34
1550096746,45,38
1550100276,35,23
1550103917,36,27
1550107522,42,28
1550110980,49,23
1550114472,44,31
1550118038,34,33
1550121716,33,22
1550125297,25,31
1550128864,31,35
1550132471,30,26
1550136159,34,38
1550139704,46,41
1550143356,38,40
1550146827,33,49
1550150499,35,46
1550154058,31,34
1550157571,21,48
1550161125,48,52
1550164760,48,34
1550168370,40,17
1550171968,50,29
1550175564,85,31
1550179191,142,31
1550182805,111,23
1550186422,88,29
1550190004,67,28
1550193612,65,32
1550197204,53,37
1550200793,36,22
1550204376,37,39
1550207995,41,36
1550211590,42,31
1550215184,50,33
1550218791,44,28
1550222404,30,33
1550225995,37,34
1550229604,47,49
1550233186,36,37
1550236775,40,57
1550240378,29,26
1550243976,41,28
1550247582,33,23
1550251185,43,26
1550254780,30,40
1550258387,35,28
1550261995,27,26
1550265593,38,16
1550269205,34,25
1550272802,23,25
1550276398,31,24
1550280001,29,30
1550283609,38,27
1550287207,31,32
1550290782,27,22
1550294400,33,23
1550297993,35,25
1550301590,31,21
1550305208,33,35
1550308813,33,28
1550312402,27,18
1550316078,35,27
1550319631,37,32
1550323261,39,32
1550326834,47,22
1550330446,29,37
1550334036,28,31
1550337645,36,30
1550341247,29,22
1550344865,31,22
1550348434,38,26
1550352089,37,37
1550355681,81,46
1550359285,52,18
1550362867,37,35
1550366465,32,29
1550370040,40,33
1550373627,41,30
1550377231,43,38
1550380891,32,33
1550384408,36,35
1550387984,25,29
1550391600,48,35
1550395195,40,37
1550398791,41,30
1550402376,36,37
1550405980,43,53
1550409589,35,54
1550413176,38,32
1550416789,128,45
1550420370,68,47
1550423988,58,34
1550427579,55,40
1550431203,67,35
1550434792,114,48
1550438390,88,67
1550442000,86,39
1550445586,59,29
1550449195,47,33
1550452801,47,39
1550456395,41,55
