DateTime,Entries,UniqueIPs
1549977532,13408,13408
1549981137,13414,13414
1549984722,13432,13432
1549988335,13485,13485
1549991940,13533,13533
1549995533,13552,13552
1549999155,13565,13565
1550002738,13564,13564
1550006359,13652,13652
1550009946,13692,13692
1550013548,13721,13721
1550017138,13713,13713
1550020755,13712,13712
1550024337,13705,13705
1550027917,13710,13710
1550031530,13720,13720
1550035134,13746,13746
1550042388,13789,13789
1550046045,13790,13790
1550049810,13779,13779
1550053420,13779,13779
1550056965,13785,13785
1550060399,13802,13802
1550064010,13789,13789
1550067616,13766,13766
1550071210,13767,13767
1550074803,13763,13763
1550078414,13790,13790
1550082028,13830,13830
1550085684,13843,13843
1550089339,13863,13863
1550093042,13895,13895
1550096746,13902,13902
1550100276,13914,13914
1550103917,13923,13923
1550107522,13937,13937
1550110980,13963,13963
1550114472,13976,13976
1550118038,13977,13977
1550121716,13988,13988
1550125297,13982,13982
1550128864,13978,13978
1550132471,13982,13982
1550136159,13978,13978
1550139704,13983,13983
1550143356,13981,13981
1550146827,13965,13965
1550150499,13954,13954
1550154058,13951,13951
1550157571,13924,13924
1550161125,13920,13920
1550164760,13934,13934
1550168370,13957,13957
1550171968,13978,13978
1550175564,14032,14032
1550179191,14143,14143
1550182805,14231,14231
1550186422,14290,14290
1550190004,14329,14329
1550193612,14362,14362
1550197204,14378,14378
1550200793,14392,14392
1550204376,14390,14390
1550207995,14395,14395
1550211590,14406,14406
1550215184,14423,14423
1550218791,14439,14439
1550222404,14436,14436
1550225995,14439,14439
1550229604,14437,14437
1550233186,14436,14436
1550236775,14419,14419
1550240378,14422,14422
1550243976,14435,14435
1550247582,14445,14445
1550251185,14462,14462
1550254780,14452,14452
1550258387,14459,14459
1550261995,14460,14460
1550265593,14482,14482
1550269205,14491,14491
1550272802,14489,14489
1550276398,14496,14496
1550280001,14495,14495
1550283609,14506,14506
1550287207,14505,14505
1550290782,14510,14510
1550294400,14520,14520
1550297993,14530,14530
1550301590,14540,14540
1550305208,14538,14538
1550308813,14543,14543
1550312402,14552,14552
1550316078,14560,14560
1550319631,14565,14565
1550323261,14572,14572
1550326834,14597,14597
1550330446,14589,14589
1550334036,14586,14586
1550337645,14592,14592
1550341247,14599,14599
1550344865,14608,14608
1550348434,14620,14620
1550352089,14620,14620
1550355681,14655,14655
1550359285,14689,14689
1550362867,14691,14691
1550366465,14694,14694
1550370040,14701,14701
1550373627,14712,14712
1550377231,14717,14717
1550380891,14716,14716
1550384408,14717,14717
1550387984,14713,14713
1550391600,14726,14726
1550395195,14729,14729
1550398791,14740,14740
1550402376,14739,14739
1550405980,14729,14729
1550409589,14710,14710
1550413176,14716,14716
1550416789,14799,14799
1550420370,14820,14820
1550423988,14844,14844
1550427579,14859,14859
1550431203,14891,14891
1550434792,14957,14957
1550438390,14978,14978
1550442000,15025,15025
1550445586,15055,15055
1550449195,15069,15069
1550452801,15077,15077
1550456395,15063,15063
1550459999,15065,15065
1550463592,15048,15048
1550467193,15037,15037
1550470791,15019,15019
1550474398,15005,15005
1550478000,14994,14994
1550481583,14979,14979
1550485233,14969,14969
1550488807,14948,14948
1550492408,14938,14938
1550496016,14931,14931
1550499612,14917,14917
1550503227,14918,14918
1550506832,14908,14908
1550510440,14901,14901
1550514034,14880,14880
1550521559,14795,14795
1550524957,14811,14811
1550528546,14818,14818
1550532156,14802,14802
1550535702,14786,14786
1550539311,14762,14762
1550542809,14758,14758
1550546389,14737,14737
1550550136,14740,14740
1550553654,14729,14729
1550557241,14709,14709
1550560773,14702,14702
1550564393,14690,14690
1550568059,14663,14663
1550571700,14635,14635
1550575350,14625,14625
1550578746,14620,14620
1550582370,14711,14711
1550585976,14839,14839
1550589577,14882,14882
1550593194,14899,14899
1550596792,14927,14927
1550600402,14966,14966
1550604010,15008,15008
1550607600,15039,15039
1550611207,15044,15044
1550614880,15054,15054
1550618462,15043,15043
1550622040,15037,15037
1550625637,15029,15029
1550629199,15014,15014
1550632804,15013,15013
1550636423,15015,15015
1550640014,14978,14978
1550643596,14958,14958
1550647210,14938,14938
1550650816,14930,14930
1550654440,14921,14921
1550658038,14901,14901
1550661640,14895,14895
1550665217,14867,14867
1550668863,14854,14854
1550672413,14845,14845
1550676042,14840,14840
1550679640,14840,14840
1550683268,14879,14879
1550686901,14889,14889
1550690504,14902,14902
1550694084,14925,14925
1550697662,14950,14950
1550701261,14958,14958
1550704853,14970,14970
1550708459,14969,14969
1550712031,14946,14946
1550715624,14925,14925
1550719202,14907,14907
1550722797,14903,14903
1550726392,14889,14889
1550729981,14878,14878
1550733586,14870,14870
1550737203,14853,14853
1550740811,14815,14815
1550744426,14779,14779
1550748025,14777,14777
1550751615,14784,14784
1550755211,14772,14772
1550758804,14790,14790
1550762419,14809,14809
1550766039,14805,14805
1550769625,14776,14776
1550773261,14757,14757
1550776870,14749,14749
1550780461,14755,14755
1550784047,14766,14766
1550787664,14777,14777
1550791240,14913,14913
1550794846,14991,14991
1550798449,15054,15054
1550802049,15084,15084
1550805677,15121,15121
1550809243,15148,15148
1550812846,15179,15179
1550816417,15173,15173
1550823611,15144,15144
1550827230,15146,15146
1550830818,15147,15147
1550834446,15141,15141
1550838011,15142,15142
1550841598,15160,15160
1550845198,15182,15182
1550848803,15179,15179
1550852410,15175,15175
1550856009,15180,15180
1550859614,15164,15164
1550863190,15170,15170
1550866788,15172,15172
1550870434,15223,15223
1550874035,15262,15262
1550877651,15310,15310
1550881256,15349,15349
1550884877,15398,15398
1550888435,15415,15415
1550892052,15425,15425
1550895643,15423,15423
1550899237,15430,15430
1550902878,15431,15431
1550906452,15434,15434
1550910054,15443,15443
1550913691,15437,15437
1550917194,15432,15432
1550920799,15431,15431
1550924408,15427,15427
1550928042,15426,15426
1550931655,15430,15430
1550935255,15491,15491
1550938867,15565,15565
1550942466,15581,15581
1550946070,15605,15605
1550949686,15641,15641
1550953271,15650,15650
1550956897,15738,15738
1550960490,15815,15815
1550964093,15822,15822
1550967699,15838,15838
1550971293,15833,15833
1550975007,15840,15840
1550978493,15836,15836
1550982077,15832,15832
1550985685,15834,15834
1550989284,15835,15835
1550992922,15840,15840
1550996561,15856,15856
1551000093,15868,15868
1551003678,15850,15850
1551007270,15863,15863
1551010918,15874,15874
1551014429,15877,15877
1551018061,15907,15907
1551021738,15918,15918
1551025346,15927,15927
1551028976,15917,15917
1551032644,15938,15938
1551036223,15955,15955
1551039814,15982,15982
1551043406,16010,16010
1551046984,16073,16073
1551050580,16131,16131
1551054175,16158,16158
1551057789,16170,16170
1551061380,16177,16177
1551064978,16160,16160
1551068556,16174,16174
1551072184,16185,16185
1551075786,16189,16189
1551079363,16181,16181
1551082946,16157,16157
1551086550,16156,16156
1551090137,16167,16167
1551093713,16185,16185
1551097309,16182,16182
1551100917,16177,16177
1551104504,16155,16155
1551108103,16157,16157
1551111721,16159,16159
1551115315,16139,16139
1551118927,16133,16133
1551122529,16136,16136
1551126106,16131,16131
1551129704,16123,16123
1551133292,16131,16131
1551136919,16131,16131
1551140495,16120,16120
1551144095,16115,16115
1551147690,16111,16111
1551151288,16105,16105
1551154920,16094,16094
1551158461,16079,16079
1551162068,16076,16076
1551165672,16053,16053
1551169317,16036,16036
1551172941,16042,16042
1551176534,16043,16043
1551180116,16019,16019
1551183678,16009,16009
1551187318,15992,15992
1551190992,15991,15991
1551194558,15989,15989
1551198117,15997,15997
1551201711,15995,15995
1551205316,15996,15996
1551208912,15986,15986
1551212478,15975,15975
1551216119,15976,15976
1551219733,16067,16067
1551223299,16118,16118
1551226893,16171,16171
1551230488,16207,16207
1551234087,16208,16208
1551237692,16217,16217
1551241281,16216,16216
1551244883,16237,16237
1551248471,16243,16243
1551252054,16239,16239
1551255657,16222,16222
1551259252,16214,16214
1551262854,16222,16222
1551266466,16223,16223
1551270048,16244,16244
1551273656,16269,16269
1551277251,16279,16279
1551280846,16259,16259
1551284447,16253,16253
1551288046,16245,16245
1551291658,16245,16245
1551295276,16240,16240
1551298877,16230,16230
1551302479,16270,16270
1551306065,16288,16288
1551309668,16284,16284
1551313269,16281,16281
1551316869,16288,16288
1551320458,16288,16288
1551324072,16297,16297
1551327678,16292,16292
1551331259,16293,16293
1551334869,16299,16299
1551338471,16287,16287
1551342071,16284,16284
1551345657,16284,16284
1551349278,16278,16278
1551352857,16272,16272
1551356455,16265,16265
1551360058,16253,16253
1551363648,16221,16221
1551367245,16221,16221
1551370847,16192,16192
1551374437,16216,16216
1551378030,16241,16241
1551381633,16262,16262
1551385250,16240,16240
1551388836,16244,16244
1551392426,16253,16253
1551396027,16234,16234
1551399645,16219,16219
1551403239,16212,16212
1551406821,16205,16205
1551410430,16181,16181
1551414050,16171,16171
1551417662,16160,16160
1551421242,16141,16141
1551424818,16095,16095
1551428414,16048,16048
1551432014,15981,15981
1551435608,15940,15940
1551439194,15909,15909
1551442928,15903,15903
1551446548,15865,15865
1551450115,15806,15806
1551453685,15776,15776
1551457271,15778,15778
1551460879,15784,15784
1551464499,15790,15790
1551468095,15788,15788
1551471710,15791,15791
1551475331,15783,15783
1551478930,15782,15782
1551482538,15776,15776
1551486089,15771,15771
1551489703,15760,15760
1551493454,15759,15759
1551496983,15750,15750
1551500598,15742,15742
1551504151,15736,15736
1551507768,15724,15724
1551511320,15713,15713
1551514928,15698,15698
1551518517,15694,15694
1551522137,15684,15684
1551525742,15681,15681
1551529318,15682,15682
1551532926,15669,15669
1551536527,15666,15666
1551540141,15644,15644
1551543686,15641,15641
1551547298,15632,15632
1551550910,15628,15628
1551554544,15614,15614
1551558120,15606,15606
1551561724,15587,15587
1551565291,15553,15553
1551568912,15550,15550
