DateTime,AddedIPs,RemovedIPs
1549987609,4,5
1549991219,5,10
1549994809,3,11
1549998414,2,6
1550002015,1,3
1550005635,6,2
1550009225,3,0
1550012807,3,7
1550016407,2,0
1550020013,0,6
1550023608,0,3
1550027203,2,3
1550030799,1,2
1550034409,2,0
1550038064,2,4
1550041636,2,0
1550045265,3,5
1550048915,1,2
1550052517,2,4
1550056098,4,3
1550059637,18,1
1550063233,22,2
1550066825,27,3
1550070431,27,4
1550074026,40,4
1550077634,22,8
1550081231,15,1
1550084842,19,0
1550088442,14,4
1550092088,7,3
1550095724,12,2
1550099347,12,1
1550102942,5,2
1550106535,15,10
1550110108,9,4
1550113656,15,0
1550117263,22,1
1550120930,21,2
1550124494,27,4
1550128110,40,2
1550131712,37,3
1550135321,44,15
1550138895,45,33
1550142537,37,15
1550146065,38,19
1550149773,32,23
1550153290,31,23
1550156850,28,12
1550160435,19,21
1550164042,28,14
1550167644,31,12
1550171247,30,13
1550174826,16,11
1550178442,16,8
1550182048,14,9
1550185660,11,10
1550189256,6,2
1550192857,18,5
1550196448,14,4
1550200039,18,12
1550203652,26,13
1550207247,42,9
1550210847,42,12
1550214454,52,25
1550218042,38,33
1550221650,41,28
1550225250,54,24
1550228854,44,32
1550232445,31,19
1550236048,38,22
1550239646,35,15
1550243256,43,12
1550246864,36,21
1550250458,26,23
1550254055,26,22
1550257657,17,15
1550261259,31,7
1550264867,15,14
1550268467,13,9
1550272056,11,8
1550275661,13,4
1550279259,10,7
1550282871,17,4
1550286462,13,3
1550290060,26,9
1550293666,26,10
1550297263,25,12
1550300856,39,17
1550304471,44,21
1550308070,26,20
1550311672,32,9
1550315277,22,15
1550318881,34,17
1550322485,37,20
1550326077,31,25
1550329678,37,24
1550333277,26,25
1550336878,21,24
1550340485,31,23
1550344080,16,12
1550347679,26,16
1550351293,7,51
1550354887,11,9
1550358492,6,12
1550362089,19,11
1550365690,9,7
1550369285,10,15
1550372871,12,7
1550376480,18,14
1550380095,22,16
1550383674,38,9
1550387260,23,27
1550390868,38,21
1550394465,27,30
1550398058,32,30
1550401658,23,22
1550405264,41,14
1550408864,24,25
1550412453,26,15
1550416067,51,9
1550419671,32,5
1550423266,21,10
1550426861,26,4
1550430477,23,7
1550434086,10,10
1550437677,17,2
1550441279,5,1
1550444872,9,3
1550448469,7,3
1550452071,10,9
1550455685,14,0
1550459272,17,6
1550462875,21,4
1550466475,21,3
1550470076,40,1
1550473680,45,2
1550477283,44,3
1550480872,29,3
1550484492,51,2
1550488093,60,5
1550491685,33,3
1550495295,31,5
1550498909,20,5
1550502508,17,0
1550506097,21,2
1550509714,23,2
1550513304,14,6
1550516985,8,0
1550520633,8,2
1550524175,4,2
1550527767,5,3
1550531348,5,5
1550534943,6,1
1550538559,2,2
1550542114,3,1
1550545704,4,0
1550549390,3,0
1550552931,3,1
1550556533,8,1
1550560096,5,2
1550563711,5,2
1550567344,9,4
1550570965,6,1
1550574587,4,2
1550578093,8,1
1550581705,1,3
1550585299,4,5
1550588891,8,1
1550592498,13,3
1550596104,9,1
1550599702,10,1
1550603303,8,3
1550606900,13,0
1550610506,14,5
1550614142,9,3
1550617736,7,4
1550621331,6,0
1550624929,9,0
1550628504,11,2
1550632123,24,2
1550635729,18,3
1550639314,32,2
1550642902,22,2
1550646524,40,3
1550650119,44,0
1550653735,37,3
1550657349,29,3
1550660932,33,7
1550664526,21,18
1550668161,21,18
1550671724,29,29
1550675333,16,23
1550678935,16,43
1550682544,14,19
1550686143,5,17
1550689741,10,17
1550693342,7,13
1550696946,3,7
1550700532,2,12
1550704123,2,9
1550707747,4,5
1550711328,1,13
1550714919,4,9
1550718518,1,14
1550722112,3,20
1550725711,4,21
1550729303,4,30
1550732904,5,34
1550736515,1,36
1550740110,6,34
1550743710,11,49
1550747316,5,39
1550750915,6,37
1550754510,7,29
1550758111,4,32
1550761706,5,26
1550765314,3,19
1550768930,2,29
1550772515,4,24
1550776127,7,25
1550779725,10,16
1550783310,3,19
1550786926,2,15
1550790506,1,11
1550794103,1,8
1550797708,2,15
1550801313,2,13
1550804916,3,24
1550808501,21,25
1550812093,9,38
1550815689,7,45
1550819286,7,49
1550822887,7,36
1550826486,4,38
1550830086,5,56
1550833688,4,42
1550837277,8,33
1550840874,6,41
1550844475,2,31
1550848074,23,46
1550851669,23,31
1550855274,23,28
1550858880,13,26
1550862466,9,21
1550866061,10,29
1550869681,11,18
1550873265,25,11
1550876884,6,11
1550880474,13,16
1550884082,8,9
1550887677,6,19
1550891279,9,11
1550894885,41,30
1550898475,19,22
1550902091,37,23
1550905676,21,44
1550909285,22,37
1550912875,24,29
1550916447,27,29
1550920053,22,26
1550923672,12,32
1550927272,24,40
1550930872,31,29
1550934476,23,34
1550938087,13,22
1550941685,11,25
1550945285,5,29
1550948886,7,19
1550952479,10,30
1550956086,5,6
1550959687,8,9
1550963285,5,8
1550966880,2,13
1550970497,5,10
1550974117,3,11
1550977679,1,9
1550981270,5,17
1550984877,1,17
1550988483,5,34
1550992089,3,27
1550995706,4,31
1550999287,3,33
1551002868,5,33
1551006467,6,19
1551010080,0,46
1551013634,4,27
1551017261,2,29
1551020894,2,35
1551024480,3,53
1551028071,5,20
1551031707,10,23
1551035290,9,21
1551038882,9,15
1551042474,10,20
1551046075,6,6
1551049685,5,8
1551053292,5,7
1551056876,2,13
1551060581,7,12
1551064077,2,19
1551067671,1,23
1551071281,6,18
1551074872,6,36
1551078467,6,41
1551082056,4,48
1551085665,7,32
1551089254,8,49
1551092851,7,70
1551096440,6,37
1551100048,5,28
1551103636,6,21
1551107245,7,17
1551110845,7,24
1551114447,7,19
1551118045,6,16
1551121707,4,10
1551125235,7,7
1551128838,7,4
1551132449,5,6
1551136046,3,4
1551139630,4,5
1551143227,0,2
1551146836,5,1
1551150425,2,3
1551154044,2,2
1551157626,5,5
1551161224,0,5
1551164830,19,6
1551168444,5,6
1551172046,11,9
1551175660,5,5
1551179247,9,3
1551182839,13,7
1551186443,12,2
1551190076,4,5
1551193661,8,9
1551197241,9,10
1551200862,6,9
1551204441,6,15
1551208051,3,7
1551211633,5,13
1551215244,3,12
1551218845,3,13
1551222426,5,5
1551226023,4,7
1551229617,2,18
1551233214,1,11
1551236826,2,24
1551240415,2,25
1551244012,7,29
1551247604,4,24
1551251201,7,33
1551254800,7,46
1551258391,5,36
1551262009,3,30
1551265605,3,31
1551269197,5,27
1551272794,10,23
1551276388,10,26
1551279993,12,22
1551283590,14,15
1551287189,11,12
1551290786,9,7
1551294396,16,12
1551298006,6,5
1551301605,14,3
1551305200,5,2
1551308798,2,1
1551312395,5,2
1551315996,2,0
1551319593,2,6
1551323206,4,1
1551326801,5,4
1551330397,6,3
1551334010,8,7
1551337593,4,5
1551341215,4,1
1551344791,8,5
1551348403,5,11
1551351994,9,6
1551355599,6,7
1551359193,6,7
1551362796,3,7
1551366394,5,5
1551370002,3,3
1551373583,12,3
1551377186,10,4
1551380787,7,7
1551384385,5,6
1551388001,7,2
1551391583,1,3
1551395186,2,2
1551398794,2,0
1551402384,4,4
1551405983,1,2
1551409585,1,3
1551413204,4,22
1551416794,2,15
1551420399,6,7
1551423983,4,8
1551427580,3,7
1551431174,5,7
1551434780,5,4
1551438392,7,6
1551442024,4,6
1551445620,8,7
1551449219,5,5
1551452828,4,22
1551456403,7,25
1551460016,7,22
1551463607,6,17
1551467234,7,19
1551470832,4,10
1551474424,7,15
1551478021,7,26
1551481625,4,6
1551485209,1,11
1551488820,0,11
1551492421,66,6
1551496025,10,8
1551499622,6,42
1551503212,0,17
1551506816,4,34
1551510418,5,27
1551514011,6,17
1551517612,7,27
1551521208,7,29
1551524817,3,19
1551528403,10,17
1551532001,7,25
1551535608,7,30
1551539205,1,24
1551542803,9,15
1551546403,4,13
1551549998,8,5
1551553605,5,10
1551557201,7,12
1551560816,6,6
1551564398,4,8
1551568006,7,6
1551571604,2,4
1551575222,4,5
1551578818,5,6
1551582417,0,1
1551586009,22,5
1551589623,7,1
1551593215,7,4
1551596810,5,4
1551600409,14,3
1551604018,9,4
1551607618,9,6
1551611217,4,6
1551614820,11,0
1551618415,10,4
1551622013,5,2
1551625606,1,3
1551629218,13,0
1551632827,4,11
1551636422,7,8
1551640020,7,9
1551643628,5,10
1551647227,10,9
1551650818,7,6
1551654420,1,5
1551658019,4,5
1551661634,3,2
1551665218,2,6
1551668810,1,4
1551672440,148,2
