DateTime,AddedIPs,RemovedIPs
1550044879,76,57
1550046673,67,68
1550050278,100,59
1550053893,65,55
1550057469,81,48
1550061097,56,56
1550064675,81,73
1550068273,93,84
1550070094,124,141
1550071874,175,163
1550075695,83,98
1550079071,106,91
1550082676,108,79
1550088072,92,102
1550091682,91,95
1550093473,82,98
1550097072,80,109
1550100668,76,121
1550104266,90,94
1550106088,95,102
1550111472,52,71
1550115071,73,105
1550118667,104,116
1550122265,79,85
1550125871,106,72
1550131269,81,59
1550133066,90,60
1550136670,78,72
1550140284,85,67
1550142086,59,60
1550143877,60,59
1550145734,112,88
1550151114,71,69
1550152904,66,87
1550158282,77,78
1550163753,65,66
1550165463,93,71
1550169067,83,81
1550172687,100,70
1550176314,89,93
1550179871,87,104
1550183509,87,116
1550187080,116,87
1550188870,122,183
1550190687,83,102
1550194281,78,86
1550199695,50,82
1550201493,78,96
1550203377,96,78
1550205065,160,195
1550208675,68,59
1550212274,103,75
1550214081,69,47
1550221269,76,73
1550223072,78,66
1550224881,80,50
1550230288,84,62
1550233864,73,67
1550237498,95,87
1550242882,74,85
1550244679,80,61
1550246479,86,68
1550251864,96,85
1550253669,101,79
1550259077,94,106
1550260887,82,93
1550266273,75,81
1550269889,78,106
1550273491,77,117
1550277075,88,98
1550280713,98,88
1550282480,133,154
1550286122,44,73
1550287940,60,99
1550293266,103,101
1550295067,70,65
1550296873,3,0
1550298700,88,79
1550300505,62,102
1550302268,102,62
1550304085,62,102
1550305903,74,62
1550309467,89,53
1550313065,53,89
1550314865,147,89
1550318470,77,62
1550322126,89,69
1550323866,79,89
1550325695,75,84
1550332884,81,64
1550336493,105,80
1550338265,85,83
1550341872,93,72
1550345467,70,85
1550347264,82,93
1550350983,76,87
1550356275,72,100
1550359875,63,95
1550363490,78,81
1550367072,80,85
1550368865,45,80
1550374278,61,98
1550377871,83,107
1550381468,74,84
1550385067,90,69
1550388687,74,55
1550392275,81,38
1550395890,79,48
1550399469,81,61
1550403100,90,61
1550408464,62,73
1550410291,85,86
1550419370,113,118
1550421073,109,62
1550426471,106,87
1550428470,107,73
1550431891,93,82
1550435479,92,98
1550439087,91,104
1550442696,66,119
1550446274,67,118
1550449871,83,107
1550453494,86,88
1550457063,44,69
1550460677,77,103
1550464280,84,99
1550467872,75,87
1550471472,104,80
1550475065,79,61
1550478676,83,54
1550482274,89,69
1550485866,92,69
1550489465,95,79
1550493094,73,69
1550496678,73,80
1550500268,78,76
1550505692,78,76
1550507509,76,69
1550511070,106,71
1550514664,110,75
1550520079,105,101
1550523668,96,107
1550525468,78,113
1550529085,84,104
1550534465,73,134
1550536267,96,105
1550539871,97,101
1550543471,64,88
1550548913,74,105
1550550693,94,117
1550554280,83,95
1550557875,109,79
1550561470,78,53
1550563274,86,64
1550568686,91,71
1550572297,88,65
1550575872,79,71
1550579465,65,66
1550583080,78,68
1550586681,85,83
1550590268,82,70
1550595669,95,68
1550597499,99,82
1550601065,96,93
1550604675,88,92
1550610072,101,92
1550611866,70,99
1550615466,71,117
1550620875,75,110
1550622667,88,102
1550626301,79,94
1550629901,70,76
1550633504,81,100
1550637088,91,114
1550642607,88,95
1550644383,94,77
1550647884,76,52
1550653277,76,67
1550655073,84,78
1550658743,98,68
1550664065,104,64
1550665865,77,63
1550669473,94,88
1550673072,62,72
1550674879,66,77
1550678474,100,69
1550683867,99,67
1550687471,96,87
1550689280,105,96
1550691074,149,167
1550692884,193,184
1550698273,80,96
1550701909,87,114
1550705479,70,119
1550709084,95,112
1550714464,81,81
1550716278,58,64
1550719864,69,107
1550721781,85,97
1550727068,88,95
1550730699,84,70
1550734264,79,69
1550737873,88,59
1550741464,80,66
1550745078,84,60
1550748709,66,70
1550752272,82,55
1550754078,71,63
1550759503,75,74
1550764868,92,76
1550766662,82,58
1550770268,71,81
1550772114,95,85
1550777513,103,89
1550782898,80,89
1550784672,99,100
1550788266,71,102
1550791872,75,108
1550795468,102,106
1550799067,70,71
1550804479,61,86
1550806288,82,98
1550811668,91,112
1550813466,103,119
1550817093,87,93
1550820677,85,64
1550824294,69,58
1550827865,81,76
1550829679,3,0
1550831471,74,67
1550833523,101,63
1550838691,88,60
1550842275,86,78
1550845883,78,91
1550849500,87,84
1550853069,85,76
1550856676,100,90
1550860282,85,81
1550863866,79,90
1550865707,90,79
1550869267,131,146
1550872874,80,86
1550874667,82,110
1550878289,64,107
1550883750,99,106
1550885465,80,68
1550889086,61,74
1550892707,70,85
1550896297,98,128
1550899873,91,81
1550903469,90,75
1550907080,85,46
1550912467,66,71
1550916065,89,61
1550919673,84,77
1550921493,78,58
1550925071,98,58
1550928691,89,70
1550932267,74,82
1550937689,78,69
1550941300,77,80
1550943071,99,78
1550946699,93,84
1550948482,91,107
1550953871,72,80
1550957465,82,91
1550961086,71,104
1550964664,53,104
1550970082,101,84
1550971864,73,83
1550975469,58,88
1550977266,68,94
1550982665,73,99
1550986269,89,82
1550989868,94,84
1550993471,60,53
1550997098,70,52
1551000675,82,57
1551004274,74,58
1551007881,77,55
1551013292,159,129
1551018664,83,79
1551025862,138,96
1551031290,88,86
1551033075,97,84
1551036678,104,101
1551040285,125,105
1551043882,80,101
1551047472,72,109
1551051107,50,119
1551054670,103,97
1551056467,85,92
1551061890,57,72
1551067295,87,93
1551069098,80,105
1551072667,80,104
1551078092,97,81
1551081678,69,58
1551083487,76,63
1551087075,82,60
1551090680,63,99
1551094340,67,51
1551096142,69,56
1551101475,72,75
1551105081,73,75
1551110551,76,65
1551112278,94,66
1551115870,88,84
1551119467,110,85
1551123075,115,94
1551126673,95,99
1551130284,82,96
1551133878,80,127
1551139267,79,114
1551141072,102,130
1551146464,121,153
1551151887,75,96
1551155475,98,104
1551159065,102,97
1551160918,95,89
1551168111,65,57
1551171673,80,64
1551175265,78,59
1551177076,72,72
1551182490,76,58
1551186067,60,62
1551187872,80,76
1551191467,74,71
1551193293,71,74
1551195074,74,71
1551196865,74,68
1551198673,83,68
1551200469,108,64
1551207768,106,77
1551209479,96,108
1551214866,104,88
1551216691,98,101
1551220286,76,125
1551223882,71,95
1551227466,89,104
1551231065,68,81
1551234673,60,87
1551238274,93,93
1551241870,93,107
1551245471,94,97
1551247290,92,81
1551249087,81,92
1551250880,92,81
1551252668,79,66
1551256270,92,73
1551259899,77,73
1551265267,118,96
1551270709,69,51
1551274281,86,71
1551277867,72,65
1551281761,78,73
1551285084,81,70
1551286941,70,81
1551288670,152,128
1551294071,83,78
1551295881,103,92
1551299464,91,92
1551304948,103,105
1551306666,64,97
1551310282,74,129
1551313869,87,89
1551317472,75,80
1551321065,48,90
1551324739,84,88
1551328289,100,103
1551333711,94,99
1551335465,87,74
1551339074,83,77
1551342663,95,73
1551346281,89,70
1551349872,73,87
1551353465,65,56
1551357072,89,53
1551362508,90,87
1551366073,80,72
1551369677,80,61
1551373284,77,92
1551375092,112,71
1551376907,71,112
1551378675,159,120
1551382267,100,82
1551385865,86,86
1551389490,85,115
1551393101,73,105
1551396690,69,116
1551402081,230,169
1551405665,89,118
1551409372,178,149
1551411065,110,104
1551414687,109,122
1551416468,92,103
1551421887,106,83
1551425468,77,68
1551429068,92,55
1551432683,77,65
1551436271,80,76
1551439870,91,62
1551443465,75,62
1551447072,83,83
1551450678,82,91
1551454264,91,62
1551457869,94,84
1551463266,102,83
1551465097,79,94
1551466888,95,90
1551470482,1,80
1551472295,163,100
1551474100,80,85
1551479468,72,100
1551483109,70,120
1551488555,101,95
1551490277,76,78
1551493909,50,69
1551497466,85,107
1551501071,108,115
1551506468,90,92
1551508287,92,74
1551511886,75,53
1551513671,65,54
1551519108,89,85
1551522677,88,59
1551526283,91,71
1551529870,89,78
1551531785,78,89
1551533472,168,119
1551535268,78,102
1551540667,116,65
1551542482,83,83
1551549709,76,72
1551551506,81,82
1551555079,84,96
1551560503,85,93
1551562283,81,102
1551567687,61,97
1551571298,60,97
1551573093,91,103
1551576669,78,75
1551580269,59,76
1551583875,67,96
1551587503,80,126
1551589285,93,81
1551594669,88,78
1551596468,78,88
1551598296,133,109
1551600077,72,67
1551605468,91,59
1551609071,103,61
1551612680,87,70
1551616267,87,89
1551618069,96,79
1551625338,84,77
1551627068,92,85
1551632604,89,78
1551634278,88,88
1551637913,116,76
1551643292,93,84
1551645083,83,96
1551650473,82,87
1551652267,73,100
1551657797,130,221
1551661285,83,86
1551666674,69,67
1551670270,75,88
1551673880,84,108
1551675686,108,84
1551677478,84,108
1551679265,91,87
1551681105,106,98
1551684670,68,70
1551688276,88,66
1551691870,89,72
1551695508,89,66
1551700877,70,66
1551704465,70,69
1551706274,76,73
1551709868,84,86
1551713490,85,50
1551718869,90,96
1551720693,102,77
1551724294,106,99
1551727871,108,65
1551733271,99,120
1551736894,128,181
1551742279,67,125
1551747671,88,110
1551749473,84,80
1551751384,61,73
1551758473,79,106
1551760275,99,111
1551763907,84,95
1551769285,92,76
1551771072,71,65
1551776503,91,62
1551778268,90,63
1551781867,80,70
