DateTime,AddedIPs,RemovedIPs
1550866516,0,1
1550866816,1,0
1550867715,5,0
1550868616,21,0
1550868915,10,0
1550869218,30,0
1550869816,1,0
1550870416,3,0
1550873116,2,0
1550876417,4,0
1550877015,5,0
1550877616,52,0
1550877916,0,1
1550878816,2,0
1550883015,1,0
1550884815,1,0
1550887818,4,0
1550888416,1,0
1550889616,4,0
1550890817,15,0
1550891716,2,0
1550892316,269,0
1550893216,2,0
1550896817,1,0
1550897417,690,0
1550898916,3,0
1550899217,2,0
1550900115,163,0
1550900415,17,0
1550901315,2,0
1550901915,1,0
1550908515,1,0
1550909415,14,0
1550911816,5,0
1550912115,114,0
1550914217,146,1
1550914816,30,0
1550918117,2,0
1550920215,4,0
1550920816,1,0
1550922617,111,0
1550925316,1,0
1550928916,3,0
1550930715,1,0
1550931616,21,0
1550932816,130,0
1550936116,2,0
1550936417,28,0
1550941215,2,0
1550943616,1,0
1550945416,2,0
1550946915,2,0
1550947816,3,0
1550948717,224,0
1550953216,2,0
1550955915,5,0
1550957417,10,0
1550957715,86,0
1550958618,2,0
1550961017,1,0
1550964016,1,0
1550964915,2,0
1550966115,3,0
1550970316,1,0
1550971817,0,1
1550972417,2,0
1550973315,101,0
1550974216,94,0
1550979616,1,0
1550982916,1,0
1550985916,3,0
1550987417,1,0
1550988615,144,0
1550989523,2,0
1550990115,1,0
1550994617,2,0
1550994915,0,1
1550995815,65,0
1550996416,61,0
1550996717,0,1
1550997316,43,0
1550997617,26,0
1551000015,14,0
1551000915,1,0
1551002715,4,0
1551003616,3,0
1551004516,10,0
1551004816,1,0
1551005417,69,0
1551009918,1,0
1551010817,2,0
1551011118,0,1
1551011715,1,0
1551012915,1,0
1551013815,46,0
1551014116,37,0
1551014416,31,0
1551019215,26,0
1551019815,0,1
1551022816,1,0
1551023417,15,0
1551024616,34,0
1551025216,0,1
1551030617,1,0
1551032116,3,0
1551032716,1,0
1551035115,1,0
1551037816,2,0
1551039016,69,1
1551039317,75,0
1551040815,21,0
1551043216,1,0
1551044418,102,0
1551046816,111,0
1551047716,146,0
1551048915,0,1
1551052216,1,0
1551054916,1,0
1551056716,3,0
1551057616,49,0
1551057916,32,0
1551066916,6,0
1551067815,101,0
1551069315,1,0
1551071718,16,0
1551072017,30,0
1551073217,2,0
1551073818,95,0
1551074416,43,0
1551074715,37,0
1551076816,1,0
1551081917,1,0
1551082817,17,0
1551083118,109,0
1551084616,1,0
1551085816,3,0
1551086416,2,0
1551086719,0,1
1551087616,72,0
1551088216,1,0
1551091216,1,0
1551092716,0,1
1551093618,1,0
1551095419,29,0
1551099017,1,0
1551099918,810,0
1551100816,3,0
1551101715,50,0
1551102615,1,0
1551104419,5,0
1551105018,26,0
1551108916,1,0
1551109216,0,1
1551111016,0,3
1551111916,0,1
1551114017,0,1
1551114316,1,0
1551115217,3,0
1551116116,36,0
1551117020,39,0
1551117917,64,1
1551120018,0,1
1551120916,2,0
1551123316,1,1
1551126017,1,0
1551126917,1,0
1551127218,3,1
1551127822,85,0
1551129016,1,0
1551131716,1,0
1551134117,3,0
1551135017,10,0
1551135619,1,0
1551137116,8,0
1551138617,1,0
1551151818,0,1
1551153016,4,0
1551154217,57,0
1551154817,27,0
1551158719,38,1
1551160820,2,0
1551161415,33,0
1551163219,13,0
1551165919,31,0
1551169218,4,0
1551170116,13,0
1551171017,117,0
1551171616,0,1
1551172517,0,4
1551173417,0,1
1551174018,1,0
1551175516,1,0
1551177316,19,0
1551178217,0,1
1551179417,8,1
1551183016,4,0
1551183620,1,0
1551184217,0,1
1551184817,0,1
1551185422,4,0
1551189019,1,0
1551190217,1,0
1551191417,281,0
1551192616,15,0
1551193217,14,0
1551198017,0,1
1551198916,37,0
1551199816,1,0
1551200717,8,0
1551202515,16,0
1551203716,6,0
1551205216,10,0
1551211516,15,1
1551212118,37,0
1551212717,14,0
1551214515,2,0
1551219015,9,0
1551220817,1,0
1551224115,2,0
1551225916,1,0
1551226816,3,0
1551227716,1,0
1551229816,0,1
1551231018,1,0
1551231315,16,0
1551232217,71,0
1551232515,0,1
1551233116,1,0
1551234617,2,0
1551239417,1,0
1551239715,0,1
1551243018,12,0
1551244816,58,0
1551247515,1,0
1551249016,1,0
1551249615,1,0
1551251416,37,0
1551252016,1,0
1551252319,0,1
1551253215,1,2
1551255316,0,1
1551256816,0,2
1551257716,0,1
1551260417,2,1
1551262216,181,0
1551263418,3,0
1551264617,0,1
1551267020,0,2
1551269416,1,0
1551272115,0,1
1551275715,2,2
1551276616,1,0
1551277217,82,0
1551277516,13,0
1551282317,1,1
1551282619,36,1
1551283517,28,0
1551283817,12,0
1551284116,21,0
1551284416,12,0
1551284717,11,0
1551286515,2,0
1551287415,40,0
1551288617,3,0
1551289216,1,0
1551291015,1,0
1551294915,1,0
1551296416,2,0
1551297017,69,0
1551298215,1,0
1551304217,1,0
1551304817,43,0
1551305415,9,0
1551307516,0,3
1551307816,1,0
1551309916,1,0
1551310515,1,0
1551311715,102,0
1551318017,2,0
1551318617,1,0
1551319816,68,0
1551325818,0,1
1551330916,10,0
1551331816,96,0
1551332416,147,0
1551337217,0,1
1551340216,15,0
1551343216,0,1
1551350716,43,0
1551355219,0,1
1551359416,0,9
1551359717,0,6
1551360016,0,6
1551360319,0,7
1551360916,0,5
1551361217,0,5
1551361518,0,5
1551361817,0,8
1551362416,0,14
1551362716,0,2
1551363317,0,1
1551363916,29,0
1551364217,0,1
1551372618,1,0
1551373517,7,0
1551375316,48,0
1551375618,139,0
1551376819,0,1
1551377116,144,0
1551380417,0,1
1551387616,0,1
1551399016,134,0
1551402317,0,1
1551405315,0,1
1551408916,11,0
1551409816,117,0
1551411918,0,1
1551416418,0,2
1551417617,88,2
1551418216,20,0
1551421817,22,0
1551428416,1,0
1551429315,45,0
1551429617,155,0
1551431716,0,1
1551432616,0,1
1551440417,1,0
1551441316,3,0
1551441619,1,0
1551441916,61,0
1551451218,34,0
1551451816,0,17
1551452117,0,10
1551452417,0,4
1551452717,29,0
1551453618,1,0
1551455717,0,1
1551460216,1,0
1551460818,21,0
1551462916,126,0
1551465018,14,0
1551468316,15,1
1551471616,9,0
1551472518,21,0
1551472817,0,1
1551473416,1,0
1551474318,42,0
1551475216,6,0
1551476417,3,0
1551477017,11,0
1551477916,69,0
1551479119,1,0
1551479716,0,1
1551482717,1,0
1551484515,1,1
1551485416,17,0
1551486915,17,0
1551487218,0,1
1551488115,2,0
1551497116,10,0
1551498017,22,0
1551504317,0,1
1551508819,1,0
1551509417,59,0
1551510317,7,0
1551511818,10,0
1551512718,13,0
1551514516,1,0
1551515715,50,0
1551516619,1,0
1551518719,0,1
1551520818,3,0
1551522017,20,0
1551522317,1,0
1551524117,1,0
1551529217,26,0
1551530418,33,0
1551532517,0,1
1551537617,13,0
1551538516,3,0
1551539116,22,0
1551544515,0,2
1551545717,1,0
1551546019,1,0
1551548417,2,0
1551550217,1,0
1551553517,65,0
1551556515,1,0
1551558016,68,0
1551559218,108,0
1551559821,1,0
1551562817,0,1
1551566417,38,0
1551567018,7,0
1551567916,26,0
1551573617,8,0
1551574217,16,0
1551576916,804,0
1551587716,2,0
1551588617,2,0
1551590116,3,0
1551590417,22,0
1551592217,36,0
1551594916,0,1
1551596717,1,0
1551597317,13,0
1551597618,2,0
1551598818,7,0
1551599418,49,0
1551601518,1,0
1551606619,1,0
1551607519,2,0
1551608719,40,0
1551609617,1,0
1551611118,0,1
1551614118,23,0
1551618916,5,0
1551621317,45,0
1551621918,1,0
1551624618,1,0
1551627618,2,0
1551628517,31,0
1551638417,73,0
1551641716,26,0
1551644718,0,1
1551645919,0,1
1551651618,272,3
1551651918,0,14
1551652217,0,3
1551653418,1,0
1551657018,6,0
1551657918,132,0
1551658218,143,0
1551661218,2,0
1551661519,8,0
1551663617,30,0
1551664218,2,0
1551667217,6,0
1551670516,2,0
1551670817,42,0
1551671118,0,1
1551671419,19,0
1551671716,0,1
1551678019,25,0
1551678621,20,0
1551678918,62,0
1551679818,28,0
1551687618,0,1
1551691217,55,0
1551692418,0,1
1551693019,1,0
1551694217,2,0
1551694822,37,0
1551696019,0,1
1551698117,0,1
1551698718,0,1
1551701417,1,0
1551703220,58,0
1551705318,25,0
1551705621,0,1
1551710417,10,0
1551711317,27,0
1551712217,0,1
1551713118,0,8
1551716717,0,2
1551718518,0,1
1551719418,327,0
1551720027,41,0
1551720317,3,0
1551722116,6,2
1551727517,1,0
1551727819,20,0
1551728117,1,0
1551729020,5,0
1551729917,16,0
1551730217,9,0
1551732018,2,0
1551733818,0,1
1551734718,0,6
1551735020,0,6
1551735316,0,10
1551735619,0,4
1551737116,4,0
1551743417,22,0
1551743717,11,0
1551745218,9,0
1551747316,2,0
1551753917,0,1
1551754217,14,0
1551759017,0,1
1551760817,40,0
1551763217,10,0
1551765918,1,0
1551768018,87,0
1551775217,91,0
1551775819,8,2
1551776418,0,3
1551777616,1,0
1551779715,23,0
1551782420,24,1
