DateTime,AddedIPs,RemovedIPs
1551551118,36,0
1551551420,9,0
1551551718,10,0
1551552018,10,0
1551552319,4,0
1551552619,4,0
1551552917,16,0
1551553220,17,0
1551553518,11,0
1551553817,13,0
1551554417,18,0
1551555317,16,0
1551555618,3,0
1551555918,4,0
1551556221,4,0
1551556516,2,0
1551556818,3,0
1551557119,6,0
1551557419,4,0
1551557719,7,0
1551558017,7,0
1551558619,13,0
1551558918,4,0
1551559219,4,0
1551559520,8,0
1551559821,5,0
1551560118,12,0
1551560419,19,0
1551560719,64413,0
1551561017,20,0
1551561319,9,0
1551561618,9,0
1551561918,8,0
1551562219,7,0
1551562519,7,0
1551562818,4,0
1551563119,8,0
1551563421,3,0
1551563717,7,0
1551564018,7,0
1551564318,8,0
1551564617,3,0
1551564917,2,0
1551565218,5,0
1551565517,5,0
1551565818,1,0
1551566418,6,0
1551566718,3,0
1551567019,3,0
1551567319,6,0
1551567621,11,0
1551567917,11,0
1551568217,9,0
1551568818,32,0
1551569421,10,0
1551569718,3,0
1551570019,2,0
1551570318,3,0
1551570618,5,0
1551570919,2,0
1551571221,2,0
1551571518,3,0
1551571817,4,0
1551572417,10,0
1551573017,9,0
1551573618,6,0
1551573918,3,0
1551574218,4,0
1551574517,2,0
1551574818,9,0
1551575417,17,0
1551575719,8,0
1551576018,7,0
1551576320,8,0
1551576917,17,0
1551577217,11,0
1551577520,4,0
1551577817,5,0
1551578117,5,0
1551578419,9,0
1551578716,6,0
1551579318,6,0
1551579617,4,0
1551579918,7,0
1551580217,5,0
1551580817,8,0
1551581118,3,0
1551581417,5,0
1551581716,1,0
1551582019,6,0
1551582317,6,0
1551582617,5,0
1551583217,28,0
1551583518,8,0
1551583819,9,0
1551584117,8,0
1551584417,9,0
1551584717,4,0
1551585018,5,0
1551585317,10,0
1551585619,7,0
1551585917,2,0
1551586217,4,0
1551586517,6,0
1551586817,7,0
1551587418,8,0
1551587717,1,0
1551588017,1,0
1551588618,8,0
1551589218,12,0
1551589518,19,0
1551590117,24,0
1551590418,6,0
1551590719,6,0
1551591018,14,0
1551591617,7,0
1551591917,8,0
1551592218,7,0
1551592518,2,0
1551592818,7,0
1551593117,4,0
1551593419,2,0
1551593717,6,0
1551594018,3,0
1551594327,9,0
1551594917,11,0
1551595218,2,0
1551595518,5,0
1551595819,5,0
1551596420,4,0
1551596718,14,0
1551597318,41,0
1551597619,19,0
1551598219,15,0
1551598517,3,0
1551598819,6,0
1551599419,11,0
1551599717,3,0
1551600018,9,0
1551600318,1,0
1551600919,7,0
1551601218,4,0
1551601519,2,0
1551601818,5,0
1551602117,2,0
1551602418,3,0
1551602718,5,0
1551603018,6,0
1551603317,5,0
1551603618,8,0
1551603917,16,0
1551604218,19,0
1551604518,16,0
1551604817,15,0
1551605120,18,0
1551605419,8,0
1551605718,8,0
1551606019,10,0
1551606620,7,0
1551606917,9,0
1551607220,2,0
1551607520,3,0
1551607818,8,0
1551608117,3,0
1551608419,2,0
1551609019,1,0
1551609618,23,0
1551609918,6,0
1551610219,7,0
1551610517,5,0
1551610819,3,0
1551611119,4,0
1551611418,18,0
1551611718,11,0
1551612019,9,0
1551612321,13,0
1551612619,9,0
1551612916,4,0
1551613219,7,0
1551613820,11,0
1551614119,3,0
1551614421,3,0
1551614719,2,0
1551615020,6,0
1551615620,5,0
1551615919,1,0
1551616220,1,0
1551616518,5,0
1551616820,5,0
1551617118,1,0
1551617419,4,0
1551617718,6,0
1551618020,3,0
1551618318,8,0
1551618917,23,0
1551619218,12,0
1551619519,4,0
1551619820,9,0
1551620119,7,0
1551620719,22,0
1551621021,12,0
