DateTime,AddedIPs,RemovedIPs
1551555618,41,0
1551555917,46,0
1551556220,20,0
1551556516,59,0
1551556818,23,0
1551557118,57,0
1551557418,43,0
1551557718,56,0
1551558016,30,0
1551558618,66,0
1551558918,40,0
1551559218,21,0
1551559519,41,0
1551559821,23,0
1551560117,59,0
1551560418,46,0
1551560718,84,0
1551561016,55,0
1551561319,67,0
1551561617,44,0
1551561917,74,0
1551562218,50,0
1551562518,62,0
1551562817,25,1
1551563119,60,0
1551563420,37,0
1551563717,48,0
1551564017,31,0
1551564317,52,0
1551564616,27,0
1551564916,38,0
1551565217,20,0
1551565516,38,0
1551565817,16,0
1551566417,92,0
1551566717,39,0
1551567018,19,0
1551567319,45,0
1551567620,40,0
1551567916,54,0
1551568217,61,0
1551568817,103,0
1551569421,174,0
1551569717,42,0
1551570018,8,0
1551570317,28,0
1551570617,22,0
1551570918,46,0
1551571220,17,0
1551571517,26,0
1551571816,21,0
1551572417,65,0
1551573016,45,0
1551573618,56,0
1551573917,49,0
1551574218,26,0
1551574516,25,0
1551574818,40,0
1551575416,115,0
1551575718,73,0
1551576017,28,0
1551576319,46,0
1551576917,45,0
1551577217,15,0
1551577520,606,0
1551577817,25,0
1551578116,39,0
1551578418,25,2
1551578716,37,0
1551579317,44,0
1551579616,23,0
1551579917,36,0
1551580216,18,0
1551580816,49,0
1551581117,26,0
1551581417,13,0
1551581716,21,0
1551582018,17,0
1551582317,36,0
1551582616,11,0
1551583216,141,0
1551583517,53,0
1551583818,39,0
1551584116,35,0
1551584417,28,0
1551584716,34,0
1551585018,26,0
1551585316,48,0
1551585618,21,0
1551585916,43,0
1551586217,24,0
1551586516,33,0
1551586816,25,0
1551587417,52,0
1551587716,38,0
1551588016,15,0
1551588617,49,0
1551589217,57,0
1551589517,69,0
1551590116,112,0
1551590417,37,0
1551590718,46,0
1551591017,27,0
1551591616,81,0
1551591917,46,0
1551592217,15,0
1551592517,41,0
1551592817,37,0
1551593116,28,0
1551593418,18,0
1551593716,35,0
1551594017,21,0
1551594326,49,0
1551594916,55,0
1551595217,8,0
1551595517,27,0
1551595818,21,0
1551596419,56,0
1551596717,43,0
1551597317,109,0
1551597618,33,0
1551598218,96,0
1551598517,1079,0
1551598818,25,0
1551599418,62,0
1551599717,40,0
1551600017,10,0
1551600317,37,0
1551600619,18,0
1551600918,41,0
1551601217,12,0
1551601518,32,0
1551601817,16,0
1551602117,41,0
1551602417,24,0
1551602717,56,0
1551603018,13,0
1551603316,29,0
1551603617,14,0
1551603917,57,0
1551604217,54,0
1551604517,67,0
1551604817,38,0
1551605119,56,0
1551605418,26,0
1551605718,38,1
1551606018,13,0
1551606619,58,0
1551606917,36,0
1551607219,12,0
1551607519,40,0
1551607817,16,0
1551608117,42,0
1551608418,1183,0
1551608719,455,0
1551609018,21,0
1551609617,52,0
1551609917,43,0
1551610218,18,0
1551610516,36,0
1551610818,17,0
1551611118,39,0
1551611418,41,0
1551611717,46,0
1551612018,19,0
1551612320,47,0
1551612618,23,0
1551612916,40,0
1551613218,20,0
1551613819,54,0
1551614118,23,0
1551614420,21,0
1551614718,31,0
1551615019,24,0
1551615317,28,0
1551615619,16,0
1551615918,30,0
1551616219,17,0
1551616517,25,0
1551616819,17,0
1551617117,33,0
1551617418,16,0
1551617717,21,0
1551618019,8,0
1551618317,16,0
1551618917,93,0
1551619217,18,0
1551619519,48,0
1551619819,33,0
1551620118,41,0
1551620718,69,0
1551621020,22,0
1551621317,25,0
1551621618,17,0
1551621918,41,0
1551622217,12,0
1551622517,25,0
1551622819,10,0
1551623118,27,0
1551623417,17,0
1551623716,35,0
1551624018,11,0
1551624618,29,0
1551624917,27,0
1551625219,16,0
1551625518,32,0
1551625818,19,0
1551626118,63,0
1551626417,46,0
1551626718,62,0
1551627019,31,1
1551627317,33,0
1551627618,21,0
1551628218,70,0
1551628517,31,0
1551628818,11,0
1551629117,26,2
1551629717,54,0
1551630018,18,0
1551630618,46,0
1551630917,24,0
1551631218,9,0
1551631517,32,0
1551631819,11,0
1551632116,21,0
1551632419,11,0
1551632718,24,0
1551633016,6,0
1551633318,58,0
1551633618,35,0
1551633917,34,0
1551634218,19,0
1551634517,35,0
1551634818,26,0
1551635117,25,0
1551635418,22,0
1551635717,36,0
1551636018,15,0
1551636317,24,0
1551636619,15,0
1551636918,32,0
1551637219,20,0
1551637818,37,0
1551638116,27,0
1551638417,17,0
1551638718,32,0
1551639018,13,0
1551639316,28,0
1551639619,11,0
1551639917,21,0
1551640517,45,0
1551640817,28,0
1551641118,33,0
1551641420,249,0
1551641716,33,0
1551642018,18,0
1551642619,60,0
1551642916,24,0
1551643218,7,0
1551643517,23,0
1551643818,12,0
1551644117,20,0
1551644416,6,0
1551644718,35,0
1551645018,16,0
1551645318,43,0
1551645618,18,0
1551645919,15,0
1551646220,12,0
1551646518,24,0
