DateTime,AddedIPs,RemovedIPs
1551551717,38,0
1551552017,33,0
1551552318,35,0
1551552618,30,0
1551552917,47,0
1551553219,39,0
1551553517,33,0
1551553816,43,0
1551554416,78,0
1551555316,103,0
1551555618,40,0
1551555917,34,0
1551556220,40,0
1551556516,29,0
1551556818,33,0
1551557118,36,0
1551557418,41,0
1551557718,34,0
1551558016,29,0
1551558618,62,0
1551558918,26,0
1551559218,33,0
1551559519,28,0
1551559821,31,0
1551560117,29,0
1551560419,40,0
1551560718,49,0
1551561016,33,0
1551561319,30,0
1551561617,29,0
1551561917,38,0
1551562218,35,0
1551562518,35,0
1551562817,32,0
1551563119,32,0
1551563420,29,0
1551563717,35,0
1551564018,37,0
1551564317,26,0
1551564616,38,0
1551564916,30,0
1551565218,33,0
1551565516,29,0
1551565818,38,0
1551566417,54,0
1551566717,29,0
1551567018,18,0
1551567319,32,0
1551567620,17,0
1551567917,32,0
1551568217,26,0
1551568817,69,0
1551569421,54,0
1551569717,16,0
1551570018,14,0
1551570317,18,0
1551570617,35,0
1551570918,31,0
1551571220,19,0
1551571517,29,0
1551571816,41,0
1551572417,56,0
1551573017,50,0
1551573618,51,0
1551573917,17,0
1551574218,26,0
1551574516,22,0
1551574818,30,0
1551575416,71,0
1551575719,30,0
1551576017,33,0
1551576319,24,0
1551576917,54,0
1551577217,27,0
1551577520,23,0
1551577817,21,0
1551578116,26,0
1551578418,21,0
1551578716,31,0
1551579317,49,0
1551579616,28,0
1551579917,16,0
1551580216,23,0
1551580816,47,0
1551581117,21,0
1551581417,16,0
1551581716,7,0
1551582018,14,0
1551582317,18,0
1551582616,35,0
1551583217,78,0
1551583517,24,0
1551583818,31,0
1551584116,15,0
1551584417,22,0
1551584717,23,0
1551585018,32,0
1551585316,17,0
1551585618,32,0
1551585916,17,0
1551586217,26,0
1551586516,26,0
1551586816,21,0
1551587417,45,0
1551587717,19,0
1551588016,20,0
1551588617,44,0
1551589217,42,0
1551589517,36,0
1551590116,56,0
1551590417,25,0
1551590718,36,0
1551591017,32,0
1551591616,43,0
1551591917,24,0
1551592217,20,0
1551592517,16,0
1551592817,20,0
1551593117,32,0
1551593418,33,0
1551593717,15,0
1551594017,16,0
1551594326,26,0
1551594916,32,0
1551595217,21,0
1551595517,22,0
1551595818,19,0
1551596419,51,0
1551596717,29,0
1551597317,61,0
1551597618,27,0
1551598218,35,0
1551598517,17,0
1551598818,30,0
1551599418,46,0
1551599717,18,0
1551600018,20,0
1551600317,20,0
1551600619,28,0
1551600918,18,0
1551601218,19,0
1551601518,26,0
1551601817,19,0
1551602117,26,0
1551602417,26,0
1551602717,18,0
1551603018,19,0
1551603316,20,0
1551603618,22,0
1551603917,21,0
1551604217,31,0
1551604517,29,0
1551604817,30,0
1551605119,37,0
1551605418,31,0
1551605718,23,0
1551606018,29,0
1551606619,43,0
1551606917,22,0
1551607219,24,0
1551607519,23,0
1551607817,12,0
1551608117,14,0
1551608418,17,0
1551608719,16,0
1551609018,16,0
1551609617,40,0
1551609918,28,0
1551610218,19,0
1551610516,25,0
1551610818,25,0
1551611118,23,0
1551611418,36,0
1551611717,35,0
1551612018,25,0
1551612321,25,0
1551612618,23,0
1551612916,13,0
1551613218,29,0
1551613819,44,0
1551614118,25,0
1551614420,25,0
1551614718,18,0
1551615019,16,0
1551615317,20,0
1551615619,22,0
1551615918,15,0
1551616219,17,0
1551616517,21,0
1551616819,15,0
1551617118,21,0
1551617418,14,0
1551617717,15,0
1551618019,25,0
1551618317,16,0
1551618917,55,0
1551619217,19,0
1551619519,24,0
1551619819,24,0
1551620118,26,0
1551620718,40,0
1551621020,24,0
1551621318,25,0
1551621618,23,0
1551621919,14,0
1551622217,16,0
1551622517,21,0
1551622819,17,0
1551623118,23,0
1551623417,32,0
1551623716,18,0
1551624018,25,0
1551624618,39,0
1551624917,29,0
1551625219,13,0
1551625519,15,0
1551625818,22,0
1551626118,27,0
1551626417,25,0
1551626718,21,0
1551627019,20,0
1551627318,12,0
1551627618,25,0
1551628218,50,0
1551628517,16,0
1551628818,21,0
1551629117,18,0
1551629717,65,0
1551630018,22,0
1551630618,32,0
1551630917,16,0
1551631218,13,0
1551631517,13,0
1551631819,18,0
1551632116,25,0
1551632419,17,0
1551632718,15,0
1551633016,16,0
1551633319,15,0
1551633618,31,0
1551633917,15,0
1551634218,16,0
1551634517,27,0
1551634818,21,0
1551635117,16,0
1551635418,11,0
1551635717,16,0
1551636018,19,0
1551636317,15,0
1551636619,23,0
1551636918,19,0
1551637219,19,0
1551637818,32,0
1551638116,23,0
1551638417,15,0
1551638719,20,0
1551639018,21,0
1551639317,25,0
1551639619,23,0
1551639917,15,0
1551640517,36,0
1551640817,26,0
1551641118,29,0
1551641420,12,0
1551641716,13,0
1551642018,14,0
1551642619,31,0
1551642916,22,0
1551643218,22,0
1551643518,20,0
1551643818,17,0
1551644117,13,0
1551644417,12,0
1551644718,18,0
1551645019,13,0
1551645318,16,0
1551645618,20,0
1551645919,17,0
1551646220,19,0
1551646518,10,0
1551646820,10,0
1551647118,11,0
1551647418,19,0
1551648017,32,0
1551648318,22,0
1551648617,21,0
1551648917,23,0
1551649218,15,0
1551649818,38,0
1551650118,17,0
1551650423,17,0
1551651018,29,0
1551651619,30,0
1551651918,14,0
1551652218,16,0
1551652519,6,0
1551652818,9,0
1551653418,33,0
1551653717,21,0
1551654020,10,0
1551654318,17,0
1551654619,11,0
1551655219,26,0
1551655820,40,0
1551656118,12,0
1551656419,14,0
1551656719,18,0
1551657019,22,0
1551657317,15,0
1551657621,24,0
1551657919,15,0
1551658219,33,0
1551658817,27,0
1551659418,25,0
1551659718,18,0
1551660017,12,0
1551660317,14,0
1551660620,18,0
1551660917,17,0
1551661219,14,0
1551661520,13,0
1551661819,15,0
1551662418,30,0
1551662718,22,0
1551663017,24,0
1551663317,15,0
1551663618,20,0
1551663918,16,0
1551664218,18,0
1551664517,13,0
1551664819,18,0
1551665117,13,0
1551665419,2,0
1551665718,1,0
1551666018,3,0
1551666617,34,0
1551666918,14,0
1551667218,15,0
1551667518,18,0
1551667818,22,0
1551668118,14,0
1551668420,17,0
1551668718,18,0
1551669017,16,0
1551669318,12,0
1551669618,12,0
1551669920,25,0
1551670219,31,0
1551670516,16,0
1551670817,22,0
1551671119,25,0
1551671419,26,0
1551671716,22,0
1551672019,26,0
1551672318,7,0
1551672617,21,0
1551672921,19,0
1551673219,19,0
1551673818,30,0
1551674118,24,0
1551674417,12,0
1551674718,27,0
1551675020,17,0
1551675317,22,0
1551675618,24,0
1551675917,21,0
1551676217,15,0
1551676518,12,0
1551676817,21,0
1551677418,57,0
1551677717,33,0
1551678019,19,0
1551678320,21,0
1551678621,15,0
1551678918,22,0
1551679219,11,0
1551679518,8,0
1551679818,17,0
1551680120,21,0
1551680418,9,0
1551680722,19,0
1551681019,17,0
1551681317,16,0
1551681618,16,0
1551682221,27,0
1551682819,26,0
1551683119,7,0
1551683419,13,0
1551683719,14,0
1551684019,10,0
1551684320,12,0
1551684622,24,0
1551685218,18,0
1551685521,13,0
1551685818,11,0
1551686120,12,0
1551686419,16,0
1551687017,37,0
1551687318,13,0
1551687618,11,0
1551687920,9,0
1551688517,19,0
1551688817,5,0
1551689119,9,0
1551689422,7,0
1551689720,8,0
1551690021,8,0
1551690318,5,0
1551690919,14,0
1551691217,14,0
1551691519,10,0
1551691820,3,0
1551692118,13,0
1551692419,11,0
1551693019,30,0
1551693319,12,0
1551693620,11,0
1551693918,7,0
1551694217,4,0
1551694521,13,0
1551694822,17,0
1551695420,24,0
1551695719,11,0
1551696020,6,0
1551696320,14,0
1551696621,17,0
1551696918,14,0
1551697220,13,0
1551697517,9,0
1551698118,32,0
1551698419,14,0
1551698719,12,0
1551699025,10,0
1551699319,3,0
1551699619,18,0
1551699921,18,0
1551700221,22,0
1551700519,16,0
1551700820,13,0
1551701119,15,0
1551701418,12,0
1551701719,12,0
1551702021,16,0
1551702320,12,0
1551702619,8,0
1551702921,10,0
1551703220,20,0
1551703521,16,0
1551703819,14,0
1551704119,11,0
1551704423,11,0
1551704720,13,0
1551705019,10,0
1551705319,18,0
1551705621,13,0
1551706223,24,0
1551706816,20,0
1551709518,152,0
1551709818,14,0
1551710417,24,0
1551710718,10,0
1551711020,13,0
1551711317,6,0
1551711620,9,0
1551711919,5,0
1551712217,10,0
1551712518,11,0
1551712818,1,0
1551713118,14,0
1551713419,10,0
1551713716,6,0
1551714018,7,0
1551714319,14,0
1551714617,14,0
1551714918,14,0
1551715219,14,0
1551715517,13,0
1551716118,62,0
1551716420,8,0
1551716717,14,0
1551717018,17,0
1551717317,11,0
1551717618,11,0
