DateTime,AddedIPs,RemovedIPs
1551091471,8,2
1551093608,44,0
1551094202,266,0
1551095312,2,5
1551097220,6,0
1551097801,231,0
1551099131,10,2
1551101402,262,0
1551102973,18,15
1551105002,204,0
1551107082,6,5
1551108602,287,0
1551108973,6,10
1551110968,12,12
1551112201,265,0
1551112816,4,0
1551115346,21,4
1551115802,187,0
1551117392,8,5
1551119401,185,0
1551121469,6,19
1551123002,161,0
1551123392,5,3
1551125562,12,0
1551126602,167,0
1551127217,747,1458
1551130202,148,0
1551133802,144,0
1551135388,7,67
1551137052,37,69
1551137292,19,15
1551137402,133,0
1551140890,32,36
1551141138,157,4047
1551143078,14,1
1551144728,193,20
1551144975,7,3
1551146960,6,7
1551148202,138,0
1551148812,1,0
1551150762,11,14
1551151802,142,0
1551152674,20,0
1551154570,6,0
1551155402,157,0
1551156494,14,13
1551158434,7,17
1551159002,139,0
1551160334,17,0
1551162271,17,18
1551162602,186,0
1551166202,174,0
1551168038,12,34
1551169935,170,0
1551173402,229,0
1551174034,7,26
1551177002,311,0
1551177859,7,11
1551179291,38,36
1551180602,273,0
1551181951,12,7
1551183853,4,6
1551184202,214,0
1551185793,4,9
1551187692,24,0
1551187802,211,0
1551189616,5,23
1551191560,209,0
1551193721,7,4
1551195002,205,0
1551197553,8,21
1551198602,176,0
1551199455,15,5
1551201386,19,0
1551202202,157,0
1551203291,19,22
1551205231,6,9
1551205802,163,0
1551207131,7,0
1551209401,174,0
1551211732,12,11
1551213002,169,0
1551215559,11,13
1551216602,239,0
1551217473,13,0
1551219114,830,740
1551220116,14,0
1551220201,187,0
1551222536,449,6
1551223802,201,0
1551226338,39,41
1551227402,96,4581
1551228274,17,11
1551231002,107,0
1551232340,11,21
1551234272,50,63
1551234602,138,0
1551236195,5,2
1551238094,16,9
1551238201,175,0
1551240025,9,19
1551241960,142,5
1551245402,184,0
1551245794,11,20
1551247709,11,17
1551249140,1030,0
1551251536,20,13
1551252602,203,0
1551255383,7,9
1551256202,232,0
1551257315,14,5
1551259216,16,0
1551259802,188,0
1551261136,5,8
1551263083,578,0
1551263402,203,0
1551267141,254,11
1551269059,40,93
1551270602,214,0
1551270990,1,3
1551272897,6,3
1551274202,198,0
1551274813,3,19
1551276739,14,6
1551277802,199,0
1551278674,25,9
1551282763,249,5
1551285902,192,0
1551286595,10,21
1551288741,9,18
1551289503,164,0
1551292584,7,23
1551293102,189,0
1551294526,1,6
1551296427,4,0
1551296702,206,0
1551300261,15,8
1551300302,181,0
1551302178,13,9
1551304111,202,13
1551306015,9,0
1551307967,263,42
1551309894,12,3
1551311102,134,0
1551311772,7,0
1551313696,13,6
1551314702,176,4461
1551315626,38,83
1551318302,196,0
1551319464,53,8
1551321395,13,18
1551321902,289,0
1551325215,13,19
1551325502,247,0
1551327156,14,7
1551329102,185,0
1551331001,11,4
1551332891,200,9
1551334835,14,7
1551336302,229,0
1551336738,5,0
1551338657,20,16
1551339901,250,0
1551340588,10,0
1551342744,9,4
1551343502,265,0
1551344655,9,12
1551346593,8,11
1551347103,334,0
1551348525,5,4
1551350436,4,7
1551350702,266,0
1551352342,7,0
1551354260,38,5
1551354302,299,0
1551354779,746,2558
1551356192,6,4
1551358095,402,1
1551361502,229,0
1551361937,2,10
1551363857,2,9
1551365102,367,0
1551365791,7,22
1551367691,21,0
1551368703,205,0
1551371560,12,11
1551372302,256,0
1551373464,13,9
1551375902,272,0
1551377317,11,9
1551379213,3,6
1551379502,247,0
1551381386,10,3
1551382337,575,0
1551383293,610,3
1551385214,9,0
1551386702,219,0
1551387154,329,16
1551389066,23,14
1551390302,175,0
1551390989,8,21
1551393651,41,42
1551393903,227,0
1551395559,5,7
1551397455,20,10
1551397502,225,0
1551399641,9,3
1551401542,169,4120
1551402017,595,0
1551403459,13,5
1551404702,199,0
1551405393,41,26
1551407333,461,0
1551408302,156,0
1551411169,327,0
1551411902,135,0
1551415502,263,0
1551417144,12,55
1551419102,294,0
1551422892,247,35
1551424844,12,6
1551426302,241,0
1551426753,15,21
1551428662,23,8
1551429902,259,0
1551430593,18,7
1551432765,20,7
1551433503,223,0
1551434678,16,8
1551436574,3,7
1551437102,235,0
1551438524,6,2
1551440422,42,41
1551440702,227,0
1551442361,2,2
1551444253,21,7
1551444302,220,0
1551448114,193,8
1551450010,14,3
1551451502,245,0
1551451932,14,2
1551453870,22,6
1551455102,225,0
1551455794,10,17
1551457962,12,8
1551458703,166,0
1551459864,14,0
1551461794,18,8
1551462302,135,0
1551464569,16,9
1551466418,210,1
1551468518,18,9
1551469502,147,0
1551470409,10,17
1551472357,11,6
1551473102,171,0
1551474251,10,12
1551476168,8,19
1551476702,144,0
1551478113,14,7
1551479051,34,35
1551480011,13,0
1551480281,683,1625
1551480302,156,0
1551481218,227,0
1551482179,14,10
1551484089,140,16
1551486032,14,0
1551486725,31,25
1551487502,87,5820
1551487930,14,11
1551488186,361,0
1551489852,13,8
1551490564,27,29
1551491102,142,0
1551491787,20,11
1551493238,373,421
1551493715,18,13
1551494702,124,0
