DateTime,Entries,UniqueIPs
1551091471,9904,10172
1551093608,9943,10216
1551094202,10205,10482
1551095312,10202,10479
1551097220,10208,10485
1551097801,10429,10716
1551099131,10437,10724
1551101402,10688,10986
1551102973,10691,10989
1551105002,10893,11193
1551107082,10894,11194
1551108602,11172,11481
1551108973,11168,11477
1551110968,11168,11477
1551112201,11426,11742
1551112816,11430,11746
1551115346,11447,11763
1551115802,11627,11950
1551117392,11630,11953
1551119401,11810,12138
1551121469,11797,12125
1551123002,11953,12286
1551123392,11954,12288
1551125562,11966,12300
1551126602,12125,12467
1551127217,11422,11756
1551130202,11563,11904
1551133802,11704,12048
1551135388,11644,11988
1551137052,11612,11956
1551137292,11616,11960
1551137402,11745,12093
1551140890,11746,12089
1551141138,8009,8199
1551143078,8018,8212
1551144728,8191,8385
1551144975,8195,8389
1551146960,8194,8388
1551148202,8327,8526
1551148812,8328,8527
1551150762,8327,8524
1551151802,8458,8666
1551152674,8478,8686
1551154570,8484,8692
1551155402,8637,8849
1551156494,8638,8850
1551158434,8628,8840
1551159002,8761,8979
1551160334,8778,8996
1551162271,8777,8995
1551162602,8955,9181
1551166202,9122,9355
1551168038,9100,9333
1551169935,9266,9503
1551173402,9492,9732
1551174034,9473,9713
1551177002,9778,10024
1551177859,9775,10020
1551179291,9780,10022
1551180602,10046,10295
1551181951,10050,10300
1551183853,10048,10298
1551184202,10254,10512
1551185793,10249,10507
1551187692,10273,10531
1551187802,10478,10742
1551189616,10460,10724
1551191560,10665,10933
1551193721,10668,10936
1551195002,10866,11141
1551197553,10852,11128
1551198602,11026,11304
1551199455,11036,11314
1551201386,11055,11333
1551202202,11208,11490
1551203291,11205,11487
1551205231,11202,11484
1551205802,11351,11647
1551207131,11358,11654
1551209401,11500,11828
1551211732,11502,11829
1551213002,11650,11998
1551215559,11648,11996
1551216602,11832,12235
1551217473,11845,12248
1551219114,11921,12338
1551220116,11934,12352
1551220201,12103,12539
1551222536,12536,12982
1551223802,12711,13183
1551226338,12709,13181
1551227402,8400,8696
1551228274,8403,8702
1551231002,8506,8809
1551232340,8496,8799
1551234272,8484,8786
1551234602,8620,8924
1551236195,8623,8927
1551238094,8630,8934
1551238201,8797,9109
1551240025,8787,9099
1551241960,8916,9236
1551245402,9094,9420
1551245794,9085,9411
1551247709,9079,9405
1551249140,10082,10435
1551251536,10089,10442
1551252602,10286,10645
1551255383,10284,10643
1551256202,10505,10875
1551257315,10514,10884
1551259216,10530,10900
1551259802,10708,11088
1551261136,10706,11085
1551263083,11280,11663
1551263402,11473,11866
1551267141,11699,12109
1551269059,11654,12056
1551270602,11860,12270
1551270990,11858,12268
1551272897,11861,12271
1551274202,12051,12469
1551274813,12035,12453
1551276739,12043,12461
1551277802,12230,12660
1551278674,12246,12676
1551282763,12484,12920
1551285902,12660,13112
1551286595,12649,13101
1551288741,12640,13092
1551289503,12797,13256
1551292584,12781,13240
1551293102,12968,13429
1551294526,12963,13424
1551296427,12967,13428
1551296702,13154,13634
1551300261,13161,13641
1551300302,13335,13822
1551302178,13339,13826
1551304111,13518,14015
1551306015,13527,14024
1551307967,13732,14245
1551309894,13741,14254
1551311102,13864,14388
1551311772,13871,14395
1551313696,13878,14402
1551314702,9871,10117
1551315626,9833,10072
1551318302,10025,10268
1551319464,10068,10313
1551321395,10063,10308
1551321902,10346,10597
1551325215,10340,10591
1551325502,10578,10838
1551327156,10585,10845
1551329102,10764,11030
1551331001,10770,11037
1551332891,10949,11228
1551334835,10955,11235
1551336302,11182,11464
1551336738,11187,11469
1551338657,11192,11473
1551339901,11438,11723
1551340588,11448,11733
1551342744,11452,11738
1551343502,11702,12003
1551344655,11700,12000
1551346593,11697,11997
1551347103,12025,12331
1551348525,12026,12332
1551350436,12023,12329
1551350702,12277,12595
1551352342,12284,12602
1551354260,12314,12635
1551354302,12608,12934
1551354779,10827,11122
1551356192,10829,11124
1551358095,11222,11525
1551361502,11447,11754
1551361937,11439,11746
1551363857,11433,11739
1551365102,11797,12106
1551365791,11782,12091
1551367691,11803,12112
1551368703,11996,12317
1551371560,11997,12318
1551372302,12245,12574
1551373464,12249,12578
1551375902,12506,12850
1551377317,12509,12852
1551379213,12506,12849
1551379502,12724,13096
1551381386,12731,13103
1551382337,13299,13678
1551383293,13885,14285
1551385214,13894,14294
1551386702,14098,14513
1551387154,14406,14826
1551389066,14414,14835
1551390302,14570,15010
1551390989,14557,14997
1551393651,14563,14996
1551393903,14769,15223
1551395559,14767,15221
1551397455,14777,15231
1551397502,15001,15456
1551399641,15007,15462
1551401542,11282,11511
1551402017,11868,12106
1551403459,11876,12114
1551404702,12069,12313
1551405393,12081,12328
1551407333,12532,12789
1551408302,12679,12945
1551411169,13004,13272
1551411902,13136,13407
1551415502,13391,13670
1551417144,13348,13627
1551419102,13619,13921
1551422892,13806,14133
1551424844,13812,14139
1551426302,14037,14380
1551426753,14031,14374
1551428662,14046,14389
1551429902,14275,14648
1551430593,14283,14659
1551432765,14297,14672
1551433503,14499,14895
1551434678,14507,14903
1551436574,14503,14899
1551437102,14726,15134
1551438524,14730,15138
1551440422,14729,15139
1551440702,14938,15366
1551442361,14938,15366
1551444253,14952,15380
1551444302,15159,15600
1551448114,15330,15785
1551450010,15341,15796
1551451502,15567,16041
1551451932,15579,16053
1551453870,15595,16069
1551455102,15805,16294
1551455794,15798,16287
1551457962,15801,16291
1551458703,15952,16457
1551459864,15966,16471
1551461794,15976,16481
1551462302,16094,16616
1551464569,16101,16623
1551466418,16298,16832
1551468518,16307,16841
1551469502,16451,16988
1551470409,16443,16981
1551472357,16448,16986
1551473102,16614,17157
1551474251,16610,17155
1551476168,16600,17144
1551476702,16731,17288
1551478113,16738,17295
1551479051,16740,17294
1551480011,16753,17307
1551480281,15833,16365
1551480302,15975,16521
1551481218,16188,16748
1551482179,16192,16752
1551484089,16312,16876
1551486032,16326,16890
1551486725,16329,16896
1551487502,10894,11163
1551487930,10895,11166
1551488186,11252,11527
1551489852,11258,11532
1551490564,11258,11530
1551491102,11394,11672
1551491787,11403,11681
1551493238,11356,11633
1551493715,11361,11638
1551494702,11482,11762
1551495618,11504,11784
1551497566,11414,11696
1551498302,11583,11871
1551501166,11191,11476
1551501613,11204,11489
1551501902,11457,11766
1551503551,11469,11777
1551504988,11724,12037
1551505502,11960,12289
1551507371,11971,12300
1551509538,12184,12531
1551511454,12184,12531
1551512702,12418,12793
1551513621,12743,13121
1551516303,12975,13372
1551517454,12941,13338
1551518096,13171,13573
1551519369,13159,13561
1551519901,13374,13788
1551521559,13369,13783
1551523461,13367,13781
1551523502,13574,13997
1551525390,13571,13995
1551525854,13569,13994
1551527102,13706,14147
1551527785,14046,14494
1551529238,14037,14485
1551530702,14260,14720
1551531127,14247,14707
1551531388,14450,14914
1551533053,14457,14921
1551534302,14654,15136
1551537162,14641,15123
1551537902,14793,15302
1551539064,14793,15302
1551540988,14778,15287
1551541502,14991,15518
