DateTime,AddedIPs,RemovedIPs
1551387124,2,0
1551387778,1,1
1551388563,0,80
1551388923,4,0
1551389523,90,0
1551390122,1,0
1551390722,2,0
1551391377,4,2
1551393604,64,85
1551394322,11,0
1551394978,6,0
1551396123,15,0
1551396723,53,14
1551397443,7,180
1551397923,1,0
1551398577,22,9
1551399123,3,0
1551399723,7,0
1551400923,2,1
1551402123,215,0
1551402238,0,1
1551403443,21,92
1551404523,3,0
1551405724,6,107
1551405778,5,0
1551406324,5,0
1551406923,13,1
1551407523,3,0
1551408124,5,0
1551409323,12,0
1551409923,168,0
1551410403,0,143
1551410523,3,0
1551411065,90,0
1551411723,3,0
1551412977,1,0
1551414123,6,0
1551414687,95,14
1551416162,0,198
1551416577,104,1
1551418323,1,0
1551418923,3,0
1551420124,3,1
1551420723,0,1
1551420963,0,95
1551421322,2,0
1551421887,100,0
1551422523,8,0
1551423778,2,2
1551424249,1,0
1551424923,2,0
1551425526,85,13
1551426123,3,0
1551427378,33,3
1551427946,22670,10394
1551428643,5,123
1551429122,87,0
1551429722,13,0
1551430323,15,0
1551430977,1,1
1551431525,2,0
1551432123,6,0
1551432724,74,50
1551433324,6,0
1551433923,14,0
1551434577,0,2
1551436271,70,8
1551436562,8,55
1551436923,3,0
1551438177,6,2
1551438724,2,0
1551439322,3,0
1551439922,79,13
1551440403,13,50
1551440523,2,0
1551441723,8,0
1551441777,0,2
1551442922,2,0
1551443523,0,1
1551444123,64,17
1551445377,0,1
1551446163,0,89
1551447072,81,0
1551447723,4,0
1551448978,4,0
1551450678,68,19
1551451324,1,0
1551451922,0,131
1551452577,5,6
1551453124,3,0
1551453723,3,1
1551454323,89,0
1551454923,3,0
1551456177,15,0
1551457323,1,0
1551457924,1,57
1551458523,92,0
1551459777,10,1
1551460322,1,0
1551460923,4,0
1551462122,11,0
1551462723,5,0
1551463323,84,21
1551463924,0,106
1551464523,2,0
1551465123,78,0
1551465722,3,0
1551466322,4,0
1551466978,78,24
1551467523,2,0
1551469322,11,0
1551470583,15,3
1551471122,8,0
1551471842,7,142
1551472295,79,1
1551472923,15,0
1551473523,6,0
1551474125,70,11
1551474178,0,1
1551475323,6,0
1551475683,11,80
1551476523,5,0
1551477722,10,1
1551478923,2,0
1551479468,65,21
1551480123,2,0
1551480723,21,74
1551481384,8,0
1551481923,9,0
1551482642,0,94
1551483109,61,0
1551484978,2,3
1551485524,1,0
1551486123,3,0
1551487322,1,0
1551488555,83,12
1551489363,0,184
1551489723,5,0
1551490923,70,0
1551492177,1,1
1551493323,1,0
1551493923,51,5
1551494523,1,0
1551495124,5,68
1551495778,1,12
1551497042,1,61
1551497522,81,0
1551498123,1,0
1551499323,1,0
1551499378,0,1
1551499923,4,0
1551500523,4,0
1551500883,0,99
1551501071,98,0
1551501722,7,0
1551502923,1,0
1551502979,0,2
1551504122,2,0
1551506643,84,190
1551507124,3,1
1551507723,1,0
1551508323,88,0
1551508923,2,0
1551510123,7,0
1551510178,0,1
1551511324,2,0
1551511886,91,10
1551512523,2,0
1551513778,58,18
1551514564,16,98
1551514922,2,0
1551516122,2,0
1551516722,10,0
1551517379,3,3
1551518522,1,0
1551519108,80,19
1551519724,5,0
1551520323,19,47
1551520923,3,0
1551521524,1,0
1551522122,4,0
1551522723,79,9
1551523323,3,0
1551524163,9,67
1551524523,1,0
1551524579,0,1
1551525723,2,0
1551526923,85,13
1551527523,1,0
1551528243,0,93
1551528723,0,3
1551529322,1,0
1551529922,85,0
1551531785,2,85
1551532922,4,0
1551533472,158,0
1551534003,0,112
1551535378,76,1
1551536523,4,0
1551537723,3,0
1551538979,0,1
1551539763,0,93
1551540123,7,0
1551540723,107,0
1551541323,2,0
1551541922,1,0
1551542579,79,23
1551543602,21,57
1551543723,2,0
1551544922,8,0
1551546183,9,3
1551548523,3,0
1551549779,68,69
1551550923,11,0
1551551524,78,62
1551553379,0,2
1551553923,3,0
1551554523,2,0
1551555079,69,24
1551555723,3,0
1551556323,1,0
1551557523,0,121
1551558123,2,0
1551558730,2,0
1551559323,8,0
1551560580,82,1
1551562283,58,26
1551563283,0,144
1551564179,2,2
1551565324,17,0
1551565923,2,0
1551566522,2,0
1551567122,6,0
1551567784,61,0
1551568923,3,0
1551569523,1,0
1551570123,1,0
1551571378,48,16
1551571923,2,0
1551572524,1,0
1551573125,80,141
1551574323,1,0
1551575524,3,0
1551576123,9,0
1551576962,58,86
1551577323,3,0
1551579122,1,0
1551579723,8,0
1551580322,55,10
1551580805,10,69
1551581523,1,0
1551582178,3,1
1551582723,1,70
1551583323,3,0
1551583875,64,0
1551584522,2,0
1551585124,1,0
1551585723,2,0
1551585778,0,2
1551586924,4,0
1551587503,72,8
1551588123,4,0
1551588723,0,187
1551589384,83,2
1551591123,8,0
1551591722,1,0
1551592978,0,1
1551594723,76,11
1551595923,12,0
1551596583,12,76
1551597363,73,73
1551597723,4,0
1551598296,49,70
1551598923,2,0
1551600123,60,12
1551600180,0,3
1551600724,2,0
1551601323,2,0
1551602523,2,0
1551603723,1,0
1551603778,0,1
1551604923,2,1
1551605282,0,77
1551605468,83,0
1551606122,1,0
1551607324,3,0
1551607378,0,1
1551608163,0,54
1551608522,6,0
1551609123,98,0
1551609724,5,0
1551610978,0,2
1551612123,4,0
1551612680,76,16
1551613323,3,0
1551614523,3,0
1551614582,0,3
1551615842,2,88
1551616323,83,0
1551616923,1,0
1551618179,79,20
1551618723,1,0
1551619685,20,65
1551620523,1,0
1551621123,2,0
1551621722,5,0
1551622923,5,0
1551624123,3,0
1551624723,3,0
1551625338,65,12
1551626644,2,124
1551627724,90,0
1551628979,4,0
1551629524,3,0
1551630123,3,0
1551630723,1,0
1551631323,2,0
1551632643,80,68
1551633123,1,0
1551633723,3,0
1551634564,68,57
1551634922,1,0
1551636123,4,0
1551637323,3,0
1551637923,96,17
1551638404,17,74
1551638523,2,0
1551639783,0,2
1551642243,0,73
1551642722,1,0
1551643379,99,1
1551645124,75,25
1551645723,6,0
1551646923,3,0
1551647523,2,1
1551648003,0,129
1551648123,4,0
1551649323,24,0
1551650523,78,0
1551651123,1,1
1551651842,2,83
1551652267,65,0
1551652923,3,0
1551654123,3,0
1551654724,6,0
1551655323,1,0
1551657797,117,33
1551658323,5,0
1551658922,5,0
1551659522,2,0
1551659763,23,184
1551660123,4,0
1551661380,68,15
1551662523,8,0
1551663604,14,96
1551663723,3,0
1551664323,1,0
1551666122,1,0
1551666723,47,9
1551667323,4,0
1551667923,3,0
1551668579,4,0
1551669362,0,119
1551669723,14,0
1551670270,68,0
1551670923,1,0
1551673323,7,0
1551673922,76,7
1551675123,0,174
1551675781,101,0
1551676923,11,0
1551677523,0,99
1551679379,90,6
1551679923,1,0
1551680523,1,0
1551680883,0,81
1551681123,99,0
1551681723,2,0
1551682923,5,0
1551682979,0,3
1551683763,0,88
1551684123,5,1
1551684723,58,0
1551685323,5,0
1551685922,4,0
1551686579,3,1
1551687723,2,0
1551688323,74,6
1551688923,1,0
1551689523,6,58
1551690179,4,3
1551690724,11,0
1551691324,2,0
1551691923,77,14
1551692523,2,0
1551693362,0,99
1551693723,1,0
1551693781,0,2
1551694923,1,0
1551695508,77,0
1551697381,4,1
1551698523,3,0
1551699124,2,0
1551699603,0,56
1551699723,2,0
1551700980,64,0
1551702123,11,0
1551703323,1,0
1551704524,59,13
1551705368,0,88
1551705723,1,0
1551706323,70,0
1551707523,2,0
1551709924,66,59
1551710522,13,0
1551711780,7,1
1551713490,65,8
1551713763,8,65
1551714123,4,0
1551715380,2,2
1551715925,2,0
1551716523,13,0
1551717605,0,47
1551717722,4,0
1551718980,90,2
1551720693,81,18
1551721323,11,0
1551721923,1,0
1551722586,1,3
1551723363,0,115
1551723723,3,0
1551724322,93,0
1551726187,2,1
1551727322,3,0
1551727923,85,16
1551729124,0,115
1551729724,3,0
1551730323,3,1
1551730922,3,0
1551732123,5,0
1551733323,92,0
1551734523,3,0
1551734883,56,98
1551735723,1,0
1551736980,63,91
1551738122,2,0
1551738723,2,0
1551739322,2,0
1551740588,1,0
1551741723,3,0
1551742323,65,15
1551742922,2,0
1551744125,2,0
1551745443,16,95
1551746522,5,0
1551747788,86,20
1551748323,1,0
1551749283,0,203
1551749473,78,0
1551750123,3,0
1551750723,1,0
1551751384,49,8
1551752523,4,0
1551753722,3,0
1551754987,2,4
1551756003,0,132
1551756123,8,0
1551757323,1,0
1551758523,80,0
1551760275,88,14
1551760923,2,0
1551761762,14,95
1551762188,2,2
1551763323,3,0
1551763907,82,15
1551764523,11,0
1551765780,3,1
1551766562,0,169
1551766923,4,0
1551769382,86,1
1551770402,0,73
1551770522,1,0
1551771123,69,0
1551771722,6,0
1551772322,2,0
1551772923,3,0
1551773523,10,0
1551774243,0,61
1551775323,3,0
1551775923,2,0
1551776581,87,4
1551777723,8,0
1551778268,78,15
1551778922,5,0
1551781323,7,0
1551781923,66,77
1551782523,2,0
1551783723,2,0
1551783786,0,3
1551784923,9,0
