DateTime,AddedIPs,RemovedIPs
1551272523,3,0
1551273723,5,0
1551274923,5,0
1551276122,8,1
1551276723,2,0
1551278523,4,0
1551279123,2,0
1551279723,2,0
1551280324,4,0
1551280923,3,1
1551282122,1,0
1551282724,6,0
1551283324,5,0
1551284523,3,0
1551285123,3,0
1551285722,1,0
1551286923,29,0
1551287523,3,0
1551288122,1,1
1551288723,1,0
1551289323,3,0
1551289923,3,0
1551290523,3,0
1551291123,4,0
1551291723,4,0
1551292922,3,0
1551294123,1,1
1551294723,1,0
1551295323,1,0
1551296523,1,1
1551297722,25,0
1551298923,7,0
1551300124,4,0
1551302523,5,0
1551303722,2,0
1551304923,3,0
1551306123,4,0
1551307923,31,0
1551308523,12,0
1551309723,5,0
1551310923,4,0
1551312124,5,0
1551312724,1,0
1551313323,11,0
1551314522,8,0
1551315122,4,1
1551315723,2,0
1551316923,4,0
1551317523,21,0
1551318123,1,0
1551318723,1,0
1551319323,3,0
1551319923,4,0
1551320523,1,0
1551321723,5,0
1551322324,8,0
1551322923,2,0
1551324123,2,0
1551325323,4,0
1551325923,3,0
1551327723,3,0
1551328323,1,2
1551328923,4,0
1551330123,14,0
1551331323,14,0
1551331923,2,0
1551332523,11,0
1551333122,1,0
1551333723,2,0
1551334922,3,0
1551336723,2,0
1551337323,9,0
1551337923,4,0
1551338523,1,0
1551339122,6,0
1551339724,1,0
1551340923,9,0
1551342124,2,0
1551342723,2,0
1551343322,2,0
1551344524,6,0
1551345723,1,0
1551346923,4,0
1551348123,1,1
1551348723,3,0
1551349323,6,1
1551349923,2,0
1551350523,3,0
1551351723,2,0
1551352923,5,0
1551353522,2,0
1551355323,4,0
1551355923,5,0
1551356523,6,0
1551357723,1,0
1551358923,1,0
1551360123,4,0
1551361323,2,0
1551361923,2,0
1551362522,10,0
1551363124,3,0
1551363723,1,0
1551364322,1,0
1551364923,2,0
1551366123,6,0
1551366723,5,0
1551367323,1,0
1551367923,1,0
1551368523,7,0
1551369123,1,0
1551369723,4,0
1551370923,5,0
1551372123,5,0
1551372723,4,0
1551373323,2,1
1551374522,2,0
1551375723,12,0
1551376923,6,0
1551378123,4,0
1551378723,3,0
1551379323,4,0
1551380523,2,1
1551381123,3,0
1551381723,3,1
1551382323,3,0
1551382923,5,0
1551384122,18,0
1551385323,5,0
1551386523,39,0
1551387124,2,0
1551388923,4,0
1551389523,8,0
1551390122,1,0
1551390722,2,0
1551391322,4,1
1551393122,1,0
1551394322,11,0
1551394922,6,0
1551396123,15,0
1551396723,1,0
1551397323,7,0
1551397923,1,0
1551398524,22,1
1551399123,3,0
1551399723,7,0
1551400923,2,1
1551402123,3,0
1551403323,1,0
1551404523,3,0
1551405724,6,0
1551406324,5,0
1551406923,13,1
1551407523,3,0
1551408124,5,0
1551409323,12,0
1551409923,10,0
1551410523,3,0
1551411723,3,0
1551412922,1,0
1551414123,6,0
1551416522,13,0
1551418323,1,0
1551418923,3,0
1551420124,3,1
1551420723,0,1
1551421322,2,0
1551422523,8,0
1551423723,2,0
1551424249,1,0
1551424923,2,0
1551425526,19,0
1551426123,3,0
1551427322,33,0
1551427946,22671,10407
1551428523,5,0
1551429722,13,0
1551430323,15,0
1551430922,1,0
1551431525,2,0
1551432123,6,0
1551433324,6,0
1551433923,14,0
1551434523,0,1
1551436923,3,0
1551438123,5,0
1551438724,2,0
1551439322,3,0
1551439922,1,0
1551440523,2,0
1551441723,8,0
1551442922,2,0
1551443523,0,1
1551444123,4,0
1551447723,4,0
1551448923,4,0
1551451324,1,0
1551452523,4,0
1551453124,3,0
1551453723,3,1
1551454323,2,0
1551454923,3,0
1551456123,15,0
1551457323,1,0
1551457923,1,0
1551458523,2,0
1551459723,10,0
1551460322,1,0
1551460923,4,0
1551462122,11,0
1551462723,5,0
1551463323,7,0
1551464523,2,0
1551465123,3,0
1551465722,3,0
1551466322,4,0
1551466923,0,1
1551467523,2,0
1551469322,11,0
1551470523,13,0
1551471122,8,0
1551471722,4,0
1551472923,15,0
1551473523,6,0
1551474125,1,0
1551475323,6,0
1551476523,5,0
1551477722,10,1
1551478923,2,0
1551480123,2,0
1551481323,8,0
1551481923,9,0
1551484924,2,0
1551485524,1,0
1551486123,3,0
1551487322,1,0
1551488522,2,0
1551489723,5,0
1551492123,1,0
1551493323,1,0
1551493923,9,0
1551494523,1,0
1551495723,1,0
1551496923,1,0
1551498123,1,0
1551499323,1,0
1551499923,4,0
1551500523,4,0
1551501722,7,0
1551502923,1,0
1551504122,2,0
1551506523,3,0
1551507124,2,0
1551507723,1,0
1551508923,2,0
1551510123,7,0
1551511324,2,0
1551511840,23,0
1551512523,2,0
1551513722,1,0
1551514324,1,0
1551514922,2,0
1551516122,2,0
1551516722,10,0
1551517322,3,0
1551518522,1,0
1551519724,5,0
1551520923,3,0
1551521524,1,0
1551522122,4,0
1551522723,3,0
1551523323,3,0
1551524523,1,0
1551525723,2,0
1551526923,5,0
1551527523,1,0
1551529322,1,0
1551531723,2,0
1551532922,4,0
1551535323,1,0
1551536523,4,0
1551537723,3,0
1551540123,7,0
1551541323,2,0
1551541922,1,0
1551542522,8,0
1551543723,2,0
1551544922,8,0
1551546123,9,0
1551548523,3,0
1551549723,7,0
1551550923,11,0
1551551523,7,0
1551553923,3,0
1551554523,2,0
1551555016,1,0
1551555723,3,0
1551556323,1,0
1551558123,2,0
1551558730,2,0
1551559323,8,0
1551560523,2,0
1551564123,2,0
1551565324,17,0
1551565923,2,0
1551566522,2,0
1551567122,6,0
1551567723,3,0
1551568923,3,0
1551569523,1,0
1551570123,1,0
1551571324,2,0
1551571923,2,0
1551572524,1,0
1551573123,1,0
1551574323,1,0
1551575524,3,0
1551576123,9,0
1551577323,3,0
1551579122,1,0
1551579723,8,0
1551580322,6,0
1551581523,1,0
1551582124,3,0
1551582723,1,0
1551583323,3,0
1551584522,2,0
1551585124,1,0
1551585723,2,0
1551586924,4,0
1551588123,4,0
1551589323,2,0
1551591123,8,0
1551591722,1,0
1551594723,1,1
1551595923,12,0
1551596523,2,0
1551597723,4,0
1551598923,2,0
1551600123,1,0
1551600724,2,0
1551601323,2,0
1551602523,2,0
1551603723,1,0
1551604923,2,1
1551606122,1,0
1551607324,3,0
1551608522,6,0
1551609123,2,0
1551609724,5,0
1551612123,4,0
1551613323,3,0
1551614523,3,0
1551615723,2,0
1551616923,1,0
1551618123,3,0
1551618723,1,0
1551620523,1,0
1551621123,2,0
1551621722,5,0
1551622923,5,0
1551624123,3,0
1551624723,3,0
1551625324,1,0
1551626523,2,0
1551627724,1,0
1551628923,4,0
1551629524,3,0
1551630123,3,0
1551630723,1,0
1551631323,2,0
1551633123,1,0
1551633723,3,0
1551634922,1,0
1551636123,4,0
1551637323,3,0
1551638523,2,0
1551642722,1,0
1551643323,8,0
1551645723,6,0
1551646923,3,0
1551647523,2,0
1551648123,4,0
1551649323,24,0
1551650523,2,0
1551651123,1,0
1551651723,2,0
1551652923,3,0
1551654123,3,0
1551654724,6,0
1551655323,1,0
1551658323,5,0
1551658922,5,0
1551659522,2,0
1551660123,4,0
1551661323,1,0
1551662523,8,0
1551663723,3,0
1551664323,1,0
1551666122,1,0
1551667323,4,0
1551667923,3,0
1551668523,4,0
1551669723,14,0
1551670923,1,0
1551673323,7,0
1551675723,2,0
1551676923,11,0
1551679325,1,0
1551679923,1,0
1551680523,1,0
1551681123,4,0
1551681723,2,0
1551682923,5,0
1551684123,5,1
1551685323,5,0
1551685922,4,0
1551686523,3,0
1551687723,2,0
1551688923,1,0
1551690123,4,0
1551690724,11,0
1551691324,2,0
1551692523,2,0
1551693723,1,0
1551694923,1,0
1551697324,4,0
1551698523,3,0
1551699124,2,0
1551699723,2,0
1551700923,1,0
1551702123,11,0
1551703323,1,0
1551704524,1,0
1551705723,1,0
1551707523,2,0
1551709923,4,0
1551710522,13,0
1551711723,7,0
1551714123,4,0
1551715324,2,0
1551715925,2,0
1551716523,13,0
1551717722,4,0
1551718923,3,0
1551721323,11,0
1551721923,1,0
1551722523,1,0
1551723723,3,0
1551726122,2,0
1551727322,3,0
1551729123,0,1
1551729724,3,0
1551730323,3,0
1551730922,3,0
1551732123,5,0
1551733323,2,0
1551734523,3,0
1551735723,1,0
1551736923,1,0
1551738122,2,0
1551738723,2,0
1551739322,2,0
1551740523,1,0
1551741723,3,0
1551742323,5,0
1551742922,2,0
1551744125,2,0
1551745323,1,0
1551746522,5,0
1551747723,5,0
1551748323,1,0
1551750123,3,0
1551750723,1,0
1551752523,4,0
1551753722,3,0
1551754922,2,0
1551756123,8,0
1551757323,1,0
1551758523,4,0
1551760923,2,0
1551762123,2,0
1551763323,3,0
1551764523,11,0
1551765723,3,0
1551766923,4,0
1551770522,1,0
1551771123,5,0
1551771722,6,0
1551772322,2,0
1551772923,3,0
1551773523,10,0
1551775323,3,0
1551775923,2,0
1551776523,1,0
1551777723,8,0
1551778922,5,0
1551781323,7,0
1551782523,2,0
1551783723,2,0
1551784923,9,0
