DateTime,AddedIPs,RemovedIPs
1550808741,23,22
1550810651,33,18
1550812818,18,28
1550814728,24,29
1550816651,21,19
1550818588,33,17
1550820490,36,13
1550822440,30,34
1550824344,26,32
1550826272,35,25
1550828168,48,42
1550830094,51,31
1550832010,36,33
1550833933,33,1473
1550835851,27,31
1550837792,640,0
1550839691,39,26
1550841636,35,22
1550843547,28,31
1550845455,17,23
1550847386,31,28
1550849290,25,19
1550851211,67,27
1550853157,45,24
1550855056,46,20
1550856876,51,30
1550858921,36,30
1550860829,24,19
1550862736,21,24
1550864648,24,25
1550866586,34,30
1550868484,24,30
1550870405,69,25
1550872357,38,33
1550874247,19,24
1550876420,45,37
1550878342,34,30
1550880267,563,0
1550882164,34,22
1550884111,30,19
1550886251,46,29
1550888174,29,29
1550890089,25,20
1550892279,32,16
1550894172,33,24
1550896092,21,20
1550898023,30,20
1550899973,22,28
1550901877,32,24
1550903770,33,16
1550905723,19,23
1550907611,22,30
1550909533,24,26
1550911471,17,25
1550913554,43,27
1550915775,33,35
1550917943,20,36
1550919858,28,1533
1550921788,39,35
1550923961,710,0
1550925850,33,27
1550927774,30,24
1550929708,38,27
1550931619,48,28
1550933546,41,29
1550935452,51,25
1550937386,52,25
1550939294,30,20
1550941253,38,24
1550943141,29,26
1550945058,33,17
1550946972,43,29
1550948926,21,34
1550950812,40,29
1550952733,43,28
1550954678,22,31
1550956570,22,40
1550958491,22,46
1550960432,21,50
1550962346,35,29
1550964249,33,35
1550966172,30,40
1550968340,624,0
1550970501,18,24
1550972411,12,17
1550974332,21,21
1550976273,20,26
1550978172,21,25
1550980086,13,16
1550982039,18,25
1550983960,19,19
1550985862,6,20
1550988039,14,25
1550990204,16,26
1550992097,23,33
1550994014,20,28
1550995934,17,25
1550997875,14,29
1550999771,21,36
1551001692,11,43
1551003612,18,46
1551005554,17,28
1551007454,26,1477
1551009369,51,46
1551011313,653,0
1551013228,36,25
1551015133,44,48
1551017080,20,26
1551018971,45,24
1551021142,23,32
1551023053,18,26
1551025242,28,29
1551027171,31,19
1551029054,21,28
1551030970,30,30
1551032905,34,37
1551034831,54,27
1551036757,24,24
1551038655,25,24
1551040812,29,29
1551042728,25,32
1551044669,26,29
1551046572,23,17
1551048486,22,24
1551050693,26,39
1551052847,591,0
1551054754,19,30
1551056673,21,18
1551058574,33,44
1551060522,20,28
1551062430,17,22
1551064345,16,22
1551066271,16,26
1551068179,10,24
1551070098,23,16
1551072022,19,32
1551073943,99,27
1551075859,29,32
1551077788,45,27
1551079690,28,25
1551081627,47,26
1551083562,28,19
1551085454,36,34
1551087615,47,36
1551089536,55,11
1551091471,40,25
1551093371,30,1304
1551095312,48,34
1551097219,524,1
1551099130,44,19
1551101081,35,20
1551102972,52,27
1551105143,64,26
1551107081,38,17
1551108972,36,33
1551110967,30,25
1551112816,36,23
1551115346,40,17
1551117392,37,14
1551119284,29,14
1551121469,42,23
1551123391,33,22
1551125562,37,25
1551127716,54,20
1551129610,28,26
1551131530,33,14
1551133453,21,14
1551135388,30,23
1551137291,15,38
1551139249,462,0
1551141139,45,29
1551143079,32,12
1551144976,48,20
1551146961,23,25
1551148813,16,22
1551150762,22,21
1551152674,22,22
1551154570,18,28
1551156494,38,17
1551158434,29,9
1551160333,31,10
1551162271,20,16
1551164169,16,16
1551166090,19,15
1551168038,27,24
1551169935,17,15
1551172100,44,24
1551174034,31,17
1551175957,22,17
1551177859,34,14
1551179795,65,1389
1551181950,58,57
1551183852,732,1
1551185792,43,28
1551187691,25,18
1551189615,37,26
1551191559,32,19
1551193720,25,17
1551195622,47,26
1551197552,40,22
1551199454,33,25
1551201385,49,20
1551203290,30,18
1551205230,27,32
1551207130,34,42
1551209071,28,31
1551211731,56,58
1551213664,40,29
1551215558,36,39
1551217472,24,39
1551220114,42,80
1551222523,25,41
1551224436,22,40
1551226338,643,0
1551228275,41,27
1551230448,26,26
1551232340,29,10
1551234272,20,21
1551236196,17,20
1551238094,28,21
1551240025,44,17
1551241960,30,20
1551243862,31,15
1551245794,28,21
1551247709,20,20
1551249645,22,40
1551251536,24,40
1551253469,20,21
1551255383,23,46
1551257315,24,28
1551259216,32,37
1551261136,39,50
1551263080,31,50
1551265243,29,32
1551267141,50,1599
1551269059,732,0
1551270990,43,48
1551272896,33,37
1551274813,40,33
1551276738,30,26
1551278673,23,17
1551280575,38,24
1551282762,33,29
1551284664,37,19
1551286594,38,47
1551288739,39,30
1551290678,29,32
1551292583,41,21
1551294525,36,23
1551296425,40,24
1551298360,40,19
1551300260,46,26
1551302177,35,40
1551304109,37,31
1551306013,32,32
1551307965,19,42
1551309892,21,46
1551311772,23,50
1551313695,643,0
1551315625,15,43
1551317557,28,25
1551319463,14,24
1551321395,16,14
1551323305,27,18
1551325214,40,24
1551327155,44,14
1551329052,18,34
1551331000,23,34
1551332890,27,31
1551334834,26,24
1551336737,40,13
1551338656,13,22
1551340587,23,23
1551342743,28,25
1551344654,37,33
1551346591,37,29
1551348523,49,33
1551350434,50,36
1551352340,29,1473
1551354258,56,35
1551356191,643,0
1551358093,29,23
1551360014,44,17
1551361935,14,31
1551363855,14,28
1551365790,25,19
1551367690,28,29
1551369636,42,36
1551371558,29,32
1551373462,40,31
1551375389,38,25
1551377314,19,23
1551379211,38,22
1551381384,36,30
1551383288,32,18
1551385212,40,26
1551387152,24,32
1551389067,32,20
1551390989,32,42
1551393652,37,42
1551395560,14,29
1551397455,40,35
1551399641,573,0
1551401543,26,20
1551403459,47,12
1551405393,38,29
1551407320,32,23
1551409240,24,18
1551411156,9,31
1551413061,16,27
1551414971,22,37
1551417143,19,29
1551419071,20,21
1551420995,20,19
1551422891,15,17
1551424843,22,28
1551426752,18,16
1551428661,26,23
1551430592,22,33
1551432764,16,30
1551434677,19,33
1551436573,19,33
1551438523,34,1522
1551440420,31,65
1551442360,746,0
1551444252,38,26
1551446172,60,25
1551448113,31,25
1551450009,52,17
1551451932,50,19
1551453869,38,36
1551455793,27,40
1551457961,39,36
1551459864,32,13
1551461794,31,32
1551464568,51,42
1551466417,23,36
1551468518,23,21
1551470408,26,30
1551472356,28,29
1551474250,20,40
1551476167,33,43
1551478112,27,54
1551480010,26,49
1551482178,26,45
1551484089,26,57
1551486032,703,0
1551487930,19,26
1551489852,25,17
1551491787,27,22
1551493715,22,10
1551495617,17,31
1551497555,16,32
1551499451,19,30
1551501613,19,32
1551503551,11,18
1551505448,13,28
1551507370,10,30
1551509538,21,35
1551511453,9,18
1551513367,17,27
1551515534,20,32
1551517453,17,39
1551519369,21,42
1551521558,23,59
1551523460,21,42
1551525389,21,1346
1551527286,42,24
1551529237,553,0
1551531126,40,29
1551533052,42,42
1551534987,47,34
1551537161,33,27
1551539062,27,21
1551540987,32,18
1551542943,16,15
1551544836,26,19
1551546751,29,15
1551548673,19,23
1551551079,35,27
1551552968,35,13
1551555273,64,27
1551557309,43,36
1551559206,41,20
1551561129,28,22
1551563069,36,16
1551564971,88,29
1551566905,28,20
1551568816,22,35
1551570727,20,24
1551572651,491,0
1551574571,25,32
1551576491,34,31
1551578440,7,18
1551580359,30,34
1551582281,23,20
1551584169,22,14
1551586113,12,14
1551588030,22,16
1551590200,20,20
1551592091,21,16
1551594038,17,24
1551595936,22,10
1551597897,25,17
1551599767,28,35
1551601693,19,20
1551603638,28,23
1551605552,25,14
1551607472,16,17
1551609632,38,32
1551611534,19,1191
1551613452,35,33
1551615391,469,0
1551617310,41,19
1551619228,28,23
1551621130,31,21
1551623057,30,21
