DateTime,AddedIPs,RemovedIPs
1551082509,1290,908
1551084310,2612,1516
1551085210,1219,992
1551086109,1251,762
1551087910,2536,1809
1551088809,1189,985
1551089709,2557,2710
1551091508,3132,3275
1551092411,1382,1064
1551093309,1406,1102
1551095108,2549,1626
1551096008,1286,618
1551096909,1269,897
1551098710,2747,2319
1551099609,1321,1568
1551100509,1321,1833
1551102308,2749,3579
1551103209,1384,1824
1551104109,1409,2529
1551105909,2676,5094
1551107709,2622,3864
1551109508,2964,3201
1551110408,1273,1129
1551111309,1813,1755
1551113108,3421,4251
1551114009,1331,1335
1551115810,3701,3258
1551117608,2460,1937
1551119409,2841,1753
1551121209,2542,2729
1551122109,818,703
1551123910,1599,1605
1551124809,1329,1142
1551125710,1288,1016
1551127509,2452,1765
1551129309,2460,2456
1551131108,2387,2886
1551132009,1243,1086
1551132909,1078,896
1551134708,2209,1897
1551135608,968,1023
1551136508,846,808
1551138309,1773,2114
1551139208,973,1321
1551140109,966,961
1551141909,1901,2015
1551142809,991,1076
1551143709,1029,1085
1551145510,1944,2109
1551146409,987,1356
1551147308,923,678
1551149108,1850,1978
1551150008,1850,1364
1551151808,2274,1980
1551153607,2315,3712
1551154509,1055,1738
1551156307,1924,3284
1551157207,915,1281
1551158108,956,1305
1551159907,1942,2077
1551160810,1155,1294
1551161707,1028,1190
1551163506,2047,2381
1551164410,1012,1709
1551165308,1069,1467
1551167108,2369,1502
1551168008,1079,916
1551168907,1153,846
1551170708,2403,1328
1551171609,1105,600
1551172507,1005,654
1551174308,2315,2332
1551175207,787,1621
1551176108,1231,1563
1551177910,2241,3038
1551178808,1161,1597
1551179708,1189,1831
1551181508,2514,4158
1551182409,1240,1742
1551183308,1431,1685
1551185110,2882,2063
1551186909,3244,2212
1551188711,3002,2625
1551189612,1271,1593
1551190510,1235,966
1551192309,2266,1848
1551193209,1557,990
1551194112,1813,1422
1551195911,2682,2942
1551196810,1356,1436
1551197712,1624,1873
1551199511,2944,2941
1551201310,2718,1209
1551203111,2989,1562
1551204910,2424,2398
1551206710,2784,4375
1551207609,726,1075
1551208512,1098,1539
1551210310,3277,2668
1551212112,2946,3117
1551213910,2594,3527
1551214812,1686,1746
1551215711,1288,1317
1551217512,2345,2135
1551218411,1017,502
1551220209,2709,1799
1551222911,4077,4086
1551224711,2687,2601
1551225608,1222,1149
1551227411,2191,1974
1551229210,2318,2322
1551231012,2410,3707
1551232810,2594,3310
1551233709,1503,1536
1551235511,2326,5268
1551237311,3099,5187
1551239113,2242,3175
1551240011,789,1979
1551240915,1003,1535
1551242711,2240,1856
1551244513,2671,2844
1551246312,2108,919
1551247211,1084,586
1551248114,1071,388
1551249911,2148,1889
1551251713,2402,2183
1551253512,3056,1615
1551254411,1711,382
1551255315,1505,394
1551257111,2780,1192
1551258913,2818,2606
1551260712,2625,1856
1551261613,1151,535
1551262512,1151,320
1551264311,3579,787
1551265212,1400,425
1551266113,955,539
1551267913,3338,1312
1551268812,1372,2185
1551270613,2581,2785
1551272411,2590,2767
1551273310,905,879
1551275111,1985,1372
1551276912,2042,1420
1551278711,3040,3472
1551279610,1402,1367
1551280513,1225,1344
1551283209,2703,4242
1551284110,1125,2496
1551285911,5363,4298
1551286810,1109,1946
1551287708,1005,1871
1551289509,2142,3291
1551290409,1148,1505
1551292208,4394,4753
1551293110,1465,15364
1551294008,13394,0
1551294909,1166,465
1551296709,2380,2869
1551297609,1262,2210
1551298511,1207,1699
1551300308,3173,2350
1551301208,1053,1350
1551302109,872,1683
1551303908,2388,4320
1551304809,1515,1861
1551305709,1310,1456
1551308409,3694,3623
1551309311,1229,1252
1551311109,2480,3014
1551312010,1116,1053
1551313809,2413,1503
1551315611,2249,1371
1551316511,1149,860
1551318310,2263,2267
1551320109,2457,3459
1551321910,2061,1733
1551322809,974,1421
1551323710,907,1515
1551325511,1831,2702
1551326409,931,1220
1551328210,2736,2216
1551330011,2267,1982
1551330911,953,877
1551332710,2042,2004
1551334510,1989,1540
1551336310,2184,2076
1551337212,1175,913
1551338109,1027,1120
1551339910,2441,2731
1551340810,1369,1488
1551341712,1232,1457
1551343510,2466,3620
1551344412,1058,2151
1551345311,1038,1835
1551347113,2664,1801
1551348012,1636,931
1551348910,1302,1272
1551350712,2205,2536
1551351611,2302,2658
1551352511,1250,780
1551354312,3639,1407
1551355212,1608,2002
1551356111,1637,2544
1551357911,3230,3407
1551358811,1290,1987
1551360610,2388,1146
1551362412,2891,3445
1551363313,1563,2002
1551365110,4569,1465
1551366010,1541,1276
1551366912,1229,1898
1551368711,2211,2038
1551369611,1275,4449
1551370512,1261,2480
1551372310,2338,5723
1551373213,995,1335
1551374114,1144,367
1551375914,2358,2782
1551376813,1238,1181
1551377714,1279,705
1551379513,2642,1682
1551381314,2509,5309
1551383112,2189,2585
1551384016,1187,982
1551384917,1211,987
1551386714,2842,2567
1551387613,1063,680
1551388514,1034,880
1551390315,2270,1501
1551392112,2182,1830
1551393919,1939,1394
1551394813,1047,1335
1551395713,963,873
1551397514,1920,2314
1551398413,922,1890
1551400216,2166,3539
1551402014,2258,2021
1551402913,1256,323
1551404712,2427,1392
1551406514,2390,475
1551408312,2555,1110
1551409216,1184,753
1551411015,2232,2862
1551412817,2057,1801
1551413715,1014,259
1551415513,1863,1830
1551417312,2336,2375
1551419113,2386,3062
1551420012,1021,1326
1551420912,983,697
1551422716,2365,1250
1551424512,2281,2008
1551426313,2438,3388
1551427213,1047,1277
1551429015,2475,1958
1551430813,2685,1945
1551431714,1271,618
1551433512,2532,3555
1551434409,1297,767
1551435310,879,600
1551437110,2498,2708
1551438013,1159,679
1551438912,1351,10257
1551440712,8048,0
1551441610,883,2421
1551442510,733,1935
1551444310,2584,4048
1551445212,1105,1272
1551446111,1117,2062
1551447911,2419,2954
1551448813,1068,757
1551449710,1067,594
1551451510,1783,2116
1551452412,521,708
1551454213,1270,1199
1551456011,1716,1006
1551456912,777,877
1551458710,1501,1210
1551460512,1533,1851
1551462312,5004,2015
1551463213,1829,741
1551465012,2967,2426
1551465912,1386,1211
1551466810,1344,957
1551468611,2525,1320
1551470411,2370,3233
1551471312,1379,2369
1551473112,2689,3164
1551474012,1012,1096
1551474912,1205,557
1551476712,2177,2377
1551477611,1005,625
1551478512,1112,1268
1551480311,2138,3381
1551481211,1121,2433
1551482111,921,1723
1551483911,1912,2852
1551485712,2094,4228
1551487514,2137,1984
1551488414,970,308
1551489311,1002,417
1551491111,2034,1205
1551492910,2049,1708
1551494711,1888,1767
1551495610,878,831
1551496511,869,1159
1551498314,1886,2416
1551499212,999,819
1551500111,953,1061
1551501914,1973,1401
1551502811,897,986
1551503714,950,450
1551505512,2217,963
1551506415,1288,638
1551507311,1269,778
1551509111,2436,1484
1551510010,1277,1144
1551510912,1217,1232
1551512711,2593,1711
1551513612,1131,1164
1551515412,2509,3010
1551518110,1573,1746
1551520810,512,306
1551522610,1112,373
1551524413,1101,250
1551525310,488,135
1551527109,1104,527
1551528009,529,236
1551528909,537,223
1551530709,1217,539
1551532507,1125,632
1551534309,1144,551
1551536108,1280,692
1551537907,2651,1292
1551538807,3525,1567
1551539709,4033,1545
1551541507,3315,3115
1551542408,1491,737
1551544208,2886,1639
1551546006,2827,6623
1551550508,7280,13853
1551552308,3094,2601
1551554108,3177,3801
1551555907,3060,2194
1551556808,1616,630
1551557708,1390,2178
1551559508,2920,4014
1551560407,1357,1047
1551561308,1111,1886
1551563107,1966,2287
1551564008,911,1056
1551564909,748,1433
1551566708,2196,3283
1551567608,976,1408
1551569407,1794,1302
1551571208,1815,2043
1551573009,1641,2173
1551574810,1757,1673
1551575709,891,854
1551577509,1690,2197
1551578410,840,848
1551579309,799,491
1551581109,1595,1561
1551582911,2579,1897
1551584711,3258,2230
1551586510,2552,841
1551588309,2624,1038
1551589209,1195,479
1551591009,2319,1465
1551592810,2319,1680
1551593709,1118,592
1551595508,2553,1865
1551596410,1215,931
1551598209,2527,2139
1551600011,2283,2263
1551600911,1301,1351
1551602710,2530,4262
1551603608,1416,1875
1551604508,1421,2466
1551606309,2691,5166
1551607209,831,1846
1551609010,1283,1967
1551610809,1314,3285
1551611709,667,6794
1551613509,3947,0
1551614410,646,681
1551616211,1266,2168
1551618009,1403,1911
1551618908,618,1091
1551620710,1245,1383
1551621609,700,700
1551622509,744,953
1551624309,1359,1065
1551625208,682,620
1551626110,839,1399
1551627908,2337,1949
1551628808,1093,942
1551630609,2051,1219
1551632408,3261,2261
1551633310,1507,1044
1551635109,2492,1365
1551636010,861,495
1551637809,1955,2948
1551639609,2022,3601
1551641410,1849,4518
1551643209,1900,3192
1551644109,974,1015
1551645911,1966,1963
1551646811,948,367
1551648611,2008,1211
1551650410,1848,1402
1551652209,1486,1414
1551654011,1527,1265
1551655810,2032,1585
1551657611,1468,1908
1551659410,1428,2088
1551661212,1523,1480
1551663012,1639,1292
1551664813,1429,2107
1551665711,563,904
1551667513,1255,1205
1551669315,1414,1208
1551671111,1580,1509
1551672911,1702,1511
1551674713,1690,1393
1551676511,1884,1024
1551678313,2638,1503
1551680112,2037,1602
1551681913,1838,995
1551682813,895,269
1551683711,1206,853
1551685512,1938,2620
1551686411,992,1433
1551688211,1267,2601
1551690012,1274,1267
1551690913,779,1012
1551692714,1382,3171
1551694510,1137,1466
