DateTime,AddedIPs,RemovedIPs
1544528433,108,170
1544550632,84,435
1544560830,126,109
1544571031,162,0
1544580630,123,73
1544592630,151,139
1544614233,253,234
1544625032,118,0
1544634033,73,0
1544643030,90,165
1544651431,52,118
1544660431,2282,140
1544675430,1022,533
1544691033,160,106
1544707233,144,53
1544721632,224,0
1544750431,458,146
1544766031,271,258
1544795432,219,192
1544809831,286,514
1544825432,114,232
1544841031,96,0
1544855429,105,0
1544869831,168,346
1544883632,110,235
1544897431,231,167
1544925629,352,139
1544939430,153,0
1544953833,199,313
1544967633,85,165
1544982033,98,224
1544996433,108,259
1545009630,175,0
1545024031,121,167
1545053432,311,295
1545067832,115,111
1545081631,168,110
1545094831,235,158
1545108630,115,152
1545138033,146,399
1545151832,144,147
1545165632,1585,204
1545181831,407,316
1545200431,221,282
1545217833,179,269
1545236434,220,157
1545252033,144,308
1545267632,139,0
1545282031,114,585
1545295833,145,0
1545324633,297,1112
1545339033,214,340
1545352231,181,400
1545364831,132,0
1545378631,125,419
1545392433,169,393
1545408633,116,233
1545424832,107,142
1545439231,169,0
1545468034,263,481
1545481233,219,218
1545493232,160,0
1545506433,104,0
1545517832,94,254
1545529231,134,662
1545540031,91,0
1545553233,94,0
1545565234,76,248
1545577832,69,132
1545589833,96,137
1545600032,149,91
1545610832,120,120
1545621631,131,171
1545634231,142,285
1545645632,89,265
1545657033,98,285
1545669033,73,250
1545679832,85,132
1545690633,72,127
1545700831,51,138
1545712230,74,189
1545724230,66,144
1545736833,108,163
1545748234,105,111
1545758433,85,122
1545770433,114,92
1545782432,138,86
1545793232,89,105
1545802830,119,127
1545814833,85,173
1545825634,99,159
1545835833,68,127
1545846032,155,184
1545857433,221,129
1545868232,95,81
1545879631,125,0
1545890431,144,91
1545901233,91,172
1545911433,87,60
1545922232,162,0
1545933033,119,70
1545943832,82,163
1545954032,115,101
1545964832,67,0
1545976230,113,122
1545987033,82,89
1545997232,104,99
1546009233,79,184
1546018833,90,190
1546030232,90,0
1546040432,103,79
1546052431,78,71
1546063830,139,198
1546073434,99,89
1546084233,80,0
1546095033,100,202
1546105232,79,0
1546116033,100,206
1546128032,79,0
1546137631,66,237
1546149030,70,0
1546159834,62,118
1546170634,64,221
1546182034,78,74
1546191040,88,116
1546200633,73,0
1546210832,93,100
1546219832,108,104
1546229431,73,102
1546239031,76,125
1546249233,64,90
1546260033,78,145
1546272032,56,92
1546281032,88,98
1546291832,88,76
1546300232,62,108
1546310431,74,80
1546319430,70,105
1546330833,97,68
1546340433,86,98
1546348832,95,103
1546357833,89,74
1546368032,107,0
1546378832,117,142
1546389030,48,65
1546398630,79,72
1546410030,75,105
1546420833,88,86
1546431032,73,84
1546440632,66,85
1546450831,68,85
1546461631,88,103
1546472430,113,68
1546481430,62,86
1546492830,302,92
1546503633,381,131
1546513833,116,96
1546524632,96,79
1546534232,92,96
1546543832,79,107
1546553431,72,90
1546563032,448,90
1546573830,112,141
1546584631,129,172
1546594833,93,117
1546606233,95,109
1546617632,105,111
1546627832,76,81
1546637432,144,76
1546646432,93,81
1546654830,101,104
1546664430,67,118
1546674030,63,113
1546684833,60,236
1546694433,69,201
1546704633,78,145
1546715432,74,125
1546726233,72,71
1546737030,54,75
1546746031,62,53
1546756830,88,71
1546767034,95,77
1546776034,106,81
1546786234,97,140
1546795832,85,85
1546806033,65,55
1546816232,57,64
1546826432,48,66
1546836631,81,84
1546846831,98,91
1546857033,91,98
1546866633,59,130
1546877432,75,93
1546888833,52,69
1546899031,89,64
1546909231,93,84
1546918231,88,132
1546927831,99,126
1546939233,99,93
1546949433,92,71
1546961433,103,106
1546971033,50,107
1546980632,95,105
1546991432,94,127
1547002831,73,90
1547013030,66,134
1547023833,56,116
