DateTime,AddedIPs,RemovedIPs
1551333723,47,0
1551334922,44,35
1551336123,40,91
1551337323,38,48
1551337923,39,0
1551338523,38,0
1551339724,46,69
1551340923,43,48
1551342124,43,162
1551342723,50,39
1551343322,40,47
1551344524,49,0
1551345123,32,44
1551345723,47,0
1551346923,51,46
1551348123,35,79
1551348723,31,0
1551349323,41,0
1551349923,30,39
1551350523,48,0
1551351723,30,89
1551352923,41,0
1551353522,46,54
1551354123,33,60
1551355323,53,51
1551355923,38,48
1551356523,51,102
1551357723,40,39
1551358923,46,51
1551360123,55,48
1551361323,38,83
1551361923,35,0
1551362522,42,50
1551363124,50,0
1551363723,33,42
1551364923,43,0
1551366123,34,31
1551366723,37,72
1551367323,45,0
1551367923,37,35
1551368523,50,0
1551369123,33,0
1551369723,38,117
1551370923,51,0
1551372123,45,93
1551372723,37,45
1551373323,34,0
1551374522,35,39
1551375723,37,69
1551376923,44,69
1551378123,22,71
1551378723,35,32
1551379323,36,0
1551380523,35,42
1551381123,43,43
1551381723,31,39
1551382323,38,56
1551382923,45,42
1551384122,55,0
1551385323,35,131
1551386523,52,0
1551387124,46,44
1551387723,31,34
1551388923,34,44
1551389523,52,0
1551390122,37,0
1551391322,43,52
1551393122,52,68
1551393724,43,0
1551394322,40,0
1551394922,39,89
1551396123,41,39
1551396723,35,0
1551397323,39,0
1551397923,44,42
1551398524,46,41
1551399123,36,0
1551399723,36,57
1551400923,27,0
1551402123,31,35
1551403323,39,118
1551404523,37,0
1551405724,48,66
1551406324,44,28
1551406923,46,38
1551407523,48,0
1551408124,49,0
1551409323,47,77
1551409923,38,38
1551410523,40,0
1551411723,39,42
1551412922,39,91
1551414123,47,90
1551415323,50,38
1551416522,46,0
1551417724,33,46
1551418923,34,92
1551420124,48,72
1551421322,45,70
1551422523,52,27
1551423723,45,0
1551424923,41,81
1551425526,45,41
1551426123,42,47
1551427322,42,42
1551428523,41,0
1551429722,45,79
1551430922,44,89
1551431525,48,0
1551432123,43,69
1551433324,52,39
1551433923,57,0
1551434523,39,0
1551435722,48,67
1551436923,45,115
1551438123,38,39
1551438724,46,0
1551439322,45,50
1551439922,53,0
1551440523,39,44
1551441723,50,89
1551442922,48,51
1551444123,32,86
1551445323,50,46
1551446523,35,42
1551447723,45,0
1551448923,39,67
1551450123,41,119
1551451324,42,0
1551452523,42,74
1551453124,41,47
1551453723,36,0
1551454323,57,77
1551454923,34,0
1551456123,50,122
1551457323,41,0
1551457923,47,40
1551458523,40,51
1551459723,37,74
1551460322,36,0
1551460923,34,0
1551462122,40,96
1551463323,55,0
1551464523,56,98
1551465123,57,34
1551465722,53,0
1551466322,51,47
1551466923,37,42
1551467523,50,0
1551468123,55,79
1551468723,62,0
1551469322,49,38
1551469923,45,44
1551470523,54,31
1551471122,49,0
1551471722,49,42
1551472923,44,0
1551473523,52,113
1551474125,36,0
1551475323,37,42
1551475923,53,43
1551476523,43,89
1551477722,57,0
1551478923,46,48
1551480123,46,45
1551481323,48,136
1551481923,54,0
1551482522,38,0
1551483723,48,88
1551484322,49,48
1551484924,37,99
1551486123,43,52
1551487322,44,83
1551487922,48,0
1551488522,35,0
1551489723,39,44
1551490323,43,44
1551490923,43,51
1551492123,29,38
1551493323,39,27
1551493923,38,58
1551494523,51,81
1551495124,34,0
1551495723,49,53
1551496323,45,52
1551496923,41,32
1551498123,41,44
1551499323,42,0
1551499923,39,32
1551500523,45,41
1551501722,38,0
1551502923,37,58
1551504122,46,84
1551504722,29,0
1551505323,49,0
1551506523,47,86
1551507124,26,0
1551507723,41,0
1551508923,49,48
1551510123,52,34
1551510723,31,43
1551511324,41,40
1551512523,27,45
1551513722,45,92
1551514324,43,0
1551514922,52,33
1551515522,30,0
1551516122,29,0
1551516722,52,42
1551517322,28,0
1551518522,30,120
1551519724,47,0
1551520923,39,93
1551521524,41,54
1551522122,44,47
1551522723,43,0
1551523323,40,0
1551524523,42,50
1551525723,44,90
1551526923,37,103
1551527523,46,0
1551528122,44,0
1551529322,41,93
1551530523,38,0
1551531723,46,33
1551532922,51,83
1551534122,23,33
1551534723,55,0
1551535323,38,43
1551536523,40,0
1551537723,41,75
1551538323,32,0
1551538923,40,0
1551539523,43,95
1551540123,36,0
1551540723,40,39
1551541323,35,83
1551541922,38,0
1551542522,37,42
1551543123,30,0
1551543723,43,43
1551544922,66,38
1551545522,25,47
1551546123,41,0
1551548523,39,174
1551549723,40,40
1551550923,53,0
1551551523,36,36
1551552122,39,33
1551552723,46,33
1551553323,41,40
1551553923,40,41
1551554523,41,43
1551555723,25,116
1551556323,48,48
1551556924,42,0
1551558123,39,85
1551558723,41,26
1551559323,31,0
1551560523,46,100
1551561123,37,0
1551561723,26,0
1551562923,40,116
1551564123,43,44
1551565324,44,0
1551566522,37,84
1551567723,34,0
1551568923,37,98
1551569523,34,42
1551570123,29,0
1551571324,41,79
1551571923,36,29
1551572524,30,42
1551573123,54,0
1551573723,51,43
1551574323,40,41
1551574923,34,40
1551576123,45,0
1551576723,26,77
1551577323,32,33
1551578523,34,30
1551579122,41,0
1551579723,37,0
1551580322,55,41
1551580923,36,49
1551581523,45,38
1551582124,45,40
1551582723,25,36
1551583323,46,38
1551584522,39,40
1551585124,38,34
1551585723,30,0
1551586924,44,134
1551588123,40,0
1551589323,47,77
1551589923,49,0
1551590524,42,0
1551591123,48,38
1551591722,32,76
1551592923,41,41
1551594123,43,76
1551594723,28,0
1551595323,43,44
1551595923,39,0
1551596523,35,41
1551597123,41,32
1551597723,34,46
1551598923,31,42
1551600123,34,0
1551601323,37,115
1551601922,40,33
1551602523,41,40
1551603723,52,39
1551604923,24,27
1551606122,24,86
1551607324,45,44
1551608522,42,83
1551609123,39,36
1551609724,43,0
1551610924,40,72
1551612123,41,0
1551613323,39,51
1551614523,36,79
1551615124,42,39
1551615723,37,0
1551616923,37,82
1551618123,43,34
1551618723,40,0
1551619323,34,52
1551620523,38,0
1551621722,49,83
1551622923,37,63
1551624123,37,51
1551624723,27,0
1551625324,33,44
1551626523,38,127
1551627724,46,40
1551628923,43,80
1551629524,47,81
1551630123,49,51
1551630723,40,0
1551631323,48,62
1551632523,46,84
1551633123,46,0
1551633723,49,0
1551634922,38,0
1551636123,34,47
1551637323,36,37
1551637923,40,51
1551638523,28,65
1551639722,31,44
1551640923,49,77
1551642122,39,79
1551642722,35,38
1551643323,46,43
1551644522,36,0
1551645124,35,39
1551645723,43,37
1551646923,48,32
1551647523,42,85
1551648123,45,0
1551649323,44,73
1551649923,33,0
1551650523,34,32
1551651123,38,0
1551651723,41,0
1551652923,34,44
1551654123,42,42
1551654724,27,43
1551655323,37,44
