DateTime,AddedIPs,RemovedIPs
1551333723,80,80
1551334922,80,80
1551336123,80,80
1551337323,80,80
1551337923,80,80
1551338523,80,80
1551339724,80,80
1551340923,80,80
1551342124,78,78
1551342723,80,80
1551343322,80,80
1551344524,80,80
1551345123,80,80
1551345723,80,80
1551346923,80,80
1551348123,80,80
1551348723,80,80
1551349323,80,80
1551349923,80,80
1551350523,80,80
1551351723,80,80
1551352923,80,80
1551353522,80,80
1551354123,80,80
1551355323,80,80
1551355923,80,80
1551356523,80,80
1551357723,80,80
1551358923,80,80
1551360123,79,79
1551361323,80,80
1551361923,80,80
1551362522,80,80
1551363124,80,80
1551363723,80,80
1551364923,80,80
1551366123,78,78
1551366723,80,80
1551367323,80,80
1551367923,80,80
1551368523,80,80
1551369123,79,79
1551369723,80,80
1551370923,80,80
1551372123,80,80
1551372723,80,80
1551373323,80,80
1551374522,80,80
1551375723,80,80
1551376923,80,80
1551378123,80,80
1551378723,80,80
1551379323,80,80
1551380523,80,80
1551381123,80,80
1551381723,80,80
1551382323,79,79
1551382923,80,80
1551384122,80,80
1551385323,80,80
1551386523,79,79
1551387124,79,79
1551387723,80,80
1551388923,80,80
1551389523,80,80
1551390122,80,80
1551391322,80,80
1551393122,80,80
1551393724,80,80
1551394322,80,80
1551394922,80,80
1551396123,79,79
1551396723,80,80
1551397323,80,80
1551397923,80,80
1551398524,80,80
1551399123,80,80
1551399723,80,80
1551400923,80,80
1551402123,80,80
1551403323,80,80
1551404523,80,80
1551405724,80,80
1551406324,80,80
1551406923,80,80
1551407523,80,80
1551408124,80,80
1551409323,80,80
1551409923,80,80
1551410523,80,80
1551411723,80,80
1551412922,80,80
1551414123,80,80
1551415323,80,80
1551416522,80,80
1551417724,80,80
1551418923,80,80
1551420124,80,80
1551421322,80,80
1551422523,80,80
1551423723,80,80
1551424923,80,80
1551425526,80,80
1551426123,80,80
1551427322,80,80
1551428523,80,80
1551429722,80,80
1551430922,80,80
1551431525,80,80
1551432123,80,80
1551433324,80,80
1551433923,80,80
1551434523,80,80
1551435722,80,80
1551436923,80,80
1551438123,80,80
1551438724,80,80
1551439322,80,80
1551439922,80,80
1551440523,80,80
1551441723,80,80
1551442922,80,80
1551444123,80,80
1551445323,80,80
1551446523,80,80
1551447723,80,80
1551448923,80,80
1551450123,80,80
1551451324,80,80
1551452523,80,80
1551453124,80,80
1551453723,80,80
1551454323,79,79
1551454923,80,80
1551456123,80,80
1551457323,80,80
1551457923,80,80
1551458523,80,80
1551459723,80,80
1551460322,80,80
1551460923,80,80
1551462122,80,80
1551463323,80,80
1551464523,80,80
1551465123,80,80
1551465722,80,80
1551466322,80,80
1551466923,80,80
1551467523,80,80
1551468123,80,80
1551468723,80,80
1551469322,80,80
1551469923,80,80
1551470523,80,80
1551471122,80,80
1551471722,80,80
1551472923,80,80
1551473523,80,80
1551474125,80,80
