DateTime,AddedIPs,RemovedIPs
1551312124,3,0
1551312724,1,0
1551313323,10,4
1551313923,18,7
1551314522,10,4
1551315122,5,0
1551315723,0,2
1551316323,0,16
1551316923,0,3
1551317523,46,0
1551318123,4,0
1551319323,13,14
1551319923,4,5
1551321723,7,16
1551322923,0,1
1551324122,1,3
1551325323,1,0
1551326523,0,1
1551327123,0,16
1551328323,9,8
1551328923,14,22
1551329523,11,16
1551330123,3,21
1551331323,10,9
1551332523,2,1
1551333723,2,0
1551334922,3,0
1551336123,0,1
1551336723,6,7
1551337322,7,21
1551337922,3,0
1551338523,9,0
1551339122,12,9
1551339724,1,0
1551340923,6,4
1551342123,3,21
1551343322,2,0
1551344524,24,2
1551345122,1,0
1551345722,1,0
1551346323,1,13
1551346923,0,4
1551348123,1,16
1551348723,1,0
1551349323,12,7
1551349922,3,0
1551350523,3,0
1551351723,7,19
1551352323,5,13
1551352923,5,8
1551354123,0,10
1551355322,1,0
1551355923,3,1
1551357723,3,0
1551358923,2,12
1551361323,9,25
1551361923,1,0
1551362522,0,17
1551363123,5,7
1551363723,2,3
1551364322,4,10
1551364923,10,0
1551366123,1,16
1551367323,7,25
1551368523,36,0
1551369722,2,28
1551370323,1,11
1551370923,0,5
1551372122,2,11
1551373322,0,13
1551374522,2,3
1551375723,21,12
1551376923,5,23
1551378123,0,27
1551380523,1,8
1551381722,0,7
1551382923,0,35
1551384122,23,19
1551385323,2,0
1551386522,12,11
1551387124,0,2
1551387723,4,3
1551388923,1,2
1551390122,0,1
1551390722,22,0
1551391322,1,0
1551393122,0,13
1551393723,0,35
1551394322,2,0
1551394922,0,23
1551395523,1,0
1551396123,38,0
1551397323,12,0
1551398524,26,2
1551399123,19,0
1551399723,10,7
1551400923,5,0
1551402123,11,12
1551402722,0,11
1551403323,3,16
1551404523,1,4
1551405122,0,14
1551405723,19,0
1551406323,14,5
1551406923,24,0
1551407523,4,1
1551408123,1,7
1551409323,15,0
1551409923,3,31
1551411722,0,10
1551413523,0,27
1551414123,14,6
1551415322,5,7
1551417724,1,16
1551418323,5,5
1551418922,0,9
1551420124,26,0
1551420723,0,3
1551421322,0,1
1551422523,2,6
1551423723,5,19
1551424923,0,11
1551426122,7,0
1551427322,54,8
1551427922,22,0
1551428522,7,3
1551429122,13,0
1551429722,2,0
1551430323,18,3
1551430922,0,6
1551433324,1,19
1551433922,0,34
1551434523,0,4
1551435722,0,3
1551436922,1,23
