DateTime,AddedIPs,RemovedIPs
1549979102,239,0
1549982702,302,0
1549987202,251,0
1549990802,189,0
1549994402,222,0
1549998002,242,0
1550001602,186,0
1550005202,208,0
1550008802,209,0
1550012402,196,0
1550016002,160,4864
1550019602,161,0
1550023202,240,0
1550026802,171,0
1550030402,151,0
1550034002,155,0
1550037602,162,0
1550041202,209,0
1550044802,261,0
1550048402,231,0
1550052003,295,0
1550055602,176,1
1550059202,192,0
1550062802,181,0
1550066402,168,0
1550070002,162,0
1550073603,155,0
1550077202,164,0
1550080802,179,0
1550084402,163,0
1550088002,140,0
1550091602,133,0
1550095202,164,0
1550098802,244,0
1550102402,275,5483
1550106002,201,0
1550109602,168,0
1550113202,174,0
1550116802,174,0
1550120402,204,0
1550124002,235,0
1550127602,313,0
1550131202,350,0
1550134802,295,0
1550138402,287,0
1550142001,298,0
1550145602,302,0
1550149202,220,0
1550152802,211,0
1550156402,158,0
1550160002,157,0
1550163602,167,0
1550167202,210,0
1550170802,242,0
1550174402,259,0
1550178002,207,0
1550181602,216,0
1550185202,143,0
1550188802,158,4607
1550192402,165,0
1550196002,137,0
1550199602,146,0
1550203202,144,0
1550206802,141,0
1550210403,147,0
1550214002,136,0
1550217602,158,0
1550221202,307,0
1550224803,441,0
1550228402,390,0
1550232002,453,0
1550235602,282,0
1550239202,247,0
1550242802,224,0
1550246402,177,0
1550250002,269,0
1550253602,134,0
1550257202,143,0
1550260803,132,0
1550264402,131,0
1550268002,120,0
1550271602,138,0
1550275202,137,5217
1550278801,227,0
1550282402,151,0
1550286002,283,0
1550289602,242,0
1550293202,250,0
1550296802,279,0
1550300402,253,0
1550304002,162,0
1550307602,186,0
1550311202,195,0
1550314802,223,0
1550318402,200,0
1550322002,388,0
1550325602,169,0
1550329202,138,0
1550332802,120,0
1550336402,127,0
1550340002,208,0
1550343602,196,0
1550347202,105,0
1550350802,161,0
1550354403,153,0
1550358002,172,0
1550361602,336,4833
1550365202,211,0
1550368802,220,0
1550372402,239,0
