DateTime,AddedIPs,RemovedIPs
1549105513,0,3
1549106420,3,1
1549113617,4,4
1549120813,3,3
1549128017,3,2
1549133422,0,1
1549135214,7,8
1549142418,4,4
1549149618,3,1
1549150516,0,1
1549156826,0,3
1549164027,4,5
1549171222,4,4
1549175714,0,1
1549178418,8,2
1549185628,6,2
1549190317,1,6
1549191156,8,0
1549192867,3,6
1549200013,5,0
1549203615,0,1
1549207222,2,3
1549209924,1,0
1549215327,4,5
1549218914,0,1
1549221613,5,3
1549224314,0,1
1549228820,4,2
1549236022,2,3
1549243215,15,5
1549250409,3,1
1549257614,3,8
1549264811,6,0
1549272024,3,2
1549276512,10,0
1549278313,0,3
1549279203,7,5
1549286417,1,6
1549289105,1,0
1549294512,1,4
1549301713,7,3
1549308910,3,6
1549315213,20,3
1549322410,2,4
1549329599,4,2
1549336811,2,7
1549343999,5,6
1549351209,8,3
1549358403,3,3
1549360200,0,1
1549363943,0,5
1549364857,6,0
1549365728,5,7
1549372813,4,1
1549380028,3,2
1549387217,6,7
1549394420,5,4
1549397117,0,1
1549401618,4,2
1549408821,4,3
1549416016,0,3
1549423216,1,5
1549430413,6,6
1549438511,2,5
1549444811,3,2
1549449309,5,1
1549451119,0,6
1549452017,6,0
1549459219,1,4
1549466432,1,4
1549473616,6,5
1549478126,0,1
1549480829,5,4
1549488024,2,1
1549492521,0,1
1549495217,1,3
1549502412,4,4
1549509610,3,5
1549516817,3,7
1549524020,6,9
1549526716,0,1
1549531225,4,4
1549536744,0,8
1549538524,2,1
1549539313,2,0
1549545619,2,3
1549552819,4,8
1549553730,0,2
1549560022,3,3
1549567214,4,4
1549574413,6,2
1549581617,4,2
1549588812,4,0
1549596913,3,9
1549603208,4,7
1549610415,5,2
1549617607,1,3
1549622117,0,1
1549623013,0,1
1549623915,0,7
1549624829,3,2
1549630214,1,0
1549632019,2,9
1549638309,0,1
1549639208,4,3
1549647324,4,9
1549653623,3,3
1549660811,4,0
1549668014,1,9
1549675212,4,1
1549679717,0,1
1549682414,4,11
1549689610,3,4
1549696809,2,2
1549704007,4,5
1549708676,0,12
1549711351,3,3
1549718415,3,5
1549722916,0,1
1549725623,5,5
1549732821,2,5
1549740017,1,7
1549747225,3,2
1549754423,4,5
1549761607,6,2
1549768821,2,4
1549776011,6,7
1549780511,0,1
1549783219,6,4
1549790428,4,1
1549794926,1,1
1549795811,0,13
1549797624,0,4
1549804817,3,4
1549812021,3,1
1549819211,8,3
1549824624,0,1
1549826424,4,1
1549833619,2,4
1549840821,4,2
1549848010,1,2
1549856118,5,3
1549862422,4,4
1549869621,6,3
1549876831,2,5
1549881452,0,12
1549884035,5,2
1549891215,3,3
1549898417,5,1
1549905622,2,4
1549912827,5,1
1549920023,8,3
1549927216,4,3
1549935326,2,4
1549941624,3,4
1549945218,1,0
1549948824,7,7
1549956023,6,5
1549963219,0,5
1549967727,3,2
1549969531,0,7
1549970425,4,2
1549977616,3,5
1549984814,3,5
1549992025,4,5
1549997427,1,0
1549999226,7,5
1550006432,5,4
1550013624,4,1
1550020836,1,5
1550028021,3,5
1550035229,4,5
1550042420,6,2
1550050520,1,6
1550054272,0,10
1550056922,3,6
1550057721,1,0
1550064011,3,6
1550071217,3,3
1550073917,1,0
1550078429,4,6
1550086521,5,5
1550092811,3,4
1550096426,0,1
1550100021,5,0
1550107224,1,4
1550114426,1,6
1550121619,6,5
1550127013,0,1
1550130610,5,0
1550136014,4,4
1550143207,1,7
1550150414,3,4
1550154913,1,0
1550156718,0,1
1550157609,2,4
1550159413,1,0
1550160323,1,0
1550164812,4,4
1550170216,0,1
1550172017,3,4
1550176518,1,0
1550179207,3,5
1550187312,2,3
1550193614,1,7
1550200822,2,3
1550201698,2,0
1550208909,6,7
1550215209,2,2
1550222414,2,3
1550228843,1,0
1550229756,10,6
1550236815,2,6
1550244037,7,1
1550251231,3,7
1550257528,1,0
1550258436,5,9
1550259332,37,0
1550265617,5,3
1550272817,3,3
1550274620,0,1
1550280022,0,2
1550287214,1,6
1550294419,5,4
1550301617,3,3
1550308820,3,3
1550313315,0,2
1550316018,5,7
1550321422,6,0
1550323219,5,2
1550326826,1,0
1550330421,2,4
1550337626,1,1
1550342126,0,1
