DateTime,Entries,UniqueIPs
1549105513,1520,1520
1549106420,1522,1522
1549113617,1522,1522
1549120813,1522,1522
1549128017,1523,1523
1549133422,1522,1522
1549135214,1521,1521
1549142418,1521,1521
1549149618,1523,1523
1549150516,1522,1522
1549156826,1519,1519
1549164027,1518,1518
1549171222,1518,1518
1549175714,1517,1517
1549178418,1523,1523
1549185628,1527,1527
1549190317,1522,1522
1549191156,1530,1530
1549192867,1527,1527
1549200013,1532,1532
1549203615,1531,1531
1549207222,1530,1530
1549209924,1531,1531
1549215327,1530,1530
1549218914,1529,1529
1549221613,1531,1531
1549224314,1530,1530
1549228820,1532,1532
1549236022,1531,1531
1549243215,1541,1541
1549250409,1543,1543
1549257614,1538,1538
1549264811,1544,1544
1549272024,1545,1545
1549276512,1555,1555
1549278313,1552,1552
1549279203,1554,1554
1549286417,1549,1549
1549289105,1550,1550
1549294512,1547,1547
1549301713,1551,1551
1549308910,1548,1548
1549315213,1565,1565
1549322410,1563,1563
1549329599,1565,1565
1549336811,1560,1560
1549343999,1559,1559
1549351209,1564,1564
1549358403,1564,1564
1549360200,1563,1563
1549363943,1558,1558
1549364857,1564,1564
1549365728,1562,1562
1549372813,1565,1565
1549380028,1566,1566
1549387217,1565,1565
1549394420,1566,1566
1549397117,1565,1565
1549401618,1567,1567
1549408821,1568,1568
1549416016,1565,1565
1549423216,1561,1561
1549430413,1561,1561
1549438511,1558,1558
1549444811,1559,1559
1549449309,1563,1563
1549451119,1557,1557
1549452017,1563,1563
1549459219,1560,1560
1549466432,1557,1557
1549473616,1558,1558
1549478126,1557,1557
1549480829,1558,1558
1549488024,1559,1559
1549492521,1558,1558
1549495217,1556,1556
1549502412,1556,1556
1549509610,1554,1554
1549516817,1550,1550
1549524020,1547,1547
1549526716,1546,1546
1549531225,1546,1546
1549536744,1538,1538
1549538524,1539,1539
1549539313,1541,1541
1549545619,1540,1540
1549552819,1536,1536
1549553730,1534,1534
1549560022,1534,1534
1549567214,1534,1534
1549574413,1538,1538
1549581617,1540,1540
1549588812,1544,1544
1549596913,1538,1538
1549603208,1535,1535
1549610415,1538,1538
1549617607,1536,1536
1549622117,1535,1535
1549623013,1534,1534
1549623915,1527,1527
1549624829,1528,1528
1549630214,1529,1529
1549632019,1522,1522
1549638309,1521,1521
1549639208,1522,1522
1549647324,1517,1517
1549653623,1517,1517
1549660811,1521,1521
1549668014,1513,1513
1549675212,1516,1516
1549679717,1515,1515
1549682414,1508,1508
1549689610,1507,1507
1549696809,1507,1507
1549704007,1506,1506
1549708676,1494,1494
1549711351,1494,1494
1549718415,1492,1492
1549722916,1491,1491
1549725623,1491,1491
1549732821,1488,1488
1549740017,1482,1482
1549747225,1483,1483
1549754423,1482,1482
1549761607,1486,1486
1549768821,1484,1484
1549776011,1483,1483
1549780511,1482,1482
1549783219,1484,1484
1549790428,1487,1487
1549794926,1487,1487
1549795811,1474,1474
1549797624,1470,1470
1549804817,1469,1469
1549812021,1471,1471
1549819211,1476,1476
1549824624,1475,1475
1549826424,1478,1478
1549833619,1476,1476
1549840821,1478,1478
1549848010,1477,1477
1549856118,1479,1479
1549862422,1479,1479
1549869621,1482,1482
1549876831,1479,1479
1549881452,1467,1467
1549884035,1470,1470
1549891215,1470,1470
1549898417,1474,1474
1549905622,1472,1472
1549912827,1476,1476
1549920023,1481,1481
1549927216,1482,1482
1549935326,1480,1480
1549941624,1479,1479
1549945218,1480,1480
1549948824,1480,1480
1549956023,1481,1481
1549963219,1476,1476
1549967727,1477,1477
1549969531,1470,1470
1549970425,1472,1472
1549977616,1470,1470
1549984814,1468,1468
1549992025,1467,1467
1549997427,1468,1468
1549999226,1470,1470
1550006432,1471,1471
1550013624,1474,1474
1550020836,1470,1470
1550028021,1468,1468
1550035229,1467,1467
1550042420,1471,1471
1550050520,1466,1466
1550054272,1456,1456
1550056922,1453,1453
1550057721,1454,1454
1550064011,1451,1451
1550071217,1451,1451
1550073917,1452,1452
1550078429,1450,1450
1550086521,1450,1450
1550092811,1449,1449
1550096426,1448,1448
1550100021,1453,1453
1550107224,1450,1450
1550114426,1445,1445
1550121619,1446,1446
1550127013,1445,1445
1550130610,1450,1450
1550136014,1450,1450
1550143207,1444,1444
1550150414,1443,1443
1550154913,1444,1444
1550156718,1443,1443
1550157609,1441,1441
1550159413,1442,1442
1550160323,1443,1443
1550164812,1443,1443
1550170216,1442,1442
1550172017,1441,1441
1550176518,1442,1442
1550179207,1440,1440
1550187312,1439,1439
1550193614,1433,1433
1550200822,1432,1432
1550201698,1434,1434
1550208909,1433,1433
1550215209,1433,1433
1550222414,1432,1432
1550228843,1433,1433
1550229756,1437,1437
1550236815,1433,1433
1550244037,1439,1439
1550251231,1435,1435
1550257528,1436,1436
1550258436,1432,1432
1550259332,1469,1469
1550265617,1471,1471
1550272817,1471,1471
1550274620,1470,1470
1550280022,1468,1468
1550287214,1463,1463
1550294419,1464,1464
1550301617,1464,1464
1550308820,1464,1464
1550313315,1462,1462
1550316018,1460,1460
1550321422,1466,1466
1550323219,1469,1469
1550326826,1470,1470
1550330421,1468,1468
1550337626,1468,1468
1550342126,1467,1467
1550344820,1471,1471
1550346621,1473,1473
1550352022,1472,1472
1550359226,1475,1475
1550366418,1476,1476
