DateTime,AddedIPs,RemovedIPs
1549728139,1,4
1549735397,1,2
1549738937,0,2
1549746137,1,3
1549748837,2,1
1549753397,1,2
1549756997,2,0
1549760600,3,1
1549767738,1,0
1549771399,3,3
1549774938,2,1
1549778598,4,5
1549782199,2,2
1549789398,2,1
1549796599,0,5
1549800198,3,0
1549803798,0,1
1549807399,1,0
1549810938,1,1
1549814538,2,1
1549818199,5,5
1549825398,1,1
1549828999,2,0
1549832540,0,2
1549836139,2,0
1549839739,2,0
1549843338,0,1
1549850598,1,3
1549854200,1,0
1549857799,2,3
1549861340,1,0
1549864999,1,1
1549868599,4,4
1549872140,1,2
1549875739,0,2
1549879399,2,0
1549883000,3,0
1549886599,1,0
1549890200,2,0
1549893800,2,2
1549897400,2,1
1549900999,1,2
1549908260,2,5
1549911800,4,0
1549915400,2,2
1549919000,2,0
1549922600,2,0
1549926200,0,1
1549929739,0,2
1549933399,1,0
1549936939,1,2
1549940600,1,2
1549944200,4,0
1549947800,2,2
1549951400,1,6
1549955000,2,0
1549958540,0,4
1549962140,0,5
1549965800,1,0
1549969401,1,1
1549972940,1,1
1549980200,1,1
1549983800,1,0
1549987400,3,5
1549991000,1,3
1549994600,1,0
1549998200,3,1
1550001741,2,2
1550002100,1,0
1550005400,0,1
1550009000,0,1
1550012540,2,0
1550016201,0,2
1550019740,1,0
1550027002,2,0
1550030541,3,4
1550034144,1,5
1550037801,0,5
1550041401,3,0
1550045001,0,1
1550048604,0,1
1550052201,2,1
1550055807,1,1
1550059401,3,0
1550063001,0,4
1550066542,1,2
1550070202,1,0
1550073802,3,3
1550077405,1,7
1550081002,2,0
1550084606,2,1
1550088204,1,1
1550095401,1,1
1550098942,2,0
1550102543,1,5
1550106143,0,1
1550109802,1,0
1550113402,0,1
1550117002,0,10
1550120542,5,2
1550127802,3,4
1550131342,2,0
1550135002,2,0
1550138545,0,5
1550145802,3,0
1550152947,2,4
1550160144,1,4
1550163803,1,0
1550171006,1,6
1550174543,2,2
1550181806,1,2
1550188947,0,3
1550192603,0,1
1550196144,1,0
1550199804,0,1
1550203403,1,2
1550207005,4,3
1550214145,1,5
1550217745,2,0
1550221343,0,3
1550225004,4,1
1550228543,5,2
1550232205,1,1
1550239345,1,3
1550243004,1,0
1550246604,1,1
1550250204,2,0
1550253807,2,1
1550257345,2,0
1550261006,1,1
1550264544,2,0
1550268144,3,2
1550275344,0,2
1550286144,1,0
1550289744,2,3
1550293404,2,1
1550297004,1,1
1550300606,2,1
1550304144,1,3
1550307808,1,0
1550311346,1,4
1550318604,2,1
1550322204,2,1
1550325744,1,0
1550329345,1,1
1550336605,1,1
1550340209,2,0
1550343745,2,0
1550347405,0,1
1550350945,1,1
1550354550,1,1
1550358145,2,2
1550365405,1,0
1550369005,3,1
1550372605,0,3
1550376211,2,0
1550379805,2,5
1550383345,1,0
1550386949,1,2
1550390610,1,3
1550394148,2,1
1550397807,3,0
1550401408,1,2
1550405005,1,0
1550408609,0,1
1550412145,2,2
1550415810,0,1
1550419405,1,1
1550422946,1,2
1550426546,1,0
1550430206,1,4
1550433746,0,3
1550437348,2,1
1550440946,0,2
1550444547,2,0
1550448210,0,1
1550452714,0,1
1550455414,4,1
1550459013,1,2
1550462553,3,0
1550466153,1,3
1550469815,0,1
1550473414,5,5
1550480554,2,0
1550484157,1,5
1550491354,4,3
1550493274,1,2
1550498554,1,1
1550502215,2,5
1550505756,1,1
1550509355,2,2
1550513015,1,0
1550516557,2,5
1550520155,0,1
1550527355,1,3
1550538214,1,2
1550545354,0,1
1550548954,4,2
1550552555,2,2
1550556157,0,4
1550559755,5,0
1550568118,1,1
1550574178,3,2
1550577778,1,0
1550581378,2,5
1550584978,1,2
1550588578,0,2
1550592178,0,2
1550595778,3,2
1550599378,1,3
1550606578,0,2
1550610178,1,0
1550613778,2,0
1550617378,2,3
1550628178,1,10
1550631778,3,1
1550635379,2,1
1550638979,3,0
1550642578,0,1
1550646179,2,4
1550647138,2,0
1550653378,3,1
1550656980,1,1
1550660579,4,4
1550664179,2,2
1550671378,1,1
1550674978,0,4
1550682179,3,1
1550685781,0,3
1550689380,1,7
1550692979,1,0
1550696579,2,1
1550700180,0,1
1550703779,1,0
1550707385,2,2
1550710987,2,0
1550714581,1,2
1550718179,5,0
1550721780,2,2
1550725379,2,3
1550728980,1,4
1550732579,5,0
1550736179,0,2
1550737368,5,1
1550746967,1,2
1550750627,1,6
1550754167,1,3
1550761367,2,0
1550764967,1,4
1550768568,3,1
1550775828,1,1
1550779367,2,0
1550782968,0,1
1550786628,1,0
1550793768,2,0
1550794128,4,0
1550804569,0,1
1550808169,3,0
1550811769,2,4
1550815369,2,1
1550818971,2,0
1550822577,3,2
1550826169,2,0
1550829774,1,2
1550833371,1,5
1550837031,1,0
1550840571,1,2
1550847771,4,0
1550851370,1,0
1550854970,3,2
1550858570,4,1
1550862170,4,0
1550865771,2,2
1550869434,2,1
1550872971,1,0
1550883836,2,2
1550887372,1,0
1550891030,0,1
1550894631,2,0
1550898171,3,3
1550905371,5,4
1550908977,2,0
1550912571,2,3
1550916172,1,1
1550919771,0,1
1550923371,2,0
1550926972,2,6
1550930571,0,21
1550937831,1,0
1550941372,1,3
1550944972,1,1
1550948576,1,0
1550952181,2,0
1550955773,2,1
1550962972,0,2
1550970172,0,2
1550973771,1,0
1550977372,2,0
1550980971,2,2
1550984571,2,4
1550988172,4,2
1550991772,3,0
1550995372,1,3
1550998973,1,1
1551002575,0,2
1551009772,5,1
1551013432,2,1
1551016981,1,0
1551020572,1,1
1551024173,1,0
1551027773,2,2
1551031439,2,1
1551034973,1,0
1551038632,1,0
1551042232,2,2
1551045774,1,0
1551049384,0,1
1551052982,1,0
1551056573,1,2
1551060173,2,1
1551063778,0,3
1551067375,2,1
1551071035,4,0
1551074573,2,2
1551078173,2,0
1551081774,2,3
1551085373,2,0
1551088974,1,0
1551092574,0,2
1551099774,2,3
1551103381,1,3
1551106973,3,0
1551110581,1,2
1551114173,1,0
1551117774,3,4
1551121378,2,0
1551124978,1,0
1551128573,2,1
1551132173,2,0
1551135774,1,0
1551139374,3,0
1551142973,1,1
1551153834,4,5
1551157374,2,0
1551160975,0,3
1551164574,2,0
1551168174,4,2
1551171774,1,0
1551175378,0,2
1551178975,2,1
1551182575,1,1
1551186175,1,0
1551189775,1,1
1551196974,2,0
1551200575,2,2
1551204175,3,0
1551207775,2,0
1551211381,3,2
1551214975,2,0
1551218575,1,3
1551232975,0,3
1551240175,2,3
1551243782,1,1
1551247375,1,4
1551250977,3,0
1551254578,1,6
1551261781,0,9
1551265375,1,0
1551268981,2,1
1551272578,1,0
1551276175,2,0
1551279782,0,1
1551283379,2,0
1551286976,3,4
1551290582,2,0
1551294180,1,0
1551301445,2,5
1551304984,3,0
1551308583,2,4
1551311395,1,0
1551315775,2,3
1551319376,1,3
1551322975,1,2
1551326576,2,0
1551330177,2,2
1551333776,2,3
1551337375,3,0
1551340976,1,0
1551344576,1,0
1551348237,1,2
1551351781,4,0
1551355376,0,1
1551358976,1,0
1551362576,0,1
1551366176,4,3
1551369780,1,0
1551373377,2,2
1551377036,1,1
1551380576,1,0
1551384178,1,3
1551387778,3,1
1551391377,1,1
1551394978,1,0
1551398577,4,0
1551402238,4,0
1551405778,8,3
1551409377,1,2
1551412977,2,0
1551416577,1,7
1551420177,0,5
1551423778,1,0
1551427378,2,2
1551430977,2,1
1551434577,0,2
1551438177,3,0
1551441777,2,4
1551445377,3,0
1551452577,4,2
1551459777,1,7
1551463378,1,3
1551466978,1,2
1551470583,1,0
1551474178,0,4
1551477778,1,0
1551484978,1,0
1551488578,1,1
1551492177,2,1
1551495778,2,1
1551499378,3,7
1551502979,2,0
1551506578,1,4
1551510178,4,0
1551513778,3,5
1551520979,0,3
1551524579,1,1
1551528178,0,1
1551531778,1,0
1551535378,2,1
1551538979,1,2
1551542579,3,2
1551546183,3,0
1551549779,1,6
1551553379,2,0
1551556979,0,3
1551560580,0,2
1551564179,1,0
1551571378,1,0
1551578578,1,2
1551582178,1,1
1551585778,2,2
1551589384,1,0
1551592978,2,5
1551596583,2,2
1551600180,1,1
1551603778,1,0
1551607378,0,1
1551610978,1,2
1551614582,2,3
1551618179,3,0
1551621779,0,1
1551628979,0,2
1551632584,3,0
1551636184,1,1
1551639783,1,1
1551643379,1,4
1551646985,0,3
1551650579,1,0
1551654185,1,0
1551657779,0,1
1551661380,1,5
1551664979,1,2
1551672180,2,2
1551675781,0,5
1551682979,4,3
1551686579,1,0
1551690179,1,1
